Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
755,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)
(N22000110)",West Bengal,"03/2010
(10/2011)","12/2025
(12/2027)","8964
(8964)",8617.5,86.6
756,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)
(N22000206)",West Bengal,"12/2010
(12/2010)","03/2027
(03/2027)","1209
(1181.57)",449.29,16
757,"SER Upgradation of maintenance infrastructure at Shalimar into Vande Bharat Chair
Car maintenance cum workshop depot.
(South Eastern Railway - JH)
(617345)
(-)",West Bengal,"03/2024
(12/2024)","10/2026
(-)","226.87
(226.87)",43.64,50
758,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)
(N22000111)",West Bengal,"03/2010
(04/2010)","12/2026
(12/2029)","4835
(10362)",4931.47,51
759,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)
(N22000108)",West Bengal,"11/2010
(03/2010)","08/2026
(03/2029)","4830
(4830)",3258.95,32
760,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)
(N22000109)",West Bengal,"03/2010
(03/2010)","12/2026
(12/2030)","2298
(2734)",393.02,17
,Total (244),,,,687197.06,568972.81,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
761,"Rehabilitation and up-gradation of section to Intermediate/2-Lane with hard shoulder
from Km 107.760 to Km 129.445 After Middle strait to Humphrey, Km 130.600 to Km
138.00 After Humphrey to Kadamtala & Km 155.00 to Km 181.0 End of Jarwa to
Rangat of NH-04 in UT of A&N on EPC Package-IIIA
(NHIDCL)
(619184)
(-)","Andaman &
Nicobar","02/2018
(03/2024)","09/2025
(05/2026)","207.45
(376.48)",0,72.42
762,"Rehabilitation and up-gradation and completion of balance work of section from Km
155.00 to Km 181.00 End of Jarwa to Rangat of NH -4 Total length 26 Km to
Intermediate Lane/2-lane with hard shoulders in the UT of A&N Islands on EPC basis -
Package-III.B Balance work
(NHIDCL)
(619185)
(-)","Andaman &
Nicobar","02/2018
(05/2024)","10/2025
(05/2026)","183.56
(333.12)",0,45.72
763,"Construction of Balance works of Major Bridge over Middle Strait Creek between
Km.106.590 to km108.553 of NH-04 connecting South Andaman & Baratang Island in
the Union Territory of Andaman & Nicobar Islands on EPC basis
(NHIDCL)
(619186)
(-)","Andaman &
Nicobar","03/2015
(05/2024)","02/2026
(12/2026)","262.96
(371.88)",0,9.76
764,"Rehabilitation and Up-gradation from Km 170700 Bhadrachalam to Km 234567 Konta
on NH-30 to Two lane with Paved Shoulder in the State of Andra Pradesh on EPC
mode.
(MoRTH)
(617907)
(N24001953)",Andhra Pradesh,"12/2021
(09/2022)","09/2024
(04/2026)","436.09
(436.09)",215.74,100
765,"Tadipatri Bypass Km 0000 to Km 6285 of 4-Lane on NH-67 in Anantapuramu district
of AP state under NHO on EPC Mode under Annual Plan 2022-23
(MoRTH)
(617949)
(N24002145)",Andhra Pradesh,"03/2023
(03/2024)","03/2026
(03/2026)","159.66
(159.66)",59.26,100
766,"Gudivada Town 2 RoB, and Road improvement NH-165
(MoRTH)
(617984)
(N24000989)",Andhra Pradesh,"03/2022
(05/2023)","05/2025
(06/2026)","317.22
(317.22)",0,73.46
767,"Widening to two lane with paved shoulders from Km 0/0 to 64/020 Pamarru to
Akiveedu
(MoRTH)
(617985)
(N24000983)",Andhra Pradesh,"03/2020
(11/2021)","11/2023
(07/2026)","529.54
(588.65)",0,69.62
768,"Kurnool/Kadapa Border-Jammalamadugu section of NH-167K i.e. Design Ch. Km
248010 to km 269900 to 2
(MoRTH)
(617986)
(N24001537)",Andhra Pradesh,"03/2023
(12/2024)","12/2026
(12/2026)","292.63
(292.63)",0,82.57
769,"Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km
250/000Design Ch.186000 to 248010 to 2LPS
(MoRTH)
(617987)
(-)",Andhra Pradesh,"10/2024
(09/2025)","09/2027
(09/2027)","691.81
(691.81)",0,40.49
770,"Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal
section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K
(MoRTH)
(617988)
(-)",Andhra Pradesh,"10/2024
(07/2025)","07/2027
(07/2027)","776.17
(644.14)",0,16.4
771,"Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla
road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.
(MoRTH)
(617990)
(N24002025)",Andhra Pradesh,"03/2023
(02/2024)","11/2025
(-)","242
(242)",78.49,95.94
772,"Rehabilitation and up-gradation of NH-167 from Km 14/900 to Km70/000 Design Ch.
14/900 to 69/700 Chintakunta to Adoni section to two lane with paved shoulders in the
State of Andhra Pradesh under Corridor Approach through Engineering, Procurement
(MoRTH)
(617991)
(N24001278)",Andhra Pradesh,"11/2016
(05/2017)","05/2019
(07/2026)","290.15
(290.15)",140.23,91.9
