Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
21,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope
stabilization Measures [Balance work] of uphill and Improvement of Storm Water
Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with
integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)
(N04000110) (-)",Sikkim,"11/2023
(12/2023)","06/2026
(06/2027)","323.26
(323.26)",80.84,34.25
22,"Modernization of Chennai Airport, Phase II, Part 2
(Airport Authority of India [AAI])
(611602)
(-) (5163)",Tamil Nadu,"05/2018
(06/2023)","07/2025
(12/2026)","1207
(1207)",289.5,38
23,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New
Terminal Building, Apron Extension, Runway Extension, PTT and allied works.
(Airport Authority of India [AAI])
(701113)
(N04000114) (9932)",Uttar Pradesh,"07/2024
(07/2024)","07/2027
(07/2027)","2869.65
(2869.65)",572.04,27
24,"Development of New Integrated Civil Enclave at Agra Airport
(Airport Authority of India [AAI])
(701122)
(N04000113) (9931)",Uttar Pradesh,"06/2024
(07/2024)","07/2026
(11/2026)","579
(579)",197.61,40.03
25,"Development of New Civil Enclave at Bagdogra Airport
(Airport Authority of India [AAI])
(611495)
(N04000115) (9920)",West Bengal,"08/2024
(09/2024)","03/2027
(01/2027)","1549
(1549)",441.41,34.6
26,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and
Strengthening of C Taxiway at NSCBI Airport Kolkata.
(Airport Authority of India [AAI])
(612791)
(N04000109) (-)",West Bengal,"03/2023
(12/2023)","10/2025
(08/2026)","328.3
(328.3)",139.77,64.5
,Total (26),,,,21600.76,10762.01,
,Ministry of Coal,,,,,,
,Coal,,,,,,
27,"TIKAK EXTENSION OCP
(MIS MoCoal Integration Logins)
(615820)
(N06000290) (-)",Assam,"07/2022
(07/2022)","07/2031
(-)","159.77
(159.77)",111.47,88.18
28,"TIRAP OCP
(MIS MoCoal Integration Logins)
(615821)
(N06000291) (-)",Assam,"11/2022
(11/2022)","11/2030
(-)","289.46
(289.46)",105.61,3.26
29,"PORDA CHIMTAPANI OCP [10 MTY]
(South Eastern Coalfields Limited [SECL])
(400144)
(N06000199) (3122)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","2310.12
(2310.12)",113.83,11.81
30,"BAROUD OC EXPANSION [3.0-10.0M
(South Eastern Coalfields Limited [SECL])
(400149)
(N06000197) (3107)",Chhattisgarh,"08/2020
(08/2020)","03/2029
(-)","2309.8
(2309.8)",993.79,55.95
31,"DIPKA EXPANSION OCP [40 MTY]
(South Eastern Coalfields Limited [SECL])
(400354)
(N06000200) (771)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","5241.4
(5241.4)",2910.11,38
32,"GEVRA OC [70 MTY]
(South Eastern Coalfields Limited [SECL])
(400424)
(060100093) (192)",Chhattisgarh,"03/2016
(03/2016)","03/2023
(03/2027)","11816.4
(11816.4)",6905.46,78.48
33,"AMERA OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613798)
(N06000123) (-)",Chhattisgarh,"02/2015
(02/2015)","03/2026
(-)","335.97
(335.97)",90.88,42.47
34,"AMGAON OC RCE [1.0 MTY]
(South Eastern Coalfields Limited [SECL])
(613799)
(N06000135) (-)",Chhattisgarh,"07/2015
(07/2015)","03/2026
(-)","316.11
(316.11)",191.5,78.86
35,"JAGANNATHPUR OC RCE PROJECT
(South Eastern Coalfields Limited [SECL])
(613800)
(N06000232) (-)",Chhattisgarh,"07/2016
(07/2016)","03/2025
(03/2027)","459.49
(459.49)",276.8,96.15
36,"MAHAMAYA OCP [1.50 MTY]
(South Eastern Coalfields Limited [SECL])
(613801)
(N06000164) (-)",Chhattisgarh,"05/2018
(05/2018)","03/2026
(03/2028)","410.26
(410.26)",187.63,54.6
37,"KATKONA RO UG MINE
(South Eastern Coalfields Limited [SECL])
(615191)
(N06000274) (-)",Chhattisgarh,"01/2023
(01/2023)","03/2029
(-)","329.21
(329.21)",62.03,2.01
38,"PELMA OC MDO
(South Eastern Coalfields Limited [SECL])
(616234)
(N06000045) (7367)",Chhattisgarh,"10/2022
(10/2022)","03/2033
(-)","1725.04
(1725.04)",16.71,40.34
39,"KUSMUNDA OC EXPANSION PROJECT
(SECL - CIL)
(617287)
(-) (9611)",Chhattisgarh,"11/2024
(11/2024)","03/2030
(-)","4516.88
(4516.88)",817.06,22
40,"MANIKPUR OC EXPANSION PROJECT
(South Eastern Coalfields Limited [SECL])
(617288)
(-) (-)",Chhattisgarh,"01/2025
(01/2025)","03/2029
(-)","382.61
(382.61)",116.09,21.29
41,"RPR FOR DURGAPUR OCP 10 MTY
(SECL - CIL)
(619171)
(-) (11842)",Chhattisgarh,"09/2025
(09/2025)","03/2032
(-)","2415.91
(2415.91)",2.35,0.01
