Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,"Ministry of Ports, Shipping and Waterways",,,,,,
,Inland Waterways,,,,,,
491,"Jal Marg Vikas Project
(Inland Waterways Authority of India [IWAI])
(701565)
(N25000072) (2959)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","01/2018
(02/2018)","12/2023
(12/2025)","5369.18
(5061.15)",3990.06,81.2
,Total (1),,,,5369.18,3990.06,
,Shipping,,,,,,
492,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis
Under PPP Mode
(Deendayal Port Trust)
(609424)
(-) (7514)",Gujarat,"10/2022
(03/2024)","03/2027
(09/2027)","4243.64
(4243.64)",2244,60
493,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)
(-) (-)",Gujarat,"09/2021
(09/2021)","09/2023
(03/2025)","171
(211.61)",149.5,91
494,"Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT
basis - Phase II
(New Mangalore Port Authority)
(617804)
(-) (-)",Karnataka,"12/2023
(06/2024)","03/2027
(-)","153.23
(153.23)",58.93,58
495,"Rewas Port Project
(Reliance Industries Ltd)
(400382)
(-) (551)",Maharashtra,"12/2019
(01/2020)","03/2023
(-)","6000
(6000)",5999.89,88
496,"Deepening and Optimization of Inner Harbour facilities including development of
Western Dock on BOT basis to handle Cape size vessels
(Paradip Port Trust [PPT])
(701574)
(-) (2250)",Odisha,"05/2022
(01/2023)","12/2027
(10/2028)","3004.63
(3004.63)",2117.12,70
,Total (5),,,,13572.5,10569.44,
,"Tourism, Hospitality & Wellness",,,,,,
497,"National Maritime Heritage Complex [NMHC] Phase-I
(Indian Port Rail & Ropeway Corporation Ltd. [IPRCL])
(707215)
(-) (3109)",Gujarat,"02/2019
(01/2022)","03/2024
(03/2026)","573
(1238.05)",614.91,76.12
,Total (1),,,,573,614.91,
,Department for Promotion of Industry & Internal Trade,,,,,,
,Logistics Infrastructure,,,,,,
498,"Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk
Infrastructure Development Phase 1
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(707410)
(-) (4123)",Haryana,"05/2018
(12/2021)","12/2023
(05/2028)","763
(763)",430,60
,Total (1),,,,763,430,
,Real Estate,,,,,,
499,"Orvakal Industrial Area
(NICDC)
(617727)
(-) (9936)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2786
(2786)",112,6.14
500,"Kopparthy Industrial Area
(NICDC)
(617729)
(-) (9937)",Andhra Pradesh,"08/2024
(10/2025)","10/2028
(-)","2136
(2136)",39.75,3
501,"Krishnapatnam Node - Phase 1 - Roads and Services Development
(National Industrial Corridor Development Corporation)
(701658)
(-) (4122)",Andhra Pradesh,"12/2020
(02/2024)","02/2028
(-)","2139.44
(2139.44)",814.26,39.14
502,"Tumakuru Node - Phase 1 - Roads and Services Development
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(701657)
(-) (4121)",Karnataka,"12/2020
(02/2023)","09/2026
(-)","1701.81
(1701.81)",278.35,23.18
503,"Development of Palakkad Node under extension of CBIC to Kochi
(National Industrial Corridor Development Corporation)
(701668)
(-) (9941)",Kerala,"08/2024
(10/2025)","04/2029
(-)","3805
(3805)",0,1
504,"Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor
(National Industrial Corridor Development Corporation)
(601812)
(-) (9939)",Telangana,"08/2024
(02/2026)","01/2029
(-)","2360
(2360)",0,0.3
505,"IMC at Prayagraj
(National Industrial Corridor Development Corporation)
(707419)
(-) (9938)",Uttar Pradesh,"08/2024
(04/2026)","12/2028
(-)","658
(658)",0,6.5
,Total (7),,,,15586.25,1244.36,
,Ministry of Steel,,,,,,
,Metals & Mining,,,,,,
506,"Capacity expansion of Deposit-14 and 14 NMZ at Kirandul
(National Mineral Development Corporation Limited [NMDC])
(615202)
(-) (6244)",Chhattisgarh,"08/2021
(07/2022)","12/2028
(03/2028)","1700
(1756.2)",258.41,20.3
,Total (1),,,,1700,258.41,
