Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
195,"Development to 4-lane with paved shoulder for the road section Talwandi Sabo-Raman
road to refinery Road junction with Bathinda Dabwali Road of NH-254 from existing Km
131.600 to Km 155.650 Design Km 131600 to km 155600 in the State of Punjab. Job
No NH-254-PB-2022-23-565
(MoRTH)
(618010)",Punjab,"03/2023
(05/2025)","11/2026
(-)","546.67
(-)"
196,"4L of Phagwara - Hoshiarpur
(National Highways Authority of India [NHAI])
(618786)",Punjab,"11/2022
(03/2025)","03/2027
(-)","1196.38
(1503.79)"
197,"4L of Fazilka to Abohar section of NH-07 including construction of Greenfield Abohar &
Fazilka Bypasses
(National Highways Authority of India [NHAI])
(618793)",Punjab,"03/2023
(04/2024)","04/2026
(-)","1409.88
(1674.04)"
198,"4L of Greenfield section from Sirhind to Mohali
(National Highways Authority of India [NHAI])
(618776)",Punjab,"03/2022
(05/2023)","05/2025
(04/2026)","1237.65
(1301.15)"
199,"Delhi-Amritsar-Katra Expressway Phase-I Spur-III from Junction with Amritsar-
Jalandhar road NH-3 near Bhishambarpura to Junction with Amritsar-Anjala road NH-
354 near Amritsar Airport [Km 71000 to Km 99000 of Amritsar connectivity]
(National Highways Authority of India [NHAI])
(619200)",Punjab,"03/2021
(11/2022)","10/2024
(-)","1641.75
(1951.7)"
200,"6L access controlled Highway from Km 40080 to Km 86513 Mator to Barodameo
Section
(National Highways Authority of India [NHAI])
(618757)",Rajasthan,"09/2022
(03/2024)","03/2026
(-)","2010.2
(1565.88)"
201,"6L accesscontrolled highway from km 0000 to km 40080 Paniyala to Mator Section of
Paniyala-Barodameo ICR
(National Highways Authority of India [NHAI])
(618758)",Rajasthan,"09/2022
(09/2024)","09/2026
(-)","1764.86
(1239.24)"
202,"Construction of Four lane Elevated Structure at Raniwada Circle in Sanchore City on
NH-68
(National Highways Authority of India [NHAI])
(618853)",Rajasthan,"01/2024
(07/2024)","07/2026
(-)","353.3
(241.34)"
203,"Upgradation to 2-Lane with Paved Shoulder from Design Km 36300 to Design
Chainage 47918 and from Design Ch 69900 to Design Ch 83940 of NH-248A Natni Ka
Bara in the State of Rajasthan on EPC Mode.
(MoRTH)
(618117)",Rajasthan,"02/2024
(11/2024)","05/2026
(-)","154.89
(-)"
204,"Sangariya near Chautala-Rasisar near Bikaner section of NH-754K Phase-I AJ/SR-
Package-7
(National Highways Authority of India [NHAI])
(618611)",Rajasthan,"02/2019
(06/2021)","06/2023
(-)","520.63
(548.42)"
205,"Balance work of Rehabilitation and Up-gradation to 4-Lane configuration of Ras-
Beawar Section Km 00.000 to km 30.050 of NH-158 in the State of Rajasthan under
Green National Highway Corridor Project GNHCP.
(MoRTH)
(618235)",Rajasthan,"01/2025
(06/2025)","12/2026
(-)","278.1
(-)"
206,"Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including
Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to
16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim
(NHIDCL)
(618426)",Sikkim,"03/2018
(01/2023)","07/2024
(09/2025)","264.84
(380.94)"
207,"Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00
Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in
the State of Sikkim on EPC Mode-COS work
(NHIDCL)
(618428)",Sikkim,"01/2021
(04/2021)","04/2023
(10/2025)","264.84
(380.94)"
208,"Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway
km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near
Sriperumbudur Toll Plaza at km. 35700
(National Highways Authority of India [NHAI])
(618480)",Tamil Nadu,"05/2023
(02/2024)","08/2025
(-)","162.55
(162.56)"
