Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1896,"4G Services by BSNL
(Department of Telecommunications [DoT])
(701593)
(-)",PAN India,"11/2020
(11/2020)","03/2024
(03/2026)","28466
(19592)",8471.19,97
1897,"BharatNet
(Department of Telecommunications [DoT])
(706775)
(-)",PAN India,"07/2017
(10/2011)","08/2023
(03/2027)","61109
(188000)",46431.54,81
1898,"MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL
ALONG WITH TEST AND MEASURING EQUIPMENT
(BSNL)
(709856)
(N26000116)",PAN India,"05/2023
(05/2023)","08/2024
(03/2026)","645.13
(645.13)",377.59,92
1899,"Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration &
Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis
including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project.
(BSNL)
(709857)
(N26000117)",PAN India,"05/2023
(06/2023)","06/2025
(03/2026)","24544.55
(24544.5)",8472.04,97
,Total (14),,,,151923.46,77298.07,
,"Department of Water Resources, River Development & GR",,,,,,
,Waste & Water,,,,,,
1900,"Interception and Diversion and STP works in Bhagalpur under Hybrid annuity based
PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616600)
(N30000027)",Bihar,"10/2017
(03/2022)","02/2025
(12/2026)","413.29
(413.29)",126.67,97
1901,"Sewage Treatment Plant 100MLD and Sewerage Network 288 km in Digha-Patna
under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616611)
(N30000051)",Bihar,"08/2017
(07/2019)","12/2025
(-)","824
(824)",396.71,56
1902,"Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh-
Patna under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616612)
(N30000050)",Bihar,"08/2017
(07/2019)","12/2025
(-)","578.89
(578.89)",171.79,54
1903,"Sewer Network, SPS and STP at Begusarai
(National Mission for Clean Ganga)
(616615)
(N30000026)",Bihar,"03/2010
(03/2018)","04/2025
(12/2025)","230.06
(230.06)",261.82,97
1904,"Sewer Networks, SPS and STP at Hajipur
(National Mission for Clean Ganga)
(616616)
(N30000035)",Bihar,"03/2010
(03/2018)","06/2025
(12/2025)","305.19
(305.19)",346.46,95
1905,"Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid
annuity based PPP model-Namami Gange Programme
(National Mission for Clean Ganga)
(616594)
(-)",Uttar Pradesh,"05/2020
(04/2023)","04/2025
(12/2026)","842.25
(842.25)",208.64,79
1906,"Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616605)
(-)",Uttar Pradesh,"05/2020
(11/2024)","12/2024
(05/2027)","690.71
(690.71)",34.79,45
1907,"Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616604)
(N30000042)",West Bengal,"05/2018
(12/2021)","03/2025
(08/2026)","154.73
(154.73)",96.17,93
,Total (8),,,,4039.12,1643.05,
,Water Resources,,,,,,
1908,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)
(-)",Andhra Pradesh,"04/2005
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",869.11,95
1909,"Gundlakamma project
(Water Resources-AP)
(400101)
(-)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",619.46,98
1910,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)
(N30000002)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.9)",26152.37,85
1911,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)
(-)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
1912,"Punpun Barrage Project
(Water Resources-BR)
(400104)
(-)",Bihar,"04/2007
(04/2007)","12/2019
(03/2026)","571.07
(658.12)",447.68,44
1913,"Kelo Irrigation Project
(Water Resources-CT)
(400111)
(-)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",618.85,72
1914,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)
(-)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(03/2026)","382.29
(382.29)",249.06,86
1915,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)
(-)",Gujarat,"04/2017
(04/2017)","12/2019
(03/2026)","5021.76
(6670.31)",4956.98,90
