Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
288,"Agra Metro Rail Project
(Uttar Pradesh metro rail corporation [UPMRC])
(702629)
(N28000145) (3117)",Uttar Pradesh,"05/2019
(12/2020)","05/2024
(06/2027)","8379.62
(8379.62)",6071.78,69.5
,Total (27),,,,315168.47,181938.72,
,Waste & Water,,,,,,
289,"ESR - 8 nos., distribution system - 216 Km, new house service connections - 38760
nos. upgrading of feeder mains, pumping station etc. - Phase II
(Ministry of Housing & Urban Affairs)
(702674)
(-) (-)",Andhra Pradesh,"02/2017
(07/2018)","03/2023
(06/2026)","172.22
(172.22)",88.86,82
290,"Muzaffarpur Storm Water Drainage Phase-I Project
(Ministry of Housing & Urban Affairs)
(702699)
(-) (-)",Bihar,"11/2016
(02/2019)","10/2023
(06/2026)","158.78
(158.78)",135.72,84
291,"Storm water drainag Development Project
(ministry of housing and urban affairs)
(702355)
(-) (-)","Dadra & Nagar
Haveli and Daman
& Diu","08/2020
(12/2021)","03/2024
(-)","210
(210)",0,20
292,"Sewerage Management Scheme Part-3 Implementation
(Ministry of Housing & Urban Affairs)
(702734)
(-) (-)",Haryana,"03/2017
(11/2017)","09/2023
(09/2026)","278.01
(278.01)",228.49,88
293,"Dhanbad Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702741)
(-) (-)",Jharkhand,"02/2017
(12/2018)","03/2023
(06/2026)","216.55
(216.55)",129.16,76
294,"SAAP-3 Water Supply Infrastructure SAAP-3 Project
(Ministry of Housing & Urban Affairs)
(702742)
(-) (-)",Jharkhand,"02/2017
(12/2018)","10/2023
(06/2026)","159.31
(159.31)",87.5,67
295,"Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3
(Ministry of Housing & Urban Affairs)
(702746)
(-) (-)",Jharkhand,"02/2017
(12/2018)","03/2023
(06/2026)","278.28
(278.28)",186.5,81
296,"Belgavi Improvement in Sewerage System Project
(Ministry of Housing & Urban Affairs)
(702760)
(-) (-)",Karnataka,"12/2015
(10/2016)","07/2023
(06/2026)","162.73
(162.73)",79.5,80
297,"Indore Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702793)
(-) (-)",Madhya Pradesh,"12/2016
(11/2017)","03/2023
(06/2026)","287.17
(287.17)",252.5,99
298,"Satna Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702808)
(-) (-)",Madhya Pradesh,"11/2015
(12/2016)","03/2024
(05/2026)","191.56
(215.89)",200.32,96
299,"Singrauli Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702810)
(-) (-)",Madhya Pradesh,"05/2016
(11/2017)","03/2023
(06/2026)","402.01
(438.1)",357.68,90
300,"Kalyan-Dombivali Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702833)
(-) (-)",Maharashtra,"07/2016
(09/2019)","10/2023
(06/2026)","194.2
(194.2)",136.56,75
301,"Mira-Bhayandar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702840)
(-) (-)",Maharashtra,"11/2016
(08/2018)","03/2023
(05/2026)","204.55
(204.55)",186.13,99
302,"Pune Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702851)
(-) (-)",Maharashtra,"03/2017
(07/2017)","03/2023
(05/2026)","235.95
(235.95)",220.77,95
303,"Solapur Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702854)
(-) (-)",Maharashtra,"03/2017
(04/2018)","03/2023
(06/2026)","180.24
(180.24)",172.22,98
304,"Jalandhar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(703021)
(-) (-)",Punjab,"11/2016
(08/2020)","08/2023
(06/2026)","258.53
(266.64)",161.02,58
305,"Patiala Water Supply Infrastructure Part-2 Project
(Ministry of Housing & Urban Affairs)
(703057)
(-) (-)",Punjab,"11/2016
(08/2020)","10/2023
(06/2026)","287
(287)",213.64,99
306,"Jhansi Water Supply Infrastructure Phase-II Project
(Ministry of Housing & Urban Affairs)
(702949)
(-) (-)",Uttar Pradesh,"03/2017
(06/2019)","07/2023
(05/2026)","561.74
(561.74)",500.04,95
307,"Lucknow Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702958)
(-) (-)",Uttar Pradesh,"NA
(05/2019)","03/2023
(05/2026)","142.46
(173.21)",152.65,95
,Total (19),,,,4581.29,3489.26,
