Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
319,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy
& Sophisticated lab complex, Academic POD and Infrastructure for center of
excellence]
(Indian Institute of Technology, Indore)
(611957)",Madhya Pradesh,"NA
(11/2023)","12/2026
(-)","496.28
(496.28)",143.95,35
320,"Hostel 4 -Earlier Known as Hostel 20
(Indian Institute of Technology, Bombay)
(612135)",Maharashtra,"NA
(05/2022)","09/2025
(-)","182.33
(182.33)",132.44,95
321,"Academic Block 1 & 2
(Indian Institute of Technology, Bombay)
(612203)",Maharashtra,"NA
(01/2023)","07/2026
(03/2027)","68
(263.93)",22.26,18
322,"Construction and Developement of National Institute of Technology Meghalaya
Permanent Campus at Sohra
(National Institute of Technology, Meghalaya)
(612885)",Meghalaya,"03/2020
(09/2014)","03/2022
(07/2025)","494.52
(494.52)",413.57,86
323,"Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl
(Ministry of Education)
(612876)",Mizoram,"03/2020
(05/2014)","12/2029
(12/2029)","474.23
(474.23)",167.55,4
324,"Establishment of NIT Nagaland
(NIT Nagaland)
(613013)",Nagaland,"NA
(09/2012)","12/2025
(-)","275.63
(275.63)",260.1,95
325,"IISER BERHAMPUR
(Indian Institutes of Science Education and Research, Behrampur)
(610315)",Odisha,"10/2018
(09/2019)","03/2021
(12/2025)","1229.32
(773.76)",837.04,97
326,"Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]
(National Institute of Technology, Puducherry)
(612877)",Puducherry,"03/2020
(07/2013)","12/2024
(08/2025)","618.34
(544.34)",509.55,94
327,"Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar,
Punjab, Phase-I
(Indian intitue of Management, Amritsar)
(605292)",Punjab,"10/2019
(07/2020)","06/2023
(12/2025)","348.31
(348.31)",290.39,91
328,"Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block,
International Hostel 100 seater, VC Residence and Purchase of Equipment
(Central University of Punjab)
(617221)",Punjab,"08/2024
(04/2025)","10/2027
(-)","210.99
(210.99)",0,0
329,"Construction of Sikkim University Campus Phase-I Package-II at Yangang, South
Sikkim
(Sikkim University)
(609736)",Sikkim,"08/2020
(01/2022)","01/2025
(09/2025)","314.06
(314.06)",238.22,82
330,"Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District
(Ministry of Education)
(612883)",Sikkim,"02/2024
(03/2024)","02/2028
(12/2026)","685.76
(610.76)",121.56,9
331,"Construction of Precast housing and hostels at IIT Hyderabad
(Indian Institute of Technology, Hyderabad)
(609996)",Telangana,"NA
(11/2022)","10/2024
(01/2026)","262
(262)",177.09,73
332,"Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]
(Banaras Hindu University)
(606479)",Uttar Pradesh,"NA
(06/2020)","09/2022
(03/2026)","246
(246)",193.38,95
333,"Construction & Development of Infrastructural Facilities in the main campus of NIT
Uttarakhand at Sumari, Pauri Garhwal
(National Institute of Technology Uttarakhand)
(611963)",Uttarakhand,"06/2020
(04/2024)","09/2027
(-)","650.85
(650.85)",195.52,24
334,"HEFA projects on development of student hostels, playgrounds, departmental
buildings, class room complex and other campus facilities in IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609019)",West Bengal,"06/2018
(04/2019)","03/2023
(03/2026)","500
(442)",383.6,87
335,"IoE Projects [Civil Works], IIT Kharagpur
(Indian Institute of Technology, Kharagpur)
(609041)",West Bengal,"NA
(04/2019)","03/2023
(12/2026)","287.2
(287.2)",310,86
,Total (30),,,,12754.41,8159.38,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
336,"Construction of Aviation Fuel farm Facilities at Bhogapuram Airport
(Ministry of Petroleum & Natural Gas)
(616235)",Andhra Pradesh,"NA
(08/2024)","03/2026
(03/2026)","240
(240)",38.82,59
337,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"NA
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",54.15,46
338,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,"NA
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",120.4,52
339,"Setting up a common user Petroleum Terminal at Jammu, J&K for resitement of
existing PSU OMC's Depots from Jammu City
(Bharat Petroleum Corporation Limited [BPCL])
(400235)","Jammu and
Kashmir","NA
(04/2023)","03/2025
(01/2026)","676.89
(676.89)",526.1,79
340,"Andheri Residential Towers, Mumbai
(Ministry of Petroleum & Natural Gas)
(604833)",Maharashtra,"NA
(06/2017)","05/2025
(06/2026)","281.35
(389.67)",230.76,50
341,"Srikakulam Angul Gas Pipeline Project
(Ministry of Petroleum & Natural Gas)
(701343)","Multi-States
(Andhra Pradesh,
Odisha)","NA
(09/2019)","07/2022
(12/2025)","2658.34
(2810)",2203.98,95
342,"Rajasthan Refinery Project
(MinistryofPetroleumNaturalGas)
(701263)","Multi-States
(Arunachal
Pradesh, Gujarat,
Rajasthan)","NA
(10/2017)","10/2022
(03/2026)","43129
(79459)",60295.14,88
343,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT]
at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)","Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)","NA
(01/2019)","07/2024
(09/2025)","10228
(11407)",9766.72,87
344,"New Mundra Panipat Crude Oil Pipeline
(Ministry of Petroleum & Natural Gas)
(400078)","Multi-States
(Gujarat, Haryana,
Rajasthan)","NA
(12/2021)","12/2024
(12/2025)","9028
(9028)",7136.41,85
