Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
400,"Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants
and expansion of Refinery
(MinistryofPetroleumNaturalGas)
(709798)
(N16000518)",Madhya Pradesh,"05/2023
(05/2023)","05/2028
(05/2028)","43367
(43367)",4552.5,23.3
401,"500 KTA PDHPP Project, Usar
(Ministry of Petroleum & Natural Gas)
(400168)
(N16000430)",Maharashtra,"04/2021
(04/2021)","04/2025
(04/2027)","8797
(11256)",7920.66,90
402,"Lube Modernization & Bottom Upgradation Project at Mumbai Refinery
(Ministry of Petroleum and Natural Gas)
(616933)
(N16000540)",Maharashtra,"12/2024
(12/2024)","03/2028
(03/2028)","4679
(4679)",252.41,9.9
403,"Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at
Mumbai Refinery
(Ministry of Petroleum & Natural Gas)
(619223)
(-)",Maharashtra,"05/2025
(05/2025)","09/2029
(-)","13626
(13626)",41.13,3.8
404,"Augmentation of DUPL-DPPL Pipeline
(Ministry of Petroleum & Natural Gas)
(619224)
(-)",Maharashtra,"06/2025
(06/2025)","03/2028
(-)","844
(844)",0,0
405,"Installation of Compression facility at GAIL Usar
(Ministry of Petroleum & Natural Gas)
(619225)
(-)",Maharashtra,"04/2025
(04/2025)","04/2027
(-)","260.2
(260.2)",0,0
406,"HP TDAE Unit in Mumbai Refinery
(Hindustan Petroleum Corporation Limited)
(709760)
(N16000534)",Maharashtra,"06/2024
(06/2024)","04/2026
(06/2026)","240
(240)",139.9,80.4
407,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts
(MinistryofPetroleumNaturalGas)
(709771)
(N16000487)",Maharashtra,"03/2022
(03/2022)","09/2031
(09/2031)","865
(865)",78.67,3.4
408,"Construction of Additional Tankages and Allied Facilities at JNPT Terminal
(MinistryofPetroleumNaturalGas)
(709780)
(N16000504)",Maharashtra,"04/2022
(04/2022)","08/2026
(08/2026)","341.43
(436.14)",301.94,70.1
409,"ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport
(Indian Oil Corporation Limited [IOCL])
(709782)
(N16000456)",Maharashtra,"08/2022
(08/2022)","08/2025
(06/2026)","165
(165)",99.04,94.8
410,"POL & LOBS Installations with Receipt Pipelines at Rasayani
(Bharat Petroleum Corporation Limited [BPCL])
(709797)
(N16000519)",Maharashtra,"05/2023
(05/2023)","05/2026
(05/2026)","2585
(2585)",1205.5,79.1
411,"Visakh Raipur Pipeline Project
(Ministry of Petroleum and Natural Gas)
(616254)
(N16000539)","Multi-States
(Andhra Pradesh,
Chhattisgarh,
Odisha)","09/2024
(09/2024)","09/2027
(09/2027)","2212
(2212)",481.17,31.2
