Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
725,"New Line between Junagarh - Nabarangpur [116.21 Km]
(Indian Railway)
(618995)
(-) (10798)",Odisha,"08/2024
(08/2025)","08/2030
(-)","2864.51
(2864.51)",1.06,0
726,"Khurda-Bolangir New Broad Gauge Rail Link [301km]
(East Coast Railway [ECoR] - II)
(705358)
(220100284) (1476)",Odisha,"03/1994
(03/2001)","12/2026
(12/2026)","3792
(5089)",5752.1,92.5
727,"Talcher-Bimlagarh New Railway Line
(East Coast Railway [ECoR] - II)
(705359)
(220100328) (423)",Odisha,"03/2004
(12/2004)","03/2025
(03/2029)","1928
(1928)",2122.08,56
728,"Bhadrak-Nergundi Third Line
(East Coast Railway [ECoR] - II)
(705510)
(N22000316) (1854)",Odisha,"10/2015
(04/2015)","11/2024
(01/2026)","1284
(1284)",1379.6,95.8
729,"Koraput - Singapur Railway Doubling
(East Coast Railway [ECoR] - II)
(705513)
(N22000379) (1857)",Odisha,"12/2015
(12/2015)","12/2027
(03/2028)","2362
(2362)",1976.38,75.19
730,"Jarapada- Budhapank with flyover at Talcher road 3rd and 4th Line
(East Coast Railway [ECoR] - II)
(705514)
(N22000380) (1855)",Odisha,"11/2015
(12/2015)","11/2018
(03/2028)","1000
(810.02)",469.78,59
731,"3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.
(East Coast Railway [ECoR] - II)
(705515)
(N22000381) (1752)",Odisha,"07/2013
(12/2015)","03/2026
(03/2026)","1173
(2092)",2138.09,90
732,"Jeypore-Navarangpur New Rail Line Project
(East Coast Railway [ECoR] - II)
(705741)
(N22000517) (3436)",Odisha,"07/2017
(04/2023)","07/2028
(12/2029)","748
(748)",15.91,2.13
733,"Jeypore-Malkanagiri New Railway Line Project
(East Coast Railway [ECoR] - II)
(705742)
(N22000516) (3458)",Odisha,"02/2018
(12/2023)","07/2033
(07/2033)","2344
(2344)",549.72,7.5
734,"Khurda Road - Balangir Electrification of Railway Track Project
(Ministry of Railways)
(706898)
(-) (-)",Odisha,"09/2018
(09/2019)","03/2021
(-)","267.61
(267.61)",0,0
735,"GANDHAMARDAN IRON ORE MINES TO GOALDIH STATION/12.76kms
(East Coast Railway [ECoR] - II)
(709811)
(N22000520) (-)",Odisha,"09/2022
(05/2025)","09/2027
(09/2027)","190
(189.93)",3.4,5
736,"Jaynagar-Bijalpura, incl. extn. Bet, Bijalpura-Bardibas [Nepal]
(East Central Railway [ECR] - I)
(705362)
(N22000181) (2290)",Offshore,"08/2015
(03/2011)","03/2022
(03/2026)","819
(819)",580.51,75
737,"North Region Video Surveillance Project
(RCIL)
(705298)
(-) (-)",PAN India,"06/2020
(04/2023)","03/2024
(-)","274.39
(274.39)",0,48
738,"Ludhiana Mullanpur 21Km Doubling Railway project
(CAO/C/NR)
(607653)
(-) (-)",Punjab,"NA
(10/2022)","06/2024
(02/2027)","234.78
(234.78)",61.39,99
739,"Ludhiana- Killa Raipur Railway Doubling Project
(Railway)
(705783)
(N22000584) (-)",Punjab,"03/2019
(12/2022)","03/2025
(02/2027)","237.64
(238)",137.05,57
740,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611855)
(-) (9756)",Rajasthan,"01/2023
(01/2023)","01/2027
(-)","968.92
(968.92)",730.39,73
741,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)
(-) (-)",Rajasthan,"09/2022
(06/2023)","12/2024
(-)","166.86
(166.86)",0,0
742,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)
(-) (7086)",Rajasthan,"02/2024
(02/2024)","12/2026
(12/2028)","799.64
(799.64)",211.61,8
743,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)
(-) (7084)",Rajasthan,"02/2024
(02/2024)","06/2027
(03/2028)","1634.79
(1634.79)",447.64,22
744,"SADULPUR - CHURU DOUBLING PROJECT
(North Western Railway [NWR])
(617403)
(-) (-)",Rajasthan,"01/2024
(01/2024)","06/2026
(-)","468.64
(468.64)",195.42,94
745,"POKHRAN - RAMDEVRA New Line
(North Western Railway [NWR])
(617404)
(-) (-)",Rajasthan,"04/2025
(04/2025)","03/2028
(-)","189.21
(189.21)",55.58,1
746,"NATHDWARA- NATHDWARA TOWN NL
(North Western Railway [NWR])
(617408)
(-) (-)",Rajasthan,"03/2019
(04/2024)","03/2027
(-)","166.33
(166.33)",112.55,15
