Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
64,"Delhi-Amritsar-Katra Expressway Phase-I Pkg-I from Jussur Kheri on NH-KMP
Expressway to Junction with Rohtak-Panipat road NH-709 near Rukhi Paani village
Km 0000 to Km 34000
(National Highways Authority of India [NHAI])
(618482)",Haryana,"12/2020
(12/2021)","12/2023
(02/2025)","1866.49
(2429.9)"
65,"Delhi-Amritsar-Katra Expressway Phase-I Pkg-II from Junction with Rohtak-Panipat
road NH-709 near Rukhi Paani village to Junction with Jind-Panipat road NH-352A
near Gangana village Km 34000 to Km 60800
(National Highways Authority of India [NHAI])
(618483)",Haryana,"12/2020
(01/2022)","01/2024
(10/2024)","1533.87
(1792.53)"
66,"Construction of Additional Structures, Improvement of Service Road & Maintenance of
Six Lane Gurgaon-Jaipur Section of NH-48 old NH-8 between km 42700 to km 107100
in the State of Haryana
(National Highways Authority of India [NHAI])
(618506)",Haryana,"05/2024
(05/2025)","05/2027
(-)","401.74
(240.02)"
67,"Improvement/construction of existing CL-5 Road to NH Intermediate lane specification
with hard shoulder from Km 166.000 to 203.77 net Length 37.770 kms of NH-505
Sumdo-Kaza-Gramphoo road in the state of Himachal Pradesh on EPC mode under
project Deepak, BRO
(MoRTH)
(618215)",Himachal Pradesh,"06/2021
(06/2024)","06/2027
(-)","274.36
(194)"
68,"Rehabilitation and Upgradation to 2-lane configuration of Karnohal- Kalwahn Section
km 181.00 to 208.950 of NH-70 in the State of Himachal Pradesh under Green
National Highways Corridor Project GNHCP with the loan assistance of World Bank on
EPC mode.Package-2
(MoRTH)
(618232)",Himachal Pradesh,"08/2020
(11/2023)","05/2026
(-)","251.62
(190.02)"
69,"Pandoh bypass 221.305 to Takoli 242.000 of NH-21 in the state of Himachal Pradesh
(National Highways Authority of India [NHAI])
(618851)",Himachal Pradesh,"06/2017
(03/2018)","09/2021
(06/2026)","3419.95
(4465.94)"
70,"4L of Shakral Village to Dhalli Section from Km 146.300 to Km 156.560 Shimla Bypass
- Pkg II and Shimla connectivity from Km 0.000 to Km 0.725 of NH-5
(National Highways Authority of India [NHAI])
(618922)",Himachal Pradesh,"04/2022
(03/2024)","03/2027
(-)","1956.26
(2880.72)"
71,"Rehabilitation and Upgradation to 2L PS configuration & Strengthening of Padhar to
Bijni section from Km 180.000 to Km 202.815 of NH-154 Pkg-VA
(National Highways Authority of India [NHAI])
(618879)",Himachal Pradesh,"06/2022
(11/2024)","11/2026
(-)","930.86
(930.86)"
72,"Rehabilitation and Up-gradation to 4L configuration & Strengthening of Thanpuri to
Paror section from Km 85.135 to Km 100.840 of NH-154 Pkg-IIC
(National Highways Authority of India [NHAI])
(618880)",Himachal Pradesh,"07/2022
(03/2024)","12/2025
(-)","815.68
(666.79)"
73,"4L PS from Kalar Bala Village to Nauni Chowk of NH 205 from Km 41.000 to Km
58.450
(National Highways Authority of India [NHAI])
(618891)",Himachal Pradesh,"01/2024
(05/2025)","05/2027
(-)","1244.43
(786.91)"
