Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
682,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)
(N22000139) (1547)","Multi-States
(Gujarat, Madhya
Pradesh)","06/2012
(06/2012)","02/2027
(02/2027)","456.07
(3516.77)",4157.76,55
683,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)
(N22000138) (2230)","Multi-States
(Gujarat, Madhya
Pradesh)","11/2008
(01/2014)","12/2025
(12/2025)","1794
(1794)",1819.63,80.3
684,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)
(N22000434) (5039)","Multi-States
(Gujarat,
Maharashtra)","09/2019
(03/2023)","12/2025
(12/2026)","311
(311)",263.42,93
685,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)
(N22000592) (4458)","Multi-States
(Gujarat,
Rajasthan)","07/2022
(07/2022)","07/2030
(07/2030)","2798
(2798)",2439.32,37
686,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)
(-) (7083)","Multi-States
(Gujarat,
Rajasthan)","02/2024
(02/2024)","07/2027
(-)","3085.59
(3085.59)",778.73,30
687,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)
(N22000467) (1611)","Multi-States
(Haryana,
Himachal Pradesh)","02/2018
(02/2018)","12/2026
(12/2026)","1540
(1540.13)",590.11,43
688,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)
(N22000606) (-)","Multi-States
(Haryana,
Rajasthan)","02/2023
(12/2022)","06/2027
(06/2027)","352
(352)",315.28,73
689,"Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding
Mukerian-Talwara [29 KM]
(Northen Railway [NR])
(705410)
(220100188) (1525)","Multi-States
(Himachal
Pradesh, Punjab)","03/1983
(05/1985)","12/2025
(12/2027)","2018
(2018)",2384.29,84
690,"Bhanupalli-Bilaspur-Beri New Railway Line Project
(RVNL - II)
(705428)
(N22000273) (385)","Multi-States
(Himachal
Pradesh, Punjab)","03/2009
(04/2015)","12/2026
(12/2027)","13447
(13447)",7558.16,63
691,"Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km
(South Eastern Railway - JH)
(705628)
(N22000396) (1802)","Multi-States
(Jharkhand,
Odisha)","03/2016
(02/2017)","06/2025
(06/2026)","3029
(3029.04)",2629.17,92
692,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)
(-) (7027)","Multi-States
(Jharkhand,
Odisha, West
Bengal)","08/2024
(12/2024)","12/2029
(-)","1459.13
(1459.13)",7.58,0
693,"Chandil - Anara - Damodar - 3rd line [121.26 km]
(CAO/C/SER)
(616227)
(-) (7573)","Multi-States
(Jharkhand, West
Bengal)","09/2024
(07/2025)","09/2029
(-)","1932.01
(1932.01)",4.51,0
694,"KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM
(RVNL - I)
(705668)
(N22000595) (1862)","Multi-States
(Jharkhand, West
Bengal)","09/2016
(01/2018)","03/2025
(06/2026)","3250
(3250)",3287.18,97.5
695,"Baiyyappanahalli - Hosur Doubling Project [48 km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703586)
(N22000542) (-)","Multi-States
(Karnataka, Tamil
Nadu)","04/2019
(02/2019)","03/2024
(01/2026)","498.7
(748.7)",698.51,88
