Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1355,"Gundlakamma project
(Water Resources-AP)
(400101)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",619.09,98
1356,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.9)",25833.68,84
1357,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
1358,"Punpun Barrage Project
(Water Resources-BR)
(400104)",Bihar,"04/2007
(04/2007)","12/2019
(03/2026)","571.07
(658.12)",447.68,44
1359,"Kelo Irrigation Project
(Water Resources-CT)
(400111)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",616.93,72
1360,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(-)","382.29
(382.29)",239.03,86
1361,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)",Gujarat,"04/2017
(04/2017)","12/2019
(03/2026)","5021.76
(6670.31)",4956.98,90
1362,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31860.86,93
1363,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5790.29,70
1364,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.32,99
1365,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)",Madhya Pradesh,"04/2017
(04/2017)","12/2019
(03/2026)","648.09
(648.09)",206.06,49
