Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
503,"SCREENING PLANT-III AT KIRANDUL
(National Mineral Development Corporation Limited [NMDC])
(709826)
(N12000127)",Chhattisgarh,"01/2009
(10/2021)","01/2026
(07/2027)","2718.84
(2718.84)",1519.66,81.77
504,"New Sinter Plant at BSL, SAIL
(Steel Authority of India Limited [SAIL])
(400174)
(N12000095)",Jharkhand,"03/2015
(10/2015)","10/2017
(06/2027)","1034.01
(1752.3)",980.24,58.1
505,"Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617249)
(N12000142)",Jharkhand,"01/2025
(02/2025)","01/2027
(-)","211.94
(211.94)",45.08,35.3
506,"Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617250)
(N12000143)",Jharkhand,"01/2025
(02/2025)","10/2026
(-)","207.13
(207.13)",38.61,32.99
507,"Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617253)
(N12000129)",Jharkhand,"08/2023
(10/2023)","07/2025
(05/2026)","513.82
(513.82)",381.87,97.3
508,"Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter
Plant-1 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617254)
(N12000134)",Jharkhand,"03/2024
(04/2024)","06/2026
(04/2027)","260.37
(260.37)",89.76,42.13
509,"Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617257)
(N12000135)",Jharkhand,"11/2023
(12/2023)","11/2026
(-)","627.31
(627.31)",321.22,57.77
510,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining
Complex of NMDC Limited at Ballari Dt, Karnataka.
(National Mineral Development Corporation Limited [NMDC])
(400121)
(N12000136)",Karnataka,"11/2014
(06/2024)","08/2026
(-)","1043.63
(1043.63)",606.39,60.3
511,"Rebuilding of COB 4 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(612781)
(N12000132)",West Bengal,"09/2023
(09/2023)","12/2026
(09/2027)","916.78
(916.78)",190.28,32.82
512,"Installation of New Bar Mill at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617242)
(N12000138)",West Bengal,"07/2024
(08/2024)","06/2027
(-)","2115.44
(2115.44)",494.78,54.33
513,"Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617246)
(N12000139)",West Bengal,"09/2024
(10/2024)","06/2026
(10/2027)","758.09
(758.09)",213.61,34.02
514,"Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617248)
(N12000141)",West Bengal,"11/2024
(12/2024)","07/2026
(-)","227.96
(227.96)",64.62,62.39
515,"Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant
(Steel Authority of India Limited [SAIL])
(617251)
(N12000140)",West Bengal,"07/2024
(12/2024)","05/2026
(-)","196.4
(196.4)",37.82,24.8
516,"Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617338)
(-)",West Bengal,"01/2025
(02/2025)","07/2028
(-)","2518.39
(2518.39)",333.48,22.79
,Total (18),,,,17811.66,9797.06,
,Ministry of Railways,,,,,,
,Railways,,,,,,
517,"Nadikudi - Srikalahasti New Line
(South Central Railway [SCR] - II)
(400298)
(N22000286)",Andhra Pradesh,"03/2012
(12/2016)","05/2027
(03/2028)","2312
(5932)",3016.32,55
518,"GOOTY-PENDEKALLU DOUBLING 29.225 Km
(South Central Railway [SCR] - II)
(611752)
(N22000585)",Andhra Pradesh,"03/2023
(06/2023)","03/2027
(03/2027)","351.83
(351.83)",320.5,3.02
519,"GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK
(South Central Railway [SCR] - II)
(611754)
(-)",Andhra Pradesh,"07/2023
(07/2023)","07/2026
(-)","293.3
(293.3)",259.11,0.22
520,"Kurnool - Setting up facilities for coach midlife rehabilitation workshop
(WPO/Patna)
(611927)
(-)",Andhra Pradesh,"01/2014
(10/2017)","12/2023
(-)","560.72
(560.72)",276.66,65
521,"Flyover between Pendurthi and Simhachalam North to avoid surface crossing at
Simhachalam 7.135 km PB 73 of 2023 24 NR
(East Coast Railway [ECoR] - II)
(612827)
(-)",Andhra Pradesh,"04/2023
(05/2024)","04/2027
(-)","183.65
(183.65)",11.87,13
522,"3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction
to Gangavaram port
(East Coast Railway [ECoR] - II)
(616697)
(-)",Andhra Pradesh,"04/2023
(03/2024)","06/2026
(-)","154.28
(154.28)",53.93,65
523,"Tiupati Katpadi 104.39 kms
(South Central Railway [SCR] - II)
(617210)
(-)",Andhra Pradesh,"04/2025
(04/2025)","03/2029
(-)","1215.56
(1215.56)",0.15,0.04
524,"3rd Line between Gudur Renigunta 83.17 Km
(South Central Railway [SCR] - II)
(617216)
(-)",Andhra Pradesh,"10/2024
(10/2024)","03/2027
(-)","877.34
(877.34)",205.27,0.15
