Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
384,"Power System Upgradation Project
(MinistryofPetroleumNaturalGas)
(612790)
(-) (-)",Karnataka,"10/2023
(10/2023)","11/2025
(09/2026)","385
(385)",268.2,88.7
385,"Demo Bio-ATF Project
(Ministry of Petroleum & Natural Gas)
(616879)
(-) (-)",Karnataka,"03/2024
(03/2024)","01/2027
(01/2027)","364
(364)",85.56,51.1
386,"Revamping/ Augmentation of facilities at existing port terminal at Mangalore
(Ministry of Petroleum & Natural Gas)
(709774)
(-) (-)",Karnataka,"01/2022
(01/2022)","12/2025
(06/2027)","463
(500.62)",321.59,85
387,"Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of
Palakkad TOP
(Ministry of Petroleum & Natural Gas)
(617838)
(-) (-)",Kerala,"09/2024
(09/2024)","08/2028
(08/2028)","1130
(1130)",306.1,43.2
388,"Setting up Polypropylene Unit at Kochi Refinery
(MinistryofPetroleumNaturalGas)
(709799)
(-) (-)",Kerala,"12/2023
(12/2023)","10/2027
(10/2027)","4460
(4850)",893.86,40.5
389,"C2/C3 Vijaipur Pata Pipeline
(Ministry of Petroleum & Natural Gas)
(617830)
(-) (-)",Madhya Pradesh,"05/2024
(05/2024)","01/2027
(01/2027)","1792
(1792)",510.5,70.8
390,"Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants
and expansion of Refinery
(MinistryofPetroleumNaturalGas)
(709798)
(-) (-)",Madhya Pradesh,"05/2023
(05/2023)","05/2028
(05/2028)","43367
(43367)",5596,30.7
391,"500 KTA PDHPP Project, Usar
(Ministry of Petroleum & Natural Gas)
(400168)
(-) (-)",Maharashtra,"04/2021
(04/2021)","04/2025
(06/2027)","8797
(11256)",8741.88,91.6
392,"Lube Modernization & Bottom Upgradation Project at Mumbai Refinery
(Ministry of Petroleum and Natural Gas)
(616933)
(-) (-)",Maharashtra,"12/2024
(12/2024)","03/2028
(03/2028)","4679
(4679)",288.53,12.3
393,"Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at
Mumbai Refinery
(Ministry of Petroleum & Natural Gas)
(619223)
(-) (-)",Maharashtra,"05/2025
(05/2025)","09/2029
(09/2029)","13626
(13626)",81.87,6.1
394,"Augmentation of DUPL-DPPL Pipeline
(Ministry of Petroleum & Natural Gas)
(619224)
(-) (-)",Maharashtra,"06/2025
(06/2025)","03/2028
(03/2028)","844
(844)",0.61,7.3
395,"Installation of Compression facility at GAIL Usar
(Ministry of Petroleum & Natural Gas)
(619225)
(-) (-)",Maharashtra,"04/2025
(04/2025)","04/2027
(04/2027)","260.2
(260.2)",0,0
396,"ONGC-BP Redevelopment Phase-1 Scheme of Mumbai High Field
(Ministry of Petroleum & Natural Gas)
(619328)
(-) (-)",Maharashtra,"11/2025
(11/2025)","03/2027
(03/2027)","3713.4
(3908)",1557.5,53.2
397,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts
(MinistryofPetroleumNaturalGas)
(709771)
(-) (-)",Maharashtra,"03/2022
(03/2022)","09/2031
(09/2031)","865
(865)",84.85,3.4
398,"Construction of Additional Tankages and Allied Facilities at JNPT Terminal
(MinistryofPetroleumNaturalGas)
(709780)
(-) (-)",Maharashtra,"04/2022
(04/2022)","08/2026
(08/2026)","341.43
(436.14)",304.75,72.4
399,"POL & LOBS Installations with Receipt Pipelines at Rasayani
(Bharat Petroleum Corporation Limited [BPCL])
(709797)
(-) (-)",Maharashtra,"05/2023
(05/2023)","05/2026
(09/2026)","2585
(2585)",1416.51,85.4
400,"Visakh Raipur Pipeline Project
(Ministry of Petroleum and Natural Gas)
(616254)
(-) (-)","Multi-States
(Andhra Pradesh,
Chhattisgarh,
Odisha)","09/2024
(09/2024)","09/2027
(09/2027)","2212
(2212)",549.21,37.1
401,"North East Gas Grid
(Ministry of Petroleum & Natural Gas)
(701346)
(-) (-)","Multi-States
(Arunachal
Pradesh, Assam,
Manipur,
Meghalaya,
Mizoram,
Nagaland, Sikkim,
Tripura, West
Bengal)","04/2020
(04/2020)","03/2024
(07/2026)","9265
(9265)",6900,88
402,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)
(-) (-)","Multi-States
(Assam, Bihar,
West Bengal)","12/2024
(12/2024)","12/2029
(12/2029)","680
(680)",12.65,29
403,"Mehsana-Bhatinda & Bhatinda-Jammu Natural Gas Pipeline
(Ministry of Petroleum & Natural Gas)
(701330)
(-) (-)","Multi-States
(Gujarat, Haryana,
Punjab,
Rajasthan)","07/2011
(07/2011)","06/2024
(03/2027)","7392
(7392)",6362.31,90.2
404,"Gurdaspur Jammu Pipeline
(Gas Authority of India Limited [GAIL])
(612853)
(-) (-)","Multi-States
(Jammu and
Kashmir, Punjab)","07/2023
(07/2023)","07/2026
(07/2026)","521.9
(521.9)",319.1,84.6
