Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
66,"Work of 6 laning/Construction of elevated corridor from km 0/0 to 10/170 Narol
Junction to Sarkhej junction including 4 lane Shastri Bridge on Sabarmati river on NH
47 in the State of Gujarat on HAM mode
(MoRTH)
(617916)",Gujarat,"03/2024
(08/2025)","02/2028
(-)","1295.39
(-)"
67,"Upgradation of Mehsana-Visnagar-vadnagar-Kheralu-Idar section from km 0/00 to
81/300 of NH 168G Mehsana to Idar in the State of GujaratTotal Length 81.300 Km on
Hybrid Annuity Mode HAM
(MoRTH)
(618107)",Gujarat,"02/2024
(12/2025)","06/2028
(-)","1155.21
(-)"
68,"4L of Dhrol bypass section of NH-151A Approx. length 5.7 Km & widening upto 4
laning of missing link of Amran section of NH-151A Approx. length 6.55 Km from
existing Ch. 42000 to 48500 of ongoing Dhrol-Bhadra-Pipaliya section of NH-151A
(National Highways Authority of India [NHAI])
(618616)",Gujarat,"03/2024
(02/2025)","02/2027
(-)","625.58
(455.54)"
69,"4L PS from Ch. 94.030 in Jabugam Village to Ch. 132.320 in Dhamasiya Village of
NH-56 Pkg-III
(National Highways Authority of India [NHAI])
(618930)",Gujarat,"03/2023
(11/2025)","11/2027
(-)","1188.46
(898)"
70,"4L PS from Ch. 179.780 in Bitada/Movi Village to Ch. 208.900 in Nasarpore Village of
NH-56 Pkg-V
(National Highways Authority of India [NHAI])
(618931)",Gujarat,"03/2023
(11/2025)","11/2027
(-)","764.02
(566.96)"
71,"6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH-8Package-VII
(National Highways Authority of India [NHAI])
(619067)",Gujarat,(05/2017),"05/2019
(07/2021)","356.6
(463.03)"
72,"Four Laning of Una to Kodinar from km. 180.478 to km. 221.610 Package-V
(National Highways Authority of India [NHAI])
(619145)",Gujarat,(02/2017),"08/2019
(-)","877.71
(1126.66)"
73,"4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E
(National Highways Authority of India [NHAI])
(619148)",Gujarat,(02/2017),"08/2019
(-)","1185.66
(1343.16)"
74,"4L of Dwarka-Khambaliya-Devariya section from km 203.500 to km 176.500 and from
km 171.800 to km 125.000 of NH-151A
(National Highways Authority of India [NHAI])
(619137)",Gujarat,"01/2019
(02/2020)","08/2022
(06/2023)","1024.69
(1753.95)"
75,"4L PS of Ambala Ring Road of New NH-44
(National Highways Authority of India [NHAI])
(619080)",Haryana,"02/2023
(10/2023)","10/2025
(-)","1093.35
(1225.41)"
76,"4L of Jind-Gohana road Package-1 from km. 0.00 to km. 40.601 of NH-352 A under
NHO
(National Highways Authority of India [NHAI])
(619092)",Haryana,"01/2019
(07/2020)","07/2022
(-)","994.22
(1606.82)"
77,"4L PS bijni to mandi section from Km 202.815 to Km 208.000 of NH-20 New NH-154
of Pathankot-Mandi Package-VB
(National Highways Authority of India [NHAI])
(618881)",Himachal Pradesh,"02/2023
(03/2025)","09/2027
(-)","1113.02
(1112.39)"
78,"Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244
from Km 0.000 to Km 39.100
(National Highways Authority of India [NHAI])
(618967)",Jammu and Kashmir,"03/2024
(08/2024)","08/2026
(-)","295.06
(295.06)"
79,"Construction of Shopian Bypass on NH-444 taking off from existing chainage Km
36500 and re-joining at km 47588 of existing Chainage New Design Ch. From km
28000 to km 36925 as 2- lane with paved shoulder in the UT of Jammu & Kashmir on
EPC mode.
(MoRTH)
(618038)",Jammu and Kashmir,"03/2024
(01/2026)","01/2028
(-)","224.44
(-)"
80,"Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050
Pakur of NH-333A in the State of Jharkhand on EPC mode
(MoRTH)
(618127)",Jharkhand,"03/2023
(11/2025)","05/2027
(-)","255.73
(-)"
81,"Construction of Six lane elevated flyover including reconstruction/rehabilitation of
existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area
in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120
including Panagarh Bypass in the State of Jharkhand on EPC Mode.
(National Highways Authority of India [NHAI])
(618535)",Jharkhand,"01/2025
(09/2025)","03/2028
(-)","687.77
(442.52)"
82,"Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass
from design km 0.000 to design Km 49.000
(National Highways Authority of India [NHAI])
(618950)",Jharkhand,"11/2024
(01/2026)","01/2028
(-)","1565.47
(-)"
83,"Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road
& Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33
(National Highways Authority of India [NHAI])
(618737)",Jharkhand,"01/2025
(12/2025)","12/2027
(-)","303.53
(5.58)"
84,"Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of
Jharkhand under EPC Mode
(MoRTH)
(619005)",Jharkhand,"03/2023
(01/2026)","01/2028
(01/2026)","235.42
(199.2)"
85,"4L Expressway from Km 26.400 to km 53.500 of Malur to Bangarpet section of
Bangalore-Chennai Expressway Phase-I Package-II
(NHAI)
(619065)",Karnataka,"12/2020
(09/2021)","09/2023
(03/2024)","1745
(1729.63)"
