Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Electricity Generation,,,,,,
157,"Dibang Multipurpose Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602182)
(N18000362)",Arunachal Pradesh,"02/2023
(02/2023)","02/2032
(02/2032)","31876.39
(31876.4)",4119.07,17
158,"240MW Heo HE Project
(North Eastern Electric Power Corporation Limited)
(611698)
(-)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1938.85
(1938.85)",84.53,3
159,"186 MW Tato-I H E Project
(North Eastern Electric Power Corporation Limited)
(611699)
(-)",Arunachal Pradesh,"12/2024
(05/2025)","07/2029
(-)","1750.07
(1750.07)",61.5,2
160,"Buxar Thermal Power Project [1320 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602579)
(N18000194)",Bihar,"03/2019
(06/2019)","01/2024
(12/2025)","10439.09
(13756.6)",13126.94,93
161,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]
(National Thermal Power Corporation [NTPC])
(619051)
(-)",Bihar,"11/2024
(03/2025)","07/2030
(-)","29948
(29948)",2034.24,7
162,"Lara Super Thermal Power Project Stage-II [2 x 800 MW]
(National Thermal Power Corporation [NTPC])
(611930)
(N18000381)",Chhattisgarh,"08/2023
(08/2023)","06/2028
(09/2028)","15530
(16106)",3962.22,25
163,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]
(National Thermal Power Corporation [NTPC])
(617188)
(-)",Chhattisgarh,"09/2024
(09/2024)","09/2029
(-)","9791
(9791)",1277.85,10
164,"Bagodara Solar Power Project
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(709747)
(N18000297)",Gujarat,"03/2021
(05/2021)","12/2025
(12/2025)","339.35
(339.35)",317.59,51
165,"Dhaulasidh Hydro Electric Project [66 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602582)
(N18000291)",Himachal Pradesh,"10/2020
(05/2021)","11/2025
(03/2027)","687.97
(1561.21)",1060.23,74
166,"Luhri Stage-I Hydro Electric Project [210 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602593)
(N18000279)",Himachal Pradesh,"11/2020
(11/2020)","01/2026
(02/2030)","1810.56
(4681.64)",1892.43,51
167,"382 MW Sunni Dam HEP
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(602633)
(-)",Himachal Pradesh,"NA
(04/2018)","03/2027
(-)","2615
(2615)",495.57,0.5
168,"Sunni Dam Hydro Electric Project [382 MW]
(Satluj Jal Vidyut Nigam [SJVN] Thermal Limited)
(611586)
(N18000344)",Himachal Pradesh,"01/2023
(01/2023)","04/2028
(12/2029)","2614.51
(4925.87)",1052.48,33
169,"Pakal Dul [Drangdhuran] Hydroelectric Project, 1000 MW
(National Hydroelectric Power Corporation Limited [NHPC])
(602525)
(N18000172)","Jammu and
Kashmir","10/2014
(02/2018)","04/2020
(12/2026)","8112.12
(12728)",8638.59,79
170,"Kiru HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(602532)
(N18000278)","Jammu and
Kashmir","03/2019
(02/2020)","09/2023
(12/2026)","4287.59
(5409)",3558.91,80
171,"Ratle HE Project - 850 MW, Ratle Hydroelectric Power Corporation Limited.
(National Hydroelectric Power Corporation Limited [NHPC])
(602535)
(N18000324)","Jammu and
Kashmir","02/2021
(01/2022)","02/2026
(11/2028)","5281.94
(5281.94)",1469.04,27
172,"Kwar HE Project
(National Hydroelectric Power Corporation Limited [NHPC])
(605155)
(N18000363)","Jammu and
Kashmir","05/2022
(11/2022)","11/2026
(03/2028)","4526.12
(4526.12)",1337.91,29
173,"Patratu Thermal Power Station Expansion Project Phase-I [3x800 MW]
(National Thermal Power Corporation [NTPC])
(400261)
(N18000275)",Jharkhand,"11/2017
(11/2017)","03/2023
(02/2027)","18668
(20302)",18359,88
174,"Koderma Thermal Power Station Phase II [2X800 MW] At Koderma, Jharkhand
(Damodar Valley Corporation)
(611509)
(-)",Jharkhand,"04/2023
(11/2024)","03/2029
(-)","14358
(14358)",1744.26,10
175,"Gadarwara Super Thermal Power Project, Stage-II [2x800 MW]
(National Thermal Power Corporation [NTPC])
(618976)
(-)",Madhya Pradesh,"11/2024
(05/2025)","03/2030
(-)","20446
(20446)",1294.64,5
176,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited [NHPC])
(602096)
(180100221)","Multi-States
(Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",26023.91,97
177,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)
(N18000364)",Odisha,"08/2022
(09/2022)","05/2027
(03/2028)","11843.75
(12543)",5770.33,46
178,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO
POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]
(National Hydroelectric Power Corporation Limited [NHPC])
(602181)
(N18000325)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",4166.7,71
179,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A
wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited [NHPC])
(605156)
(N18000326)",Sikkim,"03/2021
(08/2021)","05/2024
(12/2025)","938.29
(1828.11)",1616.82,95
