Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Ministry of Railways,,,,,,
,Railways,,,,,,
46,"Lumding-Furkating section 140 km Umbrella work PB57/2019-20/NR
(CAO/C-1/NFR NFR mor)
(616701)",Assam,"02/2024
(04/2025)","02/2028
(-)","2123.7
(2123.7)",200.23,1
47,"New Bongaigaon - Goalpara - Guwahati Kamakhya 176 km
(CAO/C-III/NFR NFR mor)
(705572)",Assam,"09/2016
(06/2017)","03/2026
(03/2026)","4060
(4983.94)",3821.96,91
48,"Jiribam-Imphal 110 km
(CAO/C-III/NFR NFR mor)
(705391)",Manipur,"10/2003
(04/2009)","12/2026
(06/2029)","14323
(21886)",16931.5,78
49,"Murkongselek-Pasighat 26.15 km
(CAO/C-II/NFR NFR mor)
(705401)","Multi-States (Arunachal
Pradesh, Assam)","02/2011
(05/2023)","03/2025
(12/2026)","435
(1334.45)",1057.21,67
50,"Dimapur-Kohima 88 km
(CAO/C-1/NFR NFR mor)
(705392)","Multi-States (Assam,
Nagaland)","11/2006
(12/2015)","03/2025
(12/2029)","6663
(15310.2)",6719.53,45
51,"Teteliya-Byrnihat 21.5 km
(CAO/C-II/NFR NFR mor)
(705394)","Multi-States
(Meghalaya, Assam)","11/2006
(04/2011)","11/2011
(06/2027)","1304.62
(1432.14)",1272.35,87
52,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)",Sikkim,"10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",11090.47,80
,Total (7),,,,36786.32,41093.25,
,Ministry of Road Transport & Highways,,,,,,
,Roads & Highways,,,,,,
53,"Construction of 2-lane road of Potin to Pangin section of NH-13 from Km 163.59
to Km 206.66 Package-5 on EPC Mode in the State of Arunachal Pradesh under
Arunachal Pradesh Package of Roads and Highways of SARDP-NE [Job No
SARDP-NE/P-P/Pkg-A/NH-13/Ar.Pr./PWD/2018-19/116]
(MoRTH)
(617892)",Arunachal Pradesh,"03/2019
(11/2020)","11/2023
(10/2026)","450.65
(450.65)",345.01,96.61
54,"lmprovement and Widening to 2-lane with Paved Shoulder of NH-13 & 15 Old
NH-52 from Existing Km 745.60 Design Km 0.000 to Existing km 770.600 Design
Km 24.819 Brahmakund T-junction to Kamlang T-Junction, Existing Length 25.00
Km, Design Length 24.819 Km in the state of Arunachal Pradesh on EPC mode
Pkg-1
(NHIDCL)
(619248)",Arunachal Pradesh,"12/2023
(06/2026)","06/2028
(06/2028)","441.41
(441.41)",25.88,14.69
55,"lmprovement and Widening to 2 lane with paved Shoulder of NH-15 old NH-52
from Existing Km 770.600 Design Km 24.819 to Existing km 805.750 Design Km
59.885 Kamlang T-Junction to Chowkham, Existing Length 35.150 Km, Design
Length-35.066 Km in the state of Arunachal Pradesh on EPC mode Pkg-2
(NHIDCL)
(619014)",Arunachal Pradesh,"12/2023
(02/2026)","02/2028
(02/2028)","316.73
(316.73)",34.98,15.06
56,"Construction of 2-Laning with hard shoulders of Demwe-Brahmakund section of
NH-13 from Ch.0.00 km to 18.464 km on EPC under SARDP-NE NHO-NE -
Balance Work
(NHIDCL)
(618445)",Arunachal Pradesh,"08/2020
(06/2025)","12/2027
(12/2027)","353.9
(353.9)",26.82,19.57
57,"Roing-Hunli Road Greenfield Alignment Project
(NHIDCL)
(618434)",Arunachal Pradesh,"02/2017
(03/2018)","03/2022
(10/2026)","1718.59
(1718.59)",1123.4,82.45
58,"Construction of Balance work of 2-Lane with PS of Joram Koloriang Road from
existing Km122.600 to km138.00 [Design Km108.724 to Km123.714] in
Arunachal Pradesh on EPC Mode under SARDP-NE Pkg-7
(NHIDCL)
(618433)",Arunachal Pradesh,"02/2017
(10/2020)","04/2022
(04/2026)","184.89
(184.89)",156.42,99.69
59,"Construction of Intermediate Lane of Pango to Jorging Road from 0000 to Design
Km Design Km 40000 Design Length 40.00 Km, Pkg-l, Greenfield Alignment in
the State of Arunachal Pradesh on EPC mode Pkg-1
(NHIDCL)
(618405)",Arunachal Pradesh,"01/2024
(01/2025)","07/2027
(07/2027)","898.19
(898.19)",255.52,39.86
60,"Construction of lntermediate Lane Road with hard shoulder from design chainage
Km 0.000 to Km 53.040 Existing Length68.500 Km & Total Design length 53.04
km of Tato to Monigong section of NH-913 Frontier Highway on Nafra Bomdila to
Vijaynagar along China border in state of Arunachal pradesh on EPC mode
(NHIDCL)
(618404)",Arunachal Pradesh,"12/2023
(05/2025)","11/2027
(11/2027)","625.61
(625.61)",269.64,22.81
61,"Construction of Intermediate Lane Road with hard shoulder from design Km
0.000 to Km 17.387 Total length 17.387 km of Hunli to Ithun Bridge section on
NH-913 Frontier Highway in State of Arunachal Pradesh on EPC mode under
NHO-NE
(NHIDCL)
(618403)",Arunachal Pradesh,"02/2024
(01/2025)","01/2027
(01/2027)","275.5
(275.5)",163.15,56.18
62,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang from
Design Km 0.000 to Km 53.000 Design Length 53.000 km, Greenfield Section of
Frontier Highway NH-913 in the State of Arunachal Pradesh on EPC Mode
Package-I
(NHIDCL)
(618402)",Arunachal Pradesh,"02/2024
(03/2025)","02/2028
(03/2028)","1262.43
(1262.43)",255.45,19.13
63,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang
Package-III from design Km 60.000 to Km 121.500 Design Length 61.500 km,
Greenfield Section of Frontier Highway NH-913 in the State of Arunachal Pradesh
on EPC Mode Pkg-3
(NHIDCL)
(618401)",Arunachal Pradesh,"02/2024
(07/2025)","07/2028
(07/2028)","1418.67
(1418.67)",93.19,1.7
64,"Balance work of 4L of NarimbangloJatinga Junction- Harangajoroad section from
Km 0.000 to Km 49.230 of NH-27
(NHAI)
(619089)",Assam,"03/2022
(01/2023)","01/2026
(08/2026)","1909.98
(2745.74)",1393.08,98
