Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
372,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East
Champaran and Deoria districts
(Bharat Petroleum Corporation Limited [BPCL])
(709793)",Bihar,"NA
(12/2022)","06/2030
(06/2030)","3919
(3919)",400.92,18
373,"Redevelopment of Sobhasan Complex
(Oil and Natural Gas Corporation Limited [ONGC])
(400087)",Gujarat,"NA
(08/2021)","02/2026
(02/2026)","885.63
(1286.67)",789.49,78
374,"Redevelopment of Santhal Field [Onshore-Mehsana Asset]
(Oil and Natural Gas Corporation Limited [ONGC])
(400167)",Gujarat,"NA
(02/2017)","03/2026
(03/2026)","1162.56
(1162.56)",1157,94
375,"Redevelopment of Linch Field
(Oil and Natural Gas Corporation Limited [ONGC])
(400169)",Gujarat,"NA
(04/2021)","03/2025
(10/2025)","631.03
(860.04)",505.15,79
376,"Petrochemical and Lube Integration Project at Gujarat Refinery
(Ministry of Petroleum & Natural Gas)
(701329)",Gujarat,"NA
(09/2020)","08/2024
(12/2025)","18936
(17825)",12327.91,83
377,"Installation of new Biturox Unit along with allied facilities at Gujarat Refinery
(MinistryofPetroleumNaturalGas)
(709778)",Gujarat,"NA
(01/2022)","08/2025
(09/2026)","328.29
(287)",151.53,58
378,"Commercial Polymer Flooding Project in Bechraji field
(Oil and Natural Gas Corporation Limited [ONGC])
(709838)",Gujarat,"NA
(01/2022)","11/2024
(11/2025)","621.4
(621.4)",137.71,21
379,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira
(Oil and Natural Gas Corporation Limited [ONGC])
(709840)",Gujarat,"NA
(05/2022)","02/2025
(12/2025)","249.43
(249.43)",209.45,94
380,"Old Pipe Line Replacement [OPRP] Group-A
(Oil and Natural Gas Corporation Limited [ONGC])
(709841)",Gujarat,"NA
(07/2021)","07/2025
(03/2026)","173.03
(169.84)",147.02,87
381,"Kalol Redevelopment Project, Ahmedabad Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709842)",Gujarat,"NA
(08/2022)","03/2027
(03/2027)","1487.41
(1487.41)",927.5,62
382,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal
(Oil and Natural Gas Corporation Limited [ONGC])
(709845)",Gujarat,"NA
(11/2022)","08/2026
(08/2026)","837.34
(837.34)",219.13,52
383,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II,
Faridabad
(Ministry of Petroleum & Natural Gas)
(604853)",Haryana,"NA
(06/2019)","12/2022
(03/2026)","2281.94
(3200)",1800.61,63
384,"Poly Butadiene Rubber plant at Panipat
(Indian Oil Corporation Limited [IOCL])
(611917)",Haryana,"NA
(03/2022)","03/2025
(06/2026)","1459
(2531.44)",1072.59,70
385,"Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA
(Ministry of Petroleum & Natural Gas)
(701289)",Haryana,"NA
(02/2021)","09/2024
(12/2025)","34627
(36225)",24355.1,89
386,"Installation of Multiple Effect Evaporator [MEE] for ETP-1, 2 & 4 of Panipat Refinery
and Petrochemical Complex.
(MinistryofPetroleumNaturalGas)
(709783)",Haryana,"NA
(12/2020)","06/2023
(06/2026)","165.13
(247.69)",130.6,72
387,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua
Districts
(MinistryofPetroleumNaturalGas)
(709773)","Jammu and
Kashmir","NA
(03/2022)","03/2032
(03/2032)","538
(538)",3.72,0
388,"Development of Jharia CBM Block [Phase-1]
(Oil and Natural Gas Corporation Limited [ONGC])
(610984)",Jharkhand,"NA
(11/2019)","01/2024
(11/2025)","431
(431)",211.4,59
389,"Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL]
(MinistryofPetroleumNaturalGas)
(709785)",Jharkhand,"NA
(02/2023)","02/2026
(02/2026)","202.07
(202.07)",52.42,45
390,"Power System Upgradation Project
(Mangalore Refinary and Petrochemicals Limited)
(612790)",Karnataka,"NA
(10/2023)","11/2025
(05/2026)","385
(385)",137,64
391,"Demo Bio-ATF Project
(Ministry of Petroleum & Natural Gas)
(616879)",Karnataka,"NA
(03/2024)","01/2027
(01/2027)","364
(364)",27.02,12
392,"Revamping/ Augmentation of facilities at existing port terminal at Mangalore
(Ministry of Petroleum & Natural Gas)
(709774)",Karnataka,"NA
(01/2022)","12/2025
(12/2025)","463
(500.62)",271.16,82
393,"Replacement and Extension of Jetty Pipelines [REJP] at KR
(Bharat Petroleum Corporation Limited [BPCL])
(709790)",Kerala,"NA
(03/2023)","03/2026
(03/2026)","621.87
(621.87)",193.19,85
394,"Setting up Polypropylene Unit at Kochi Refinery
(MinistryofPetroleumNaturalGas)
(709799)",Kerala,"NA
(12/2023)","10/2027
(10/2027)","4460
(4460)",265.89,13
395,"Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants
and expansion of Refinery
(MinistryofPetroleumNaturalGas)
(709798)",Madhya Pradesh,"NA
(05/2023)","05/2028
(05/2028)","43367
(43367)",1855.5,14
396,"Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import
Terminal
(Department of Water Resources, River Development & GR)
(400158)",Maharashtra,"NA
(04/2021)","02/2024
(12/2025)","1164.69
(1629.86)",932.25,86
397,"500 KTA PDHPP Project, Usar
(Ministry of Petroleum & Natural Gas)
(400168)",Maharashtra,"NA
(04/2021)","04/2025
(10/2025)","8797
(11256)",6877.59,85
398,"Construction of lube oil blending plant at Rasayani
(Ministry of Petroleum & Natural Gas)
(610985)",Maharashtra,"NA
(05/2022)","12/2023
(12/2025)","423.39
(526.26)",301.01,80
399,"Lube Modernization & Bottom Upgradation Project at Mumbai Refinery
(Ministry of Petroleum and Natural Gas)
(616933)",Maharashtra,"NA
(12/2024)","03/2028
(03/2028)","4679
(4679)",194.44,5
400,"HP TDAE Unit in Mumbai Refinery
(Hindustan Petroleum Corporation Limited)
(709760)",Maharashtra,"NA
(06/2024)","04/2026
(04/2026)","240
(240)",34.42,40
