Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
297,"Augmentation and Strenghthning of Urban Water Supply Phase 1 - SAAP 3
(Ministry of Housing & Urban Affairs)
(702746)
(-)",Jharkhand,"02/2017
(12/2018)","03/2023
(03/2026)","278.28
(278.28)",186.5,80
298,"Belgavi Improvement in Sewerage System Project
(Ministry of Housing & Urban Affairs)
(702760)
(-)",Karnataka,"12/2015
(10/2016)","07/2023
(03/2026)","162.73
(162.73)",85.71,80
299,"24/7 water supply under AMRUT for Davanagere
(Ministry of Housing & Urban Affairs)
(702764)
(-)",Karnataka,"11/2016
(01/2018)","03/2023
(03/2026)","174.96
(174.96)",93.18,65
300,"Indore Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702793)
(-)",Madhya Pradesh,"12/2016
(11/2017)","03/2023
(03/2026)","287.17
(287.17)",252.5,99
301,"Jabalpur Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702798)
(-)",Madhya Pradesh,"10/2018
(12/2017)","03/2023
(03/2026)","362.31
(362.31)",324.79,96
302,"Satna Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702808)
(-)",Madhya Pradesh,"11/2015
(12/2016)","03/2024
(03/2026)","191.56
(215.89)",192.79,91
303,"Singrauli Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702810)
(-)",Madhya Pradesh,"05/2016
(11/2017)","03/2023
(03/2026)","402.01
(438.1)",357.68,90
304,"Kalyan-Dombivali Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702833)
(-)",Maharashtra,"07/2016
(09/2019)","10/2023
(06/2026)","194.2
(194.2)",136.56,75
305,"Mira-Bhayandar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702840)
(-)",Maharashtra,"11/2016
(08/2018)","03/2023
(03/2026)","204.55
(204.55)",186.13,99
306,"Pune Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702851)
(-)",Maharashtra,"03/2017
(07/2017)","03/2023
(03/2026)","235.95
(235.95)",220.77,95
307,"Solapur Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702854)
(-)",Maharashtra,"03/2017
(04/2018)","03/2023
(03/2026)","180.24
(180.24)",172.22,98
308,"Jalandhar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(703021)
(-)",Punjab,"11/2016
(08/2020)","08/2023
(03/2026)","258.53
(266.64)",161.02,58
309,"Patiala Water Supply Infrastructure Part-2 Project
(Ministry of Housing & Urban Affairs)
(703057)
(-)",Punjab,"11/2016
(08/2020)","10/2023
(03/2026)","287
(287)",213.64,99
310,"Jhansi Water Supply Infrastructure Phase-II Project
(Ministry of Housing & Urban Affairs)
(702949)
(-)",Uttar Pradesh,"03/2017
(06/2019)","07/2023
(03/2026)","561.74
(561.74)",485.91,93
,Total (22),,,,5389.29,3955.3,
,Ministry of Mines,,,,,,
,Construction,,,,,,
311,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art
Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata
(Central Public Works Department [CPWD])
(617280)
(N10000015)",West Bengal,"04/2019
(02/2020)","08/2026
(-)","255.37
(255.37)",96.26,53
,Total (1),,,,255.37,96.26,
,Metals & Mining,,,,,,
312,"Expansion of Malanjkhand Copper Project
(Hindustan Copper Limited [HCL])
(400426)
(-)",Madhya Pradesh,"09/2011
(04/2015)","04/2020
(04/2026)","1856.36
(1856.36)",959.13,83
313,"Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity
enhancement of 1.0 Million Tonee Per Annum
(National Aluminium Company Limited [NALCO])
(400141)
(-)",Odisha,"04/2017
(04/2017)","12/2022
(06/2026)","4103
(5677.4)",4640.29,82
314,"Pottangi Bauxite Mines Project
(National Aluminium Company Limited [NALCO])
(400299)
(-)",Odisha,"05/2018
(05/2018)","03/2025
(05/2026)","1381
(1960.77)",769.97,51
315,"CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE
TRAIN OF HRDS AND DCWS IN STREAMS 1 AND
(Ministry of Mines)
(709830)
(N10000012)",Odisha,"NA
(04/2017)","11/2026
(-)","355
(581)",163.55,12
316,"SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA
REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES
(National Aluminium Company Limited [NALCO])
(709831)
(N10000013)",Odisha,"11/2017
(11/2019)","05/2025
(06/2026)","483
(483)",432.66,91
317,"25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU
(National Aluminium Company Limited [NALCO])
(709832)
(N10000014)",Tamil Nadu,"09/2017
(12/2017)","03/2025
(03/2026)","166
(166)",135,66
,Total (6),,,,8344.36,7100.6,
