Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
86,"4L PS from near Hunsur - KR Nagar Junction to near Yalachahalli village KR Nagara -
Yelawala Road Junction fcrom Km 169.000 to Km 195.550 of NH-275 Pkg-IV
(National Highways Authority of India [NHAI])
(618872)",Karnataka,"02/2023
(04/2025)","04/2027
(-)","1062.76
(952.03)"
87,"4L PS from near Yalachahalli village KR Nagara - Yelawala Road junction to
Srirangapatna Bypass Near Paschima Vahini from km 195.550 to Km 214.535 of NH-
275 Pkg-V
(National Highways Authority of India [NHAI])
(618873)",Karnataka,"01/2023
(04/2025)","04/2027
(-)","1272.71
(1203.2)"
88,"6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 97.000
to Km. 162.500 in Yadgir of NH-150C Pkg-III
(National Highways Authority of India [NHAI])
(619211)",Karnataka,"03/2022
(04/2023)","10/2025
(-)","2104.7
(2065.83)"
89,"4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli -
Hassan section
(National Highways Authority of India [NHAI])
(619214)",Karnataka,"04/2020
(01/2021)","01/2023
(05/2025)","688
(684.54)"
90,"4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km.
12.300 to Km. 65.195
(National Highways Authority of India [NHAI])
(619218)",Karnataka,"02/2018
(10/2019)","10/2021
(10/2024)","1364.14
(1692.12)"
91,"4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of NH-
206
(National Highways Authority of India [NHAI])
(619219)",Karnataka,"02/2018
(10/2019)","10/2021
(10/2024)","1505.85
(1989.89)"
92,"Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of
Old NH-206
(National Highways Authority of India [NHAI])
(619220)",Karnataka,"02/2018
(03/2021)","03/2023
(01/2025)","1444.5
(1834.81)"
93,"Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to
Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi-
Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH-
166E-KNT-2022-23-974
(MoRTH)
(618095)",Karnataka,"02/2023
(09/2024)","03/2026
(-)","196.05
(-)"
94,"Widening to Two Lane with Paved Shoulder of NH-73 New Spur Road Ujire -
Dharmasthala - Periyashanthi in the State of Karnataka under on HAM under NHO
Annual Plan 2023-24Job No NH-73Spur-KNT-2023-24-996
(MoRTH)
(618189)",Karnataka,"01/2024
(11/2025)","11/2027
(-)","613.65
(-)"
95,"Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km
103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section
of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022-23
(MoRTH)
(618147)",Karnataka,"01/2023
(03/2024)","09/2025
(-)","166.58
(-)"
96,"Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage
of NH-548B Murrum-Maharashtra Border in the State of Karnataka
(MoRTH)
(618149)",Karnataka,"02/2023
(01/2025)","01/2027
(-)","957.09
(-)"
97,"Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the
state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023
(MoRTH)
(617999)",Karnataka,"03/2023
(09/2024)","04/2026
(-)","471.62
(-)"
98,"Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu
on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on
EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023
(MoRTH)
(618027)",Karnataka,"02/2023
(03/2024)","03/2026
(-)","445.62
(-)"
99,"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur
Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode
under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023
(MoRTH)
(618028)",Karnataka,"02/2023
(06/2025)","06/2027
(-)","333.96
(-)"
100,"Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923
(National Highways Authority of India [NHAI])
(618518)",Karnataka,(01/2018),"07/2020
(10/2024)","1454.67
(1805.84)"
101,"4L of km 0.00 to km 42.00 of Dobbaspet to Doddaballapura Bypass section of NH-648
old NH-207] [Bangalore Ring Road Pkg 1]
(National Highways Authority of India [NHAI])
(618520)",Karnataka,"08/2020
(04/2021)","04/2023
(02/2024)","1438.74
(1786.57)"
102,"4 Lane with PS from Des. Ch 228.500 to Des. Ch. 273.400 of Belgaum-Hungund-
Raichur Section of NH 748 A Package-6
(National Highways Authority of India [NHAI])
(618649)",Karnataka,"03/2023
(11/2024)","11/2026
(-)","1246.15
(1012.78)"
103,"4 Lane with PS from Des. Ch 89.900 to Des. Ch. 136.100 of Belgaum-Hungund-
Raichur Section of NH-748A Package-3
(National Highways Authority of India [NHAI])
(618650)",Karnataka,"01/2024
(04/2025)","04/2027
(-)","1363.9
(1219.62)"
104,"Challakere to Hariyur section from km 358.500 to km 414.205 of NH-150 A
(National Highways Authority of India [NHAI])
(618698)",Karnataka,"03/2018
(01/2021)","01/2023
(06/2025)","1167.52
(1873.58)"
105,"6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66
(National Highways Authority of India [NHAI])
(619206)",Kerala,"06/2020
(10/2021)","01/2024
(12/2024)","3041.65
(3867.66)"
106,"Start of Kollam Bypass - Kadambattukonam
(National Highways Authority of India [NHAI])
(619207)",Kerala,"06/2021
(10/2022)","03/2025
(-)","2641.37
(3309.06)"
107,"Kadambattukonam-Kazhakuttom
(National Highways Authority of India [NHAI])
(619208)",Kerala,"12/2021
(07/2022)","01/2025
(-)","3635.64
(3526.33)"
108,"Construction of 6 lane Indore western bypass from km 34000 to Km 64000 Pkg-II in
the state of Madhya Pradesh on Hybrid Annuity Mode under NHO
(National Highways Authority of India [NHAI])
(618933)",Madhya Pradesh,"03/2024
(03/2026)","03/2028
(-)","1430.56
(-)"
