Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
198,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length
25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the
state of Tripura on EPC basis under NHO-NE
(NHIDCL)
(618417)",Tripura,"03/2023
(03/2024)","03/2027
(03/2027)","2026.05
(2026.05)",462.34,9.2
199,"Rehabilitation and up-gradation of road from km 16.077 to km 43.935 total length
27.858 km of Lalchara-Kanchanpur section via Shivbari on NH-44A to 2 lane with
paved shoulder in the state of Tripura on EPC Mode Pkg-2 under BharatMala
Pariyojana Manu-Simlung -2
(NHIDCL)
(618307)",Tripura,"02/2022
(01/2023)","01/2025
(01/2026)","456.88
(456.88)",205.69,54.56
,Total (147),,,,95134.78,40081.41,
,Department of Telecommunications,,,,,,
,Telecommunication,,,,,,
200,"Amended BharatNet Program - AS
(Department of Telecommunications)
(240484)",Assam,"08/2023
(03/2026)","03/2029
(-)","832
(832)",83.16,0
201,"Provision of 4G based Mobile Services in Uncovered Villages and National
Highways of Meghalaya
(Department of Telecommunications)
(701598)",Meghalaya,"09/2019
(09/2020)","03/2022
(06/2026)","971.96
(180.46)",167.23,99.84
202,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and
2 Districts of Assam
(Department of Telecommunications)
(701597)","Multi-States (Arunachal
Pradesh, Assam)","12/2020
(10/2021)","04/2023
(09/2026)","1255.49
(276.62)",237.98,99.84
203,"Amended BharatNet Program - ARP, NGL, MNP
(Department of Telecommunications)
(976009)","Multi-States (Arunachal
Pradesh, Manipur,
Nagaland)","08/2023
(06/2025)","06/2028
(-)","1168
(1168)",123.28,0.61
204,"Saturation 4G mobile coverage of Uncovered Villages through USOF
(Department of Telecommunications [DoT])
(400013)","Multi-States (Arunachal
Pradesh, Meghalaya,
Sikkim, Mizoram,
Assam, Nagaland,
Manipur, Tripura)","07/2022
(07/2022)","06/2024
(03/2027)","26316
(15392.8)",8722.82,87.7
205,"BharatNet Phase-II
(Department of Telecommunications)
(547243)","Multi-States (Manipur,
Meghalaya, Arunachal
Pradesh, Nagaland,
Sikkim, Assam,
Mizoram, Tripura)","07/2017
(11/2017)","05/2023
(-)","22174.56
(22174.6)",20691.72,93.33
