Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
45,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang Package-
III from design Km 60.000 to Km 121.500 Design Length 61.500 km, Greenfield
Section of Frontier Highway NH-913 in the State of Arunachal Pradesh on EPC Mode
Pkg-3
(NHIDCL)
(618401)",Arunachal Pradesh,"02/2024
(07/2025)","07/2028
(-)","1418.67
(-)"
46,"Guwahati Ring Road in the State of Assam
(National Highways Authority of India [NHAI])
(618934)",Assam,"08/2024
(01/2026)","01/2030
(-)","5729.47
(-)"
47,"Widening/lmprovement to 4-Laning and Greenfield alignment with Paved shoulder of
Silchar-Badarpur Churaibari section of NH-37 & NH-8 from Design chainage 38.600
End point of proposed Badarpur Bypass to Km. 62.800 Start point of proposed
Nilambazar/Cheragi Bypass in the state of Assam on HAM Mode Package-4
(NHIDCL)
(618309)",Assam,"02/2024
(08/2025)","08/2027
(-)","1319.55
(-)"
48,"Widening/lmprovement of Existing 2 lane to 4-Laning of Karimganj-Silchar section of
NH-37 from Design Ch 0.000 near Silchar ISBT to Design Ch 15.970 near Kalinagar Pt
I on NH-37 in Assam on HAM Mode Pkg-1
(NHIDCL)
(618313)",Assam,"03/2024
(09/2025)","09/2027
(-)","1181.55
(-)"
49,"Construction of new 2 Lane with paved shoulders of NH Standards from km 0.080 to
km 11.690 L11.610 km in Majuli and from km 19.715 to km 27.484 L 7.769 km in
Jorhat on the newly declared NH 715K and construction of 1.10 km flyover on NH-715
with its approaches and service roads L1.10 km, Total Length 20.479 km in the State
of Assam Job No. 715K/AS/2023-24/256
(MoRTH)
(618159)",Assam,"02/2024
(09/2025)","03/2027
(-)","382.1
(-)"
50,"Construction of 2 lane Major Bridge including approaches over Brahmaputra between
Majuli on North Bank and Jorhat on South Bank from km. 11.690 to km. 19.715 length
of bridge 6,812.5m Package - II on NH-715K in the state of Assam Job no.
715/AS/2020-21/213
(MoRTH)
(618160)",Assam,"03/2025
(12/2025)","12/2027
(-)","1019.17
(-)"
51,"construction of Four-Lane of chausa-Buxar Bypass from Km 45.000 to Km 65.915
Package - 2 in the State of Bihar on EPC Mode.
(MoRTH)
(618120)",Bihar,"09/2022
(01/2026)","01/2028
(-)","1060.16
(-)"
52,"Improvement and Up gradation to four lane with Paved shoulder configuration from
Existing Km 0000 to Km 39500 design km 0500 to Km 40342, Design length km of NH
227A near Mehrauna GhatUP Bihar Border to Siwan on the state of Bihar on Hybrid
Annuity Model HAM basis
(MoRTH)
(618251)",Bihar,"03/2023
(09/2025)","03/2028
(11/2025)","1661.25
(-)"
53,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from Pachmon village to
Anarbansalea village From KM. 116000 to KM. 151200 Package-6
(National Highways Authority of India [NHAI])
(618725)",Bihar,"03/2023
(09/2025)","09/2027
(-)","1915.99
(1920.21)"
54,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Chandauli-
Chainpur Road near Khainti village to junction with Bhabhua-Adhaura road near Palka
village from Km. 27.000 to Km. 54.000 Pkg-2
(National Highways Authority of India [NHAI])
(618726)",Bihar,"03/2023
(10/2025)","10/2027
(-)","1240.93
(1341.52)"
55,"6L Greenfield Varanasi-Ranchi-Kolkata Highway from junction with Bhabhua-Adhaura
road in Bhairopur village to Konki village From KM. 54.000 to KM. 90.000Pkg-3
(National Highways Authority of India [NHAI])
(618727)",Bihar,"03/2023
(10/2025)","10/2027
(-)","1576.94
(1711.44)"
56,"Ara Bypass
(National Highways Authority of India [NHAI])
(618775)",Bihar,"03/2025
(10/2025)","04/2027
(-)","226.32
(-)"
57,"4L PS under NH configuration of Manikpur-Sahebganj of NH-139W
(National Highways Authority of India [NHAI])
(618791)",Bihar,"10/2024
(01/2026)","12/2027
(-)","1538.76
(-)"
58,"4L of Greenfield Alignment from Km. 47.000 to Km. 89.210 of Balbhadarpur to Bela
Nawda Section of NH-119D
(NHAI)
(619127)",Bihar,"03/2022
(03/2024)","03/2026
(-)","2185.75
(2118.46)"
59,"Rehabilitation and Upgradation of Chorma - Bairgania Section of National Highway No
227F to 2 lane with paved shoulders from Design Ch.0.000 to Ch. 34.566
(National Highways Authority of India [NHAI])
(619136)",Bihar,"06/2022
(02/2024)","01/2026
(-)","610.78
(628.65)"
60,"Umagaon-Saharsa Package-V Bakaur-Parsarma-Bangaon-Bariyahi & Spur to Mahishi
(NHAI)
(619166)",Bihar,"10/2022
(12/2023)","12/2025
(-)","768.35
(968.42)"
61,"4 Laning with PS of Pathrapalli-Katghora km 53.3 to km 92.6 Pkg-II of Bilaspur
Kathghora
(National Highways Authority of India [NHAI])
(619167)",Chhattisgarh,"12/2019
(12/2020)","12/2022
(07/2023)","865.1
(1275.26)"
62,"4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58
(National Highways Authority of India [NHAI])
(619103)",Chhattisgarh,(04/2016),"04/2018
(-)","1096.52
(1172.36)"
