Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
242,"Additional Transmission System for evacuation of Power from Bhadla-III PS as part of
Rajasthan REZ Phase III Scheme [20 GW] [SPV Name POWERGRID Bhadla-III
Power Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615337)",Rajasthan,08/2024,"02/2026
(-)","369
(369)",17.82,6
243,"TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN
REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BARMER COMPLEX] PART F [SPV
Name POWERGRID BARMER I TRANSMISSION LIMITED]
(Power Grid Corporation of India Limited [POWERGRID])
(615338)",Rajasthan,11/2024,"11/2026
(-)","2735
(2735)",81.42,5
244,"Augmentation at Fatehgarh-II PS, Fatehgarh-IV PS [Section-II] and Barmer-I PS
[POWERGRID Fatehgarh Barmer Augmentation Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617181)",Rajasthan,03/2025,"12/2026
(-)","404
(404)",4.04,0
245,"Transmission System under ISTS for evacuation of Power from Kudankulam Unit-3&4
[2x1000 MW] [SPV Name POWERGRID Kudankulam Tarnsmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(616671)",Tamil Nadu,01/2025,"12/2026
12/2026","548
(548)",10.96,4
246,"Transmission System for Strengthening to facilitate evacuation of power from
Bhadla/Bikaner Complex
(Power Grid Corporation of India Limited [POWERGRID])
(617269)",Uttar Pradesh,12/2024,"06/2026
(-)","212.81
(212.81)",0.2,0
,Total (61),,,,142976.51,49396.47,
,Ministry of Housing & Urban Affairs,,,,,,
,Construction,,,,,,
247,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi
(Central Public Works Department [CPWD])
(617282)",Delhi,05/2022,"05/2025
08/2025","646.53
(646.52)",518.46,98
,Total (1),,,,646.53,518.46,
,Inland Waterways,,,,,,
248,"Chennai Metro Rail Phase-II Development Project
(Chennai Metro Rail Limited [CMRL])
(702668)",Tamil Nadu,11/2020,"08/2029
(-)","63246
(63246)",47162.73,0
,Total (1),,,,63246,47162.73,
,Real Estate,,,,,,
249,"Integrated Command control Center [ICCC] - Construction and Development of
Integrated Command Control Center with Security, Surveillance, ITMS, Connecting
Port, Ship Service, Smart Solid Waste Management, Smart Public Transport System
(Smart City Mission)
(707229)","Andaman &
Nicobar",11/2021,"05/2023
(-)","209.88
(209.88)",0,0
250,"In-Situ Slum Redevelopment Project in Bihar
(PMAY, Ministry of Housing and Urban Affairs)
(702522)",Bihar,06/2015,"03/2024
(-)","454.65
(454.65)",204.64,0
251,"In-Situ Slum Redevelopment Project in Haryana
(PMAY, Ministry of Housing and Urban Affairs)
(702544)",Chandigarh,06/2015,"03/2024
(-)","285.85
(285.85)",127.58,0
252,"Affordable Housing Construction Project in Chhattisgarh
(PMAY, Ministry of Housing and Urban Affairs)
(702524)",Chhattisgarh,06/2015,"03/2024
(-)","3797.69
(3797.69)",2694,0
253,"Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies
in Delhi
(National Buildings Construction Corporation [NBCC])
(400188)",Delhi,05/2018,"12/2022
12/2025","32850
(32850)",0,0
254,"Rehablitation in Junavadaj Area Smart City Project
(Ministry of Housing & Urban Affairs)
(701719)",Gujarat,06/2016,"07/2022
(-)","539
(539)",39.63,50
255,"In-Situ Slum Redevelopment Project in Gujarat
(PMAY, Ministry of Housing and Urban Affairs)
(702540)",Gujarat,06/2015,"03/2024
(-)","5477.4
(5477.4)",3035.81,0
256,"In-Situ Slum Redevelopment Project in Jharkhand
(PMAY, Ministry of Housing and Urban Affairs)
(702555)",Jharkhand,06/2015,"03/2024
(-)","212.74
(212.74)",41,0
257,"In-Situ Slum Redevelopment Project in Uttar Pradesh
(PMAY, Ministry of Housing and Urban Affairs)
(702612)",Uttar Pradesh,06/2015,"03/2024
(-)","576.99
(576.99)",141.94,0
258,"Green Building Development Project
(Ministry of Housing & Urban Affairs)
(701766)",Uttarakhand,08/2019,"11/2023
(-)","150.97
(150.97)",18.95,0
,Total (10),,,,44555.17,6303.55,
,Urban Public Transport,,,,,,
259,"Patna Metro Rail Project
(Patna Metro Rail Corporation Ltd. [PMRCL])
(702627)",Bihar,02/2019,"02/2024
06/2027","13365.77
(13365.8)",4039.77,40.07
260,"Delhi Metro Rail Phase-IV [2 Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(617207)",Delhi,03/2024,"03/2029
(-)","8399.81
(8399.81)",5.57,0
261,"DMRTS Phase - IV [3 Priority Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(702632)",Delhi,07/2019,"03/2025
03/2026","24948.65
(24948.7)",15423.06,68
262,"Surat Metro Rail Project
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702630)",Gujarat,04/2019,"03/2024
06/2026","12020.32
(12020.3)",7386.41,68
263,"Ahmedabad Metro Rail Project, Phase-II
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702631)",Gujarat,03/2019,"03/2024
12/2025","5384.17
(5384.17)",4151.57,87
264,"Ahmedabad Metro Rail Project [Phase-I]
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702639)",Gujarat,03/2018,"03/2018
08/2025","10773
(12924.5)",11857.91,99.34
265,"Construction of Bangalore Metro Rail Project Phase 2.
(Bengaluru Metro Rail)
(702635)",Karnataka,02/2016,"03/2021
09/2026","26405.14
(30695.1)",29477.97,94
