Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
686,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - II)
(705780)",Uttar Pradesh,03/2017,"12/2024
10/2025","2529
(2529.46)",2051.69,94
687,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(CAO/C/NR)
(705782)",Uttar Pradesh,04/2017,"03/2025
03/2026","407
(407)",317,75
688,"Janghai-Phaphamau Doubling Rail Line Project
(RVNL)
(705784)",Uttar Pradesh,03/2020,"03/2025
03/2025","357
(978.77)",579,95
689,"Bahraich - Nanpara - Nepalganj Road Gauge Conversion
(North Eastern Railway [NER])
(705863)",Uttar Pradesh,04/2021,"07/2025
08/2025","950
(950)",507.02,86
690,"Allahabad division - Aligarh - Harduaganj Flyover
(North Central Railway)
(705918)",Uttar Pradesh,02/2021,"06/2026
03/2027","1457
(1457)",50,8
691,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - II)
(705429)",Uttarakhand,08/2018,"12/2025
03/2027","38953
(38953)",24645.15,65
692,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)",West Bengal,11/2005,"02/2027
02/2027","1000
(1000)",1029.97,67
693,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)",West Bengal,02/2008,"03/2019
02/2026","1189
(1542)",1287.05,90
694,"Dum Dum Airport-New Garia via Rajarhat-Construction of Metro Railway
(RVNL - II)
(400277)",West Bengal,10/2011,"12/2025
03/2026","8964
(8964)",8097.47,80
695,"Construction of Balurghat-Hilli new BG Line
(Northeast Frontier Railway [NFR])
(612096)",West Bengal,12/2010,"03/2027
03/2025","1209
(1209)",405.31,9
696,"Kalipahari Bakhtarnagar 5th line
(Eastern Railway [ER] - I)
(617322)",West Bengal,07/2025,"06/2027
06/2027","350.46
(350.46)",0,0
697,"Joka-BBD Bag new metro project
(RVNL - II)
(705730)",West Bengal,04/2010,"12/2026
12/2028","4835
(10362)",4361.23,59
698,"Noapara-Barasat via Bimanbandar - Construction of Metro railway [18 km]
(Metro Railway, Kolkata)
(706776)",West Bengal,03/2010,"08/2026
03/2029","4830
(4830)",2764.13,32
,Total (252),,,,673330.1,503708.43,
,Real Estate,,,,,,
699,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling
(South Western Railway [SWR] - II)
(705663)",Karnataka,06/2022,"02/2026
02/2026","493
(493)",252.45,82
,Total (1),,,,493,252.45,
,Urban Public Transport,,,,,,
700,"Baranagar-Barrackpore and Dakshineshwar- Construction of Metro Railway
(RVNL - II)
(706777)",West Bengal,03/2010,"12/2026
12/2025","2298
(2734)",393,17
,Total (1),,,,2298,393,
,Ministry of Steel,,,,,,
,Metals & Mining,,,,,,
701,"Capacity expansion of Deposit-14 and 14 NMZ at Kirandul
(National Mineral Development Corporation Limited [NMDC])
(615202)",Chhattisgarh,07/2022,"12/2028
03/2028","1700
(1756.2)",65.44,2
,Total (1),,,,1700,65.44,
,Steel,,,,,,
702,"Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617243)",Chhattisgarh,08/2024,"07/2026
(-)","198.62
(198.62)",10.53,8
703,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of
Secondary Emission at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617255)",Chhattisgarh,12/2023,"06/2026
(-)","471.83
(471.83)",111.75,35
704,"Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617256)",Chhattisgarh,01/2024,"10/2025
(-)","884.1
(884.1)",453.2,75
705,"NMDC Slurry Pipeline Project Phase-1
(National Mineral Development Corporation Limited [NMDC])
(706811)",Chhattisgarh,09/2020,"06/2023
12/2025","2907
(5427)",3012.02,84
706,"SCREENING PLANT-III AT KIRANDUL
(National Mineral Development Corporation Limited [NMDC])
(709826)",Chhattisgarh,10/2021,"01/2026
(-)","2718.84
(2718.84)",1327.11,72
707,"CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX
(National Mineral Development Corporation Limited [NMDC])
(709827)",Chhattisgarh,10/2022,"12/2025
(-)","349.75
(349.75)",247.42,85
708,"New Sinter Plant at BSL, SAIL
(Steel Authority of India Limited [SAIL])
(400174)",Jharkhand,05/2015,"10/2017
06/2027","1034.01
(1752.3)",883.23,51
709,"Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617249)",Jharkhand,02/2025,"01/2027
(-)","211.94
(211.94)",7.52,6
710,"Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617250)",Jharkhand,02/2025,"10/2026
(-)","207.13
(207.13)",7.91,6
711,"Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617253)",Jharkhand,10/2023,"07/2025
11/2025","513.82
(513.82)",220.42,69
