Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
364,"DCU Revamp Project
(NRL)
(709864)
(N16000511) (-)",Assam,"08/2021
(08/2021)","07/2024
(03/2027)","370
(370)",299.25,78.6
365,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme
(NRL)
(709865)
(N16000510) (-)",Assam,"04/2023
(04/2023)","12/2024
(12/2026)","293.5
(293.5)",81.84,99
366,"Setting up of LPG Plant with Rail Unloading Facility at Hathua, Dist. Gopalganj, Bihar
(MinistryofPetroleumNaturalGas)
(617304)
(-) (-)",Bihar,"10/2023
(10/2023)","03/2027
(03/2027)","340.15
(340.15)",172.18,53
367,"Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA
(Ministry of Petroleum & Natural Gas)
(701324)
(N16000386) (3063)",Bihar,"01/2020
(01/2020)","04/2023
(08/2026)","14810
(16724)",74888.74,91.4
368,"Installation of Bitumen Manufacturing Unit along with allied facilities at Barauni
Refinery
(MinistryofPetroleumNaturalGas)
(709777)
(N16000453) (-)",Bihar,"01/2022
(01/2022)","04/2025
(06/2027)","389.35
(340)",121.63,62.9
369,"City Gas Distribution Projects at Darbhanga, Madhubani, Supaul, Sitamarhi and
Sheohar districts
(Bharat Petroleum Corporation Limited [BPCL])
(709792)
(N16000524) (-)",Bihar,"12/2022
(12/2022)","03/2030
(03/2030)","3638
(3638)",478.23,33.4
370,"City Gas Distribution Projects at Gopalganj, Siwan, West Champaran, East
Champaran and Deoria districts
(Bharat Petroleum Corporation Limited [BPCL])
(709793)
(N16000523) (-)",Bihar,"12/2022
(12/2022)","06/2030
(06/2030)","3919
(3919)",514.44,30.2
371,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur,
Bijapur & Dantewada GA
(Ministry of Petroleum & Natural Gas)
(617819)
(-) (9998)",Chhattisgarh,"06/2022
(06/2022)","06/2030
(06/2030)","557.04
(557.04)",8.76,2.2
372,"Redevelopment of Sobhasan Complex
(Oil and Natural Gas Corporation Limited [ONGC])
(400087)
(N16000431) (3514)",Gujarat,"08/2021
(08/2021)","03/2027
(03/2027)","885.63
(1347.61)",1022.45,89.2
373,"Redevelopment of Santhal Field [Onshore-Mehsana Asset]
(Oil and Natural Gas Corporation Limited [ONGC])
(400167)
(N16000279) (3042)",Gujarat,"02/2017
(02/2017)","03/2026
(12/2026)","1162.56
(1162.56)",1113.19,95.9
374,"Redevelopment of Linch Field
(Oil and Natural Gas Corporation Limited [ONGC])
(400169)
(N16000428) (3040)",Gujarat,"04/2021
(04/2021)","03/2025
(07/2026)","631.03
(845.42)",617.71,91
375,"Petrochemical and Lube Integration Project at Gujarat Refinery
(Ministry of Petroleum & Natural Gas)
(701329)
(N16000409) (3062)",Gujarat,"09/2020
(09/2020)","08/2024
(11/2026)","18936
(17825)",75091.61,88.8
376,"Installation of new Biturox Unit along with allied facilities at Gujarat Refinery
(MinistryofPetroleumNaturalGas)
(709778)
(N16000454) (-)",Gujarat,"01/2022
(01/2022)","08/2025
(12/2026)","328.29
(344.36)",217.88,85.8
377,"Commercial Polymer Flooding Project in Bechraji field
(Oil and Natural Gas Corporation Limited [ONGC])
(709838)
(N16000444) (-)",Gujarat,"01/2022
(01/2022)","11/2024
(05/2027)","621.4
(739.02)",232.14,45.2
378,"Restoration of Gas Terminal, Phase-I [Part-A], Hazira
(Oil and Natural Gas Corporation Limited [ONGC])
(709840)
(N16000477) (-)",Gujarat,"05/2022
(05/2022)","02/2025
(07/2026)","249.43
(249.43)",217.49,97.3
379,"Old Pipe Line Replacement [OPRP] Group-A
(Oil and Natural Gas Corporation Limited [ONGC])
(709841)
(N16000483) (-)",Gujarat,"07/2021
(07/2021)","07/2025
(07/2026)","173.03
(169.84)",164.89,94.2
380,"Kalol Redevelopment Project, Ahmedabad Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709842)
(N16000481) (-)",Gujarat,"08/2022
(08/2022)","03/2027
(03/2027)","1487.41
(1487.41)",940.5,64
381,"Revamping of SV Stations, Gas Terminal & Kribhco Terminal
(Oil and Natural Gas Corporation Limited [ONGC])
(709845)
(N16000514) (-)",Gujarat,"11/2022
(11/2022)","08/2026
(08/2026)","837.34
(837.34)",449.47,68.8
382,"Indian Oil Technology Development and Deployment Centre at R&D Campus-II,
Faridabad
(Ministry of Petroleum & Natural Gas)
(604853)
(N16000375) (3069)",Haryana,"06/2019
(06/2019)","12/2022
(07/2027)","2281.94
(3200)",1920.67,65.2
383,"Poly Butadiene Rubber plant at Panipat
(Indian Oil Corporation Limited [IOCL])
(611917)
(N16000458) (7629)",Haryana,"03/2022
(03/2022)","03/2025
(12/2026)","1459
(2531.44)",1632.01,87.3
384,"Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section]
from Crude oil to Product
(IOCL)
(619196)
(-) (-)",Haryana,"05/2025
(05/2025)","04/2027
(03/2027)","359
(359)",33.94,38.2
