Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Total (2),,,,5546.18,3671.92,
,Logistics Infrastructure,,,,,,
452,"Replacement and revamping of pipeline projects in oil jetty area, Kandla
(Deendayal Port Trust [DPT])
(701570)",Gujarat,"NA
(09/2021)","09/2023
(03/2025)","171
(211.61)",137.51,71
,Total (1),,,,171,137.51,
,Oil & Gas,,,,,,
453,"Construction of oil jetty No.8 at old kandla through internal resources
(Deendayal Port Trust [DPT])
(701568)",Gujarat,"NA
(02/2021)","02/2023
(07/2024)","100
(225.85)",166.48,90
,Total (1),,,,100,166.48,
,Shipping,,,,,,
454,"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis
Under PPP Mode
(Deendayal Port Trust [DPT])
(609424)",Gujarat,"10/2022
(12/2023)","12/2026
(-)","4243.64
(4243.64)",70,10
455,"Construction of new dry dock at exisitng Cochin Shipyard Limited premises at
Perumanoor, Kochi 682 015
(Cochin Shipyard)
(701564)",Kerala,"04/2018
(05/2018)","12/2022
(03/2025)","1799
(1799)",1558.39,96
456,"Rewas Port Project
(Reliance Industries Ltd)
(400382)",Maharashtra,"NA
(01/2020)","03/2023
(-)","6000
(6000)",5999.89,0
457,"Setting up of a Floating Storage and Regasification Unit [FSRU] - Mumbai
(Mumbai Port Trust [MPT])
(701586)",Maharashtra,"NA
(04/2021)","11/2026
(11/2026)","900
(900)",65,0
458,"Deepening and Optimization of Inner Harbour facilities including development of
Western Dock on BOT basis to handle Cape size vessels
(Paradip Port Trust [PPT])
(701574)",Odisha,"05/2022
(01/2023)","12/2027
(10/2028)","3004.63
(3004.63)",1149.79,40
459,"Berth No. 2 [previously Berth 3] of HDC Mechanization Project
(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)
(701576)",West Bengal,"NA
(03/2023)","09/2025
(01/2026)","298.26
(298.26)",420,91
460,"Shalukkhali Liquid Cargo Handling Facility Development Project
(Haldia Dock Complex, Syama Prasad Mookerjee Port Authority)
(701577)",West Bengal,"NA
(08/2022)","08/2025
(-)","253.65
(253.65)",9.28,0
,Total (7),,,,16499.18,9272.35,
,"Tourism, Hospitality & Wellness",,,,,,
461,"National Maritime Heritage Complex [NMHC] Phase-I
(Indian Port Rail & Ropeway Corporation Ltd. [IPRCL])
(707215)",Gujarat,"02/2019
(01/2022)","03/2024
(09/2025)","573
(1238.05)",496.63,66
,Total (1),,,,573,496.63,
,Ministry of Steel,,,,,,
,Metals & Mining,,,,,,
462,"Capacity expansion of Deposit-14 and 14 NMZ at Kirandul
(National Mineral Development Corporation Limited [NMDC])
(615202)",Chhattisgarh,"08/2021
(07/2022)","12/2028
(03/2028)","1700
(1756.2)",124.9,4
,Total (1),,,,1700,124.9,
,Steel,,,,,,
463,"Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant
(Steel Authority of India Limited [SAIL])
(617338)",,"01/2025
(02/2025)","07/2028
(-)","2518.39
(2518.39)",62.72,4
464,"Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617243)",Chhattisgarh,"07/2024
(08/2024)","07/2026
(-)","198.62
(198.62)",11.98,12
465,"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of
Secondary Emission at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617255)",Chhattisgarh,"10/2023
(12/2023)","06/2026
(-)","471.83
(471.83)",136.99,44
466,"Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant
(Steel Authority of India Limited [SAIL])
(617256)",Chhattisgarh,"11/2023
(01/2024)","10/2025
(-)","884.1
(884.1)",493.34,79
467,"NMDC Slurry Pipeline Project Phase-1
(National Mineral Development Corporation Limited [NMDC])
(706811)",Chhattisgarh,"11/2015
(09/2020)","06/2023
(12/2025)","2907
(5427)",3107.45,87
468,"SCREENING PLANT-III AT KIRANDUL
(National Mineral Development Corporation Limited [NMDC])
(709826)",Chhattisgarh,"NA
(10/2021)","01/2026
(-)","2718.84
(2718.84)",1362.18,73
469,"CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX
(National Mineral Development Corporation Limited [NMDC])
(709827)",Chhattisgarh,"NA
(10/2022)","12/2025
(-)","349.75
(349.75)",288.8,91
470,"New Sinter Plant at BSL, SAIL
(Steel Authority of India Limited [SAIL])
(400174)",Jharkhand,"03/2015
(10/2015)","10/2017
(06/2027)","1034.01
(1752.3)",885.08,53
471,"Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617249)",Jharkhand,"01/2025
(02/2025)","01/2027
(-)","211.94
(211.94)",15.04,10
472,"Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617250)",Jharkhand,"01/2025
(02/2025)","10/2026
(-)","207.13
(207.13)",15.76,8
473,"Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617253)",Jharkhand,"08/2023
(03/2023)","07/2025
(11/2025)","513.82
(513.82)",237.34,73
474,"Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter
Plant-1 at Bokaro Steel Plant
(Steel Authority of India Limited [SAIL])
(617254)",Jharkhand,"03/2024
(04/2024)","06/2026
(-)","260.37
(260.37)",51.12,22
