Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
23,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka
Expressway, Gurugram.
(Gurugram Metro Rail Limited (GMRL))
(619022)",Haryana,"07/2023
(08/2024)","07/2027
(-)","5452.72
(-)"
24,"LUCKNOW METRO RAIL PROJECT PHASE-1B EAST WEST CORRIDOR
(Uttar Pradesh metro rail corporation [UPMRC])
(619052)",Uttar Pradesh,"09/2025
(05/2026)","04/2031
(-)","5801.05
(-)"
,Total (3),,,,23268.68
,Ministry of Power,,,,
,Electricity Generation,,,,
25,"Nabinagar Super Thermal Power Project, Stage-II [3x800 MW]
(National Thermal Power Corporation [NTPC])
(619051)",Bihar,"11/2024
(03/2025)","07/2030
(-)","29948
(-)"
,Total (1),,,,29948
,Transmission & Distribution,,,,
26,"KPSIII HVDC Transmission Limited
(Adani Transmission Limited)
(619026)",Gujarat,(12/2025),"12/2029
(-)","19000
(-)"
27,"Transmission System for Reliable Power Supply to Dholera
(Power Grid Corporation of India Limited [POWERGRID])
(619029)",Gujarat,"09/2024
(09/2024)","03/2026
(-)","319.42
(-)"
28,"Khavda IVA Power Transmission Limited
(Adani Transmission Limited)
(619049)",Gujarat,"08/2024
(08/2024)","08/2026
(-)","4500
(-)"
29,"Augmentation of 1x500 MVA 400/220kV ICT [3rd] at Thrissur VSC HVDC Station in
Kerala
(Power Grid Corporation of India Limited [POWERGRID])
(619028)",Kerala,"08/2025
(08/2025)","08/2027
(-)","173.14
(-)"
30,"Mahan Transmission Limited
(Adani Transmission Limited)
(619024)",Madhya Pradesh,"03/2025
(03/2025)","04/2027
(-)","3125.32
(-)"
31,"WRNES Talegaon Power Transmission Limited
(Adani Transmission Limited)
(619027)",Maharashtra,(05/2025),"01/2028
(-)","2000
(-)"
32,"Inter-Regional Strengthening between SR Grid and ER Grid
(Power Grid Corporation of India Limited [POWERGRID])
(619030)","Multi-States (Andhra Pradesh,
Odisha)","02/2026
(02/2026)","08/2028
(-)","2722.5
(-)"
33,"RAJASTHAN PART I POWER TRANSMISSION LIMITED
(Adani Transmission Limited)
(619025)","Multi-States (Madhya
Pradesh, Rajasthan, Uttar
Pradesh)","01/2025
(01/2025)","07/2029
(-)","25000
(-)"
,Total (8),,,,56840.38
,Ministry of Railways,,,,
,Railways,,,,
34,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611855)",Rajasthan,(01/2023),"01/2027
(-)","968.92
(-)"
,Total (1),,,,968.92
,Ministry of Road Transport & Highways,,,,
,Roads & Highways,,,,
35,"Balance works in AP Portion and punch list items in TN & AP portion of NH-205
(National Highways Authority of India [NHAI])
(619160)",Andhra Pradesh,"10/2022
(07/2023)","01/2025
(-)","166.52
(113.46)"
36,"Six Laning of Vijayawada Bypass from Chinna Avutapalli to Gollapudi in Vijayawada -
Gundugolanu Section from km. 0.00 to km. 30.00 Pkg-III
(National Highways Authority of India [NHAI])
(619076)",Andhra Pradesh,"01/2020
(02/2021)","02/2023
(03/2024)","1581.24
(1883.71)"
37,"Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km
250/000Design Ch.186000 to 248010 to 2LPS
(MoRTH)
(617987)",Andhra Pradesh,"10/2024
(09/2025)","09/2027
(-)","691.81
(-)"
38,"Sangameswaram - Atmakuru section from Km 96 to Km 124 & Velegodu- Nandyal
section including Nandyal Bypass from Km 143/6 to 185/9 NH-167K
(MoRTH)
(617988)",Andhra Pradesh,"10/2024
(07/2025)","07/2027
(-)","776.17
(644.14)"
39,"Gorantla - Hindupur section from Km 120/300 to 165/000 of NH716G in the State of
Andhra Pradesh
(MoRTH)
(618052)",Andhra Pradesh,"10/2024
(08/2025)","08/2027
(-)","808.7
(-)"
40,"Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500
Km in the State of Andhra Pradesh on EPC mode Job no. 741
(MoRTH)
(618053)",Andhra Pradesh,"10/2024
(08/2025)","08/2027
(-)","1019.97
(-)"
41,"Rehabilitation and upgradation of NH 326A from km 0/0 to 41/979 excluding km 2/255
to 3/372 and km 36/820 to 38/275 Odisha border to Narasamapeta to two lane with
paved Shoulders in the State of Andhra Pradesh under NHO on EPC Mode
(MoRTH)
(618125)",Andhra Pradesh,"03/2018
(09/2018)","03/2020
(03/2021)","228.32
(-)"
42,"Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at
Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh
on EPC mode under NHO
(National Highways Authority of India [NHAI])
(618525)",Andhra Pradesh,"03/2025
(10/2025)","10/2027
(-)","326.61
(223.29)"
43,"6L of Anandapuram Pendurthi Anakapalli Section from km. 681.000 to km. 731.780 of
NH-16
(National Highways Authority of India [NHAI])
(618579)",Andhra Pradesh,"01/2018
(01/2019)","07/2021
(01/2020)","2527
(2957.25)"
44,"6L Access Controlled Greenfield Highway from Kavulakuntla Ch. 196000 to
Narayanmpet Ch. 203500Package-09
(National Highways Authority of India [NHAI])
(618718)",Andhra Pradesh,"02/2023
(02/2025)","02/2027
(-)","1092.18
(956.4)"
