Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1948,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)
(-) (3365)",Gujarat,"04/2017
(04/2017)","12/2019
(03/2026)","5021.76
(6670.31)",4956.98,90.3
1949,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)
(-) (3326)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31860.86,93.7
1950,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)
(-) (3349)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5999.8,70
1951,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)
(-) (3341)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.6,99.32
1952,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)
(-) (3367)",Madhya Pradesh,"04/2017
(04/2017)","12/2019
(06/2027)","648.09
(648.09)",208.06,49.78
1953,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)
(-) (3308)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",814.02,75
1954,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)
(-) (3307)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(12/2026)","1229.15
(1399.7)",2190.05,81.42
1955,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)
(-) (3368)",Maharashtra,"04/2017
(04/2017)","12/2019
(06/2026)","743.73
(743.73)",459.06,53.93
1956,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)
(-) (3335)",Maharashtra,"04/2017
(04/2018)","06/2022
(12/2026)","580.79
(895.81)",713.46,76.22
1957,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)
(-) (3330)",Maharashtra,"04/2017
(02/2019)","06/2023
(06/2027)","2407.67
(2407.67)",2779.38,80.54
1958,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)
(-) (3323)",Maharashtra,"04/2017
(04/2018)","06/2020
(06/2026)","848.07
(888.43)",690.49,69.63
1959,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)
(-) (3314)",Maharashtra,"04/2017
(04/2018)","06/2028
(-)","7222.95
(7222.95)",10516.63,92
1960,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)
(-) (9764)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",1949.56,49.5
1961,"Waghur Project
(Department of water resources-MH - II)
(701383)
(-) (3336)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1557.82,89.57
1962,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)
(-) (3311)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",14339.36,72.65
1963,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)
(-) (3306)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1734.71,98.1
1964,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)
(-) (3317)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1516.11,65
1965,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)
(-) (3320)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",626.06,72.59
1966,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)
(-) (3352)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98.9
1967,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)
(-) (3397)","Multi-States
(Bihar, Jharkhand)","08/2017
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",172.97,38
1968,"Ken-Betwa Linking Development Project
(Department of Water Resources, River Development, )
(701530)
(-) (10035)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","NA
(03/2022)","03/2029
(-)","21030
(21030)",8530.86,0
1969,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)
(-) (3346)",Odisha,"04/1997
(01/1998)","12/2019
(06/2026)","567.03
(2990.05)",2776.23,62.85
1970,"Subernarekha Project, Odisha
(Department of Water Resources, River Development & GR)
(701402)
(-) (3345)",Odisha,"12/1995
(01/1998)","12/2019
(03/2026)","3055.88
(7023.19)",8060.82,95.5
