Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Real Estate,,,,,,
253,"Integrated Command control Center [ICCC] - Construction and Development of
Integrated Command Control Center with Security, Surveillance, ITMS, Connecting
Port, Ship Service, Smart Solid Waste Management, Smart Public Transport System
(ministry of housing and urban affairs)
(707229)
(-)","Andaman &
Nicobar","07/2021
(11/2021)","05/2023
(-)","209.88
(209.88)",0,70
254,"Redevelopment of Seven General Pool Residential Accommodation [GPRA] Colonies
in Delhi
(National Buildings Construction Corporation [NBCC])
(400188)
(-)",Delhi,"07/2016
(05/2018)","12/2025
(12/2025)","32850
(32841)",13885.72,46.5
255,"Rehablitation in Junavadaj Area Smart City Project
(ministry of housing and urban affairs)
(701719)
(-)",Gujarat,"02/2016
(06/2016)","07/2022
(-)","539
(539)",39.63,50
256,"Green Building Development Project
(ministry of housing and urban affairs)
(701766)
(-)",Uttarakhand,"11/2019
(08/2019)","11/2023
(-)","150.97
(150.97)",18.95,31
,Total (4),,,,33749.85,13944.3,
,Urban Public Transport,,,,,,
257,"Patna Metro Rail Project
(Patna Metro Rail Corporation Ltd. [PMRCL])
(702627)
(N28000148)",Bihar,"02/2019
(02/2019)","02/2024
(06/2027)","13365.77
(13365.8)",5068.37,49.79
258,"Delhi Metro Rail Phase-IV [2 Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(617207)
(-)",Delhi,"03/2024
(03/2024)","03/2029
(-)","8399.81
(8399.81)",89.43,2.12
259,"Delhi Metro Rail Phase V A
(Delhi Metro Rail Corporation Limited [DMRC])
(619031)
(-)",Delhi,"01/2026
(01/2026)","12/2028
(-)","12014.91
(12014.9)",17.31,0
260,"DMRTS Phase - IV [3 Priority Corridors]
(Delhi Metro Rail Corporation Limited [DMRC])
(702632)
(N28000135)",Delhi,"07/2019
(07/2019)","03/2025
(12/2026)","24948.65
(24948.7)",20109.66,79.57
261,"Surat Metro Rail Project
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702630)
(N28000138)",Gujarat,"03/2019
(04/2019)","03/2024
(06/2026)","12020.32
(12020.3)",8898.74,78.8
262,"Ahmedabad Metro Rail Project [Phase-I]
(Gujarat Metro Rail Corporation Limited [GMRCL])
(702639)
(N28000122)",Gujarat,"11/2014
(02/2015)","03/2018
(04/2026)","10773
(12924.5)",12410.84,99.99
263,"Metro connectivity from Millennium City Centre to Cyber City with Spur to Dwarka
Expressway, Gurugram.
(Gurugram Metro Rail Limited [GMRL])
(619022)
(-)",Haryana,"07/2023
(08/2024)","07/2027
(-)","5452.72
(5452.72)",92.12,0
264,"Construction of Bangalore Metro Rail Project Phase 2.
(Bengaluru Metro Rail)
(702635)
(N28000058)",Karnataka,"02/2014
(02/2016)","03/2021
(09/2026)","26405.14
(30695.1)",29782.97,95.4
265,"Construction Bangalore Metro Rail Project Phase-2A & 2B
(Bengaluru Metro Rail)
(702665)
(N28000151)",Karnataka,"06/2021
(01/2019)","06/2026
(06/2026)","14788.1
(14788.1)",10341.33,64
266,"Kochi Metro Rail Phase 2 Development Project
(CSPCC Projects)
(702664)
(N28000158)",Kerala,"11/2022
(11/2022)","11/2026
(11/2026)","1957.05
(1957.05)",641.83,30.85
267,"Bhopal Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702625)
(N28000124)",Madhya Pradesh,"11/2018
(11/2018)","11/2022
(06/2028)","6941.4
(6941.4)",4250.95,57.85
268,"Indore Metro Rail Project
(Madhya Pradesh Metro Rail Co Limited [MPMRCL])
(702626)
(N28000125)",Madhya Pradesh,"11/2018
(11/2018)","11/2022
(12/2028)","7500.8
(7500.8)",4866.16,63.65
269,"PCMC To Nigdi- Extension Of North South Corridor Of Phase-1
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617225)
(N28000157)",Maharashtra,"10/2023
(10/2023)","01/2027
(-)","910.18
(960.18)",263.93,40.04
270,"Pune Metro Phase-1 Extension line towards south from Swargate to Katraj
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617226)
(N28000160)",Maharashtra,"09/2024
(09/2024)","03/2029
(-)","2954.53
(2954.53)",45.69,5.09
271,"Thane Integral Ring Metro Rail Project
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(617327)
(-)",Maharashtra,"09/2024
(09/2024)","09/2029
(-)","12200.1
(12200.1)",79.3,7.26
272,"Pune Metro Rail Project Phase-2 Corridor 2A Vanaz to Chandani Chowk and Corridor
2B Ramwadi to Wagholi/Vitthalwadi
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(618971)
(-)",Maharashtra,"07/2025
(07/2025)","07/2029
(-)","3626.24
(3626.24)",2.19,1.09
273,"Pune Metro Rail Project Phase-2 Line-4 Kharadi to Khadakwasla with Spur Line 4A
Nal Stop - Warje - Manikbaug
(Maharashtra Metro Rail Corporation Limited [MMRCL])
(618985)
(-)",Maharashtra,"12/2025
(12/2025)","12/2030
(-)","9857.85
(9857.85)",2.97,0.45
