Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
539,"Kumbalam-Turavur doubling project [15.59 Km]
(Southern Railway [SR] - II)
(705638)",Kerala,04/2023,"03/2027
03/2027","813
(813)",292.15,15
540,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)",Kerala,04/2023,"03/2028
03/2028","601
(601)",283,17
541,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho
(North Central Railway)
(705480)",Madhya Pradesh,03/1998,"03/2027
12/2027","8914
(8914)",4971.65,70
542,"Katni - Bina Third Railway Line [279 km]
(West Central Railway WCR I)
(705651)",Madhya Pradesh,01/2017,"03/2022
12/2025","2478.23
(4127.23)",3295.49,90
543,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)",Madhya Pradesh,08/2017,"03/2026
03/2026","500
(584)",561.26,80
544,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)",Madhya Pradesh,03/2017,"12/2026
12/2027","2445
(4377)",3122,100
545,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)",Madhya Pradesh,09/2017,"09/2024
03/2026","1248
(1248)",1537.77,92
546,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)",Madhya Pradesh,10/2020,"09/2030
09/2030","7474
(7474)",1658.03,22
547,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)",Madhya Pradesh,10/2021,"10/2027
10/2027","1095.88
(1095.88)",1056.18,89
548,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(CR)
(400019)",Maharashtra,04/2023,"12/2026
09/2027","493
(1171)",234.48,9
549,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)",Maharashtra,04/2008,"03/2028
03/2028","3445
(3445)",3002.93,50
550,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)",Maharashtra,05/2023,"03/2027
(-)","960.64
(960.64)",0,0.01
551,"Western Railway Vasai bypass double line between Naigaon Juchandra 6 km
(PCE/WR)
(611975)",Maharashtra,07/2023,"03/2026
(-)","176
(176)",0,0
552,"Jogeshwari AT Development of JOS-AT as Trainset Maintenance Depot for energy
efficient Vande Bharat Sleeper Trains
(PCE/WR)
(611976)",Maharashtra,06/2023,"10/2025
(-)","221
(221)",0,0
553,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Ministry of Railways)
(613015)",Maharashtra,07/2023,"03/2027
(-)","1813
(1813)",525.2,12
554,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)",Maharashtra,04/2025,"04/2030
(-)","4373.04
(4373.04)",0,0
555,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)",Maharashtra,12/2023,"03/2028
(-)","769.93
(769.93)",0,0
556,"Western Region Video Surveillance Project
(RCIL)
(705300)",Maharashtra,04/2023,"12/2023
(-)","227.59
(227.59)",0,0
557,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railways)
(705356)",Maharashtra,10/2002,"03/2026
03/2026","2539
(4957)",4725.34,92
558,"Baramati Lonand New Line Project
(Central Railway [CR] - II)
(705357)",Maharashtra,03/1999,"03/2027
03/2027","736
(1844)",712,50
559,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)",Maharashtra,03/2012,"03/2027
03/2027","1886
(1886)",706.28,49
560,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway [CR] - II)
(705498)",Maharashtra,09/2015,"12/2026
12/2026","793
(1432)",894.16,50
561,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)",Maharashtra,05/2016,"12/2025
12/2025","540
(698)",724.75,80
562,"3rd Line Wardha - Ballarshah [132 Kilometres]
(Central Railway [CR] - II)
(705502)",Maharashtra,12/2016,"12/2025
02/2026","1385
(1385)",1102.48,77
563,"Pune - Miraj-Londa [467 Kilometres]
(Central Railway [CR] - II)
(705503)",Maharashtra,06/2016,"02/2025
08/2025","3627
(6689)",6548,84
564,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway [CR] - II)
(705504)",Maharashtra,03/2017,"12/2025
12/2025","2081
(3075)",2769,88
565,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)",Maharashtra,05/2018,"12/2025
02/2026","638
(1137)",969,80
566,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)",Maharashtra,04/2018,"12/2024
08/2025","1035
(1559)",1692,97
567,"Solapur-tuljapur-Osmanabad
(WR)
(705735)",Maharashtra,12/2023,"03/2028
03/2028","905
(3296)",1150,10
568,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)",Maharashtra,04/2020,"12/2025
12/2025","1400
(1400)",1472,80
