Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
479,"Gauge Conversion of Kendri-Dhamtari including Abhanpur - Rajim Branch line 67.20
Kms - 2nd Material Modification to Raipur Titlagarh doubling.
(SECR)
(602792)",Chhattisgarh,05/2021,"02/2025
11/2025","1171
(1171)",848,82
480,"4th line between Nipania Bhatapara 14.4 Km
(South East Central Railway [SECR] - II)
(612815)",Chhattisgarh,05/2024,"03/2027
(-)","170.49
(170.49)",0,0
481,"Dharamjaigarh-Korba 63 km
(CERL)
(613003)",Chhattisgarh,07/2022,"08/2026
(-)","1686.26
(1686.26)",288.83,18.5
482,"KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM]
(CAO/C/SECR)
(617200)",Chhattisgarh,04/2025,"03/2031
(-)","7853.84
(7853.84)",0,0
483,"Dallirajhra- Rowghat New Railway Line - Phase I [95 km]
(RVNL - II)
(705433)",Chhattisgarh,12/2009,"09/2025
12/2025","1628
(1628)",1440.85,82
484,"Gevra Road-Pendra Road New Railway Line [135 km]
(Indian Railway Construction International Limited [IRCON])
(705444)",Chhattisgarh,04/2014,"03/2022
12/2025","4970
(4970)",4271.55,72
485,"Chirimiri-Nagpur Halt New Railway Line Project
(South East Central Railway [SECR] - II)
(705756)",Chhattisgarh,06/2020,"06/2030
06/2030","241
(656.52)",71,0
486,"Boridand - Ambikapur Doubling Line Project
(South East Central Railway [SECR] - II)
(706854)",Chhattisgarh,04/2022,"06/2030
06/2030","1376
(1576.23)",218,18
487,"NIPANIA-BHATAPRA [14.4 KM] 4TH LINE [PB-72/NR/2022-23]
(SECR)
(709814)",Chhattisgarh,05/2024,"12/2026
12/2026","170
(184)",0,0
488,"4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709815)",Chhattisgarh,05/2024,"01/2027
12/2027","177.03
(177.03)",0,0
489,"4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23]
(SECR)
(709816)",Chhattisgarh,05/2024,"02/2027
02/2027","177.34
(177.34)",0.76,2
490,"4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23]
(SECR)
(709817)",Chhattisgarh,05/2024,"11/2026
11/2026","169.06
(169.06)",10.13,4
491,"4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23]
(SECR)
(709818)",Chhattisgarh,05/2024,"01/2027
01/2027","328.34
(328.34)",48.02,25
492,"3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI
(SECR)
(709819)",Chhattisgarh,09/2022,"12/2026
12/2026","177
(177)",0,0
493,"Redevelopment of New Delhi Railway Station and construction of associated
infrastructure
(Ministry of Railways)
(613785)",Delhi,06/2024,"12/2028
(-)","4744
(4744)",31.77,0
494,"North Region Video Surveillance Project
(RCIL)
(705298)",Delhi,04/2023,"03/2024
(-)","274.39
(274.39)",0,0
495,"Provision of Work-site Tampers [WST] Railway Project
(EDTK[MC]/RB)
(705694)",Delhi,01/2016,"12/2023
01/2026","187.72
(187.72)",141.91,100
496,"WST Machine Procurement Project
(EDTK[MC]/RB)
(705708)",Delhi,06/2018,"03/2024
12/2027","176
(176)",0,0
497,"PCT Machine Procurement Project
(EDTK[MC]/RB)
(705710)",Delhi,04/2019,"04/2024
06/2027","336
(336)",74.32,81.25
498,"RBMV Machine Procurement Project
(EDTK[MC]/RB)
(705712)",Delhi,10/2019,"06/2024
12/2027","480
(480)",0.33,3.75
499,"SRGM Machine Procurement Project
(EDTK[MC]/RB)
(705717)",Delhi,10/2019,"12/2023
03/2026","440
(440)",390.03,75
500,"WST Machine Procurement Project
(EDTK[MC]/RB)
(705720)",Delhi,12/2019,"04/2024
12/2026","384
(384)",0,0
501,"DTS Machine Procurement Project
(EDTK[MC]/RB)
(705721)",Delhi,12/2019,"12/2024
12/2026","447.6
(447.6)",0,0
502,"BRM Machine Procurement Project
(EDTK[MC]/RB)
(705722)",Delhi,09/2019,"06/2024
12/2027","210
(210)",0.02,0
503,"Track Machine Procurement Project
(EDTK[MC]/RB)
(705726)",Delhi,04/2020,"03/2025
01/2028","6339
(6339)",4166.47,41
504,"Kosamba Umarpada 70 Km
(PCE/WR)
(611918)",Gujarat,07/2022,"03/2027
(-)","468
(468)",20,0
505,"Adraj Moti Vijapur 40 Kms
(Western Railway [WR] - II)
(611937)",Gujarat,05/2022,"05/2026
05/2026","417.53
(417.53)",223,86
506,"Vijapur Ambliyasan 42 km
(PCE/WR)
(611938)",Gujarat,05/2022,"05/2026
05/2026","415.38
(415.38)",364,96
507,"Himatnagar Khedbrahma 55 km
(WR)
(611939)",Gujarat,04/2017,"06/2001
06/2026","482.42
(482.42)",461,96
508,"New broad gauge line between Naliya Jakhau Port 25 Kms
(PCE/WR)
(611943)",Gujarat,02/2023,"01/2028
01/2028","410.26
(410.26)",6,4
