Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
86,"Construction of Rudrapur Bypass Section from Km. 0.000 to 20.640 in the state
of Uttar Pradesh & Uttarakhand
(NHAI)
618912","Multi-States (Uttar
Pradesh, Uttarakhand)","03/2023
(01/2024)","(01/2026)
(03/2026)","1051.73
(1117.17)",670.74
87,"4L/2L PS of Govindpur Raiganj - Chas - WB border section of from km. 0.00 to
km. 56.889 of Old NH-32
(NHAI)
619104","Multi-States (West
Bengal, Jharkhand)","03/2016
(12/2017)","(12/2019)
(09/2025)","1139.65
(1154.8)",1064.7
88,"Widening of existing single lane to intermediate lane road from Mokokchung to
Chare via Dikhu in the state of Nagaland on EPC mode
(MoRTH)
618002",Nagaland,"02/2021
(06/2023)","(06/2025)
(11/2025)","192.93
(-)",110.98
89,"Construction of 4/6 Laning from Km 132.375 to Km 153.058 Total New Alignment
length of 20.683 Km of Daboka-Dimapur Section Dimapur Bypass Nagaland
Portion of NH-36 & 39 in the State of Nagaland on EPC basis under PhaseA of
SARDP-NE
(NHIDCL)
618329",Nagaland,"02/2017
(09/2017)","(09/2020)
(09/2025)","819.39
(-)",635
90,"Construction of bypass to Nayagarh town from km 235.469 to 252.482 of NH-57
including land acquisition in the state of Odisha.
(MoRTH)
617924",Odisha,"01/2022
(05/2023)","(04/2025)
(02/2026)","300.33
(-)",103.64
91,"Balance work of Panikoili Rimoli Section of new NH-20 from Km 0.00 to Km.
163.000
(NHAI)
618819",Odisha,"09/2020
(03/2021)","(03/2022)
(12/2023)","183.03
(200.79)",185.4
92,"4-L of Rajamunda to Barkote Section of NH-23 from km. 287.200 to km. 337.185
(NHAI)
618913",Odisha,"10/2017
(12/2018)","(06/2021)
(07/2025)","609.63
(630.97)",608.19
93,"6L of Bhubaneswar - Jagatpur - Chandikhole Section of NH-16
(NHAI)
619075",Odisha,"01/2009
(12/2011)","(06/2014)
(04/2026)","639.3
(632.89)",579.23
94,"Delhi-Amritsar-Katra Expressway Phase-I Pkg-VII from Junction with Patiala-
Bathinda road NH-7 near Bhawanigarh to Junction with Ludhiana-Malerhkotla
SH-11 near Bhogiwal village Km 188830 to km 225770
(NHAI)
618487",Punjab,"12/2020
(07/2022)","(07/2024)
(02/2026)","1759.82
(1774.32)",1695.83
95,"Construction of Two lane with Paved Shoulder for Fatehpur Bypass Design Km
0.000 to Km 7.400 , Mandawa Bypass Design Km 20.925 to Km 27.300 &
Jhunjhunu Bypass Design Km 41.625 to Km 54.689 of NH-11 on EPC Mode in
the state of Rajasthan .
(MoRTH)
617891",Rajasthan,"03/2022
(02/2023)","(08/2024)
(09/2025)","186.29
(-)",78.06
96,"Upgradation to Two Lane Paved Shoulder in km 33/0 to 126/520 of NH-23 Old
NH-11B Kothun-Lalsot-Karoli-Dholpur road in the state of Rajasthan under EPC
mode Length-93.52 Km.
(MoRTH)
617900",Rajasthan,"12/2021
(09/2022)","(09/2024)
(05/2026)","150.11
(-)",12.25
97,"Up-gradation to 2 lane with Paved shoulder from Charbhuja at Design km 0.00
existing km 150.00 to Neechli Oden Nathdwara at Design ch. Km 88.800 existing
km 55.950 of NH-162E on EPC mode.
(MoRTH)
618093",Rajasthan,"02/2022
(09/2023)","(09/2025)
(04/2025)","838.43
(-)",43.9
98,"Upgradation of two lane paved shoulder from Shahpura existing km. 0.00
Design Ch. 000 to Thanagazi existing Km.37352 Design Ch. 36810 of NH-
248A on EPC mode in the State of Rajasthan.
(MoRTH)
618118",Rajasthan,"03/2022
(02/2023)","(07/2024)
(07/2025)","174.34
(-)",100.48
99,"Delhi-Vadodara Greenfield Alignment NH-148N Pkg-14 Ch. 388.420 to Ch.
419.000 [Junction with NH- 76 to Junction with NH-12 near village Ummedpura]
(NHAI)
618456",Rajasthan,"11/2019
(05/2021)","(05/2023)
(03/2025)","1119.35
(1194.17)",1114.19
100,"4L Greenfield spur from Delhi-Vadodara Greenfield expressway near Bandikui to
Jaipur
(NHAI)
619063",Rajasthan,"03/2022
(11/2022)","(11/2024)
(10/2025)","1636.15
(2170.39)",1283.3
101,"Dindigul Bypass - Samyanallore from km. 373.275 to km. 426.00
(NHAI)
618562",Tamil Nadu,"06/2005
(07/2006)","(01/2009)
(07/2025)","579
(295.5)",141.09
102,"Trichy 135.800 to Karur 218.000 section of NH-67 - Trichy Bypass
(NHAI)
618743",Tamil Nadu,"12/2006
(01/2008)","(07/2010)
(06/2026)","876.88
(360.88)",336.71
103,"4L of Vadugapatti to Therkuvenganallur Rajapalyam section from km 36.000 to
km 71.600 of NH-744
(NHAI)
618745",Tamil Nadu,"02/2022
(04/2023)","(04/2025)
(06/2026)","1317.6
(1137.16)",954.04
104,"Tuticorin - Tirunelveli from km. 0.00 to km. 47.250
(NHAI)
618773",Tamil Nadu,"11/2009
(04/2010)","(04/2012)
(06/2014)","449.85
(452.48)",2.8
105,"Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45
(NHAI)
618874",Tamil Nadu,"12/2006
(01/2008)","(07/2010)
(06/2026)","1003.11
(435.81)",377.7
106,"4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section
of NH45 C Pkg-II
(NHAI)
618897",Tamil Nadu,"03/2017
(08/2018)","(08/2020)
(11/2025)","2356.19
(2356.9)",1697.35
107,"Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68
(NHAI)
618943",Tamil Nadu,"12/2006
(01/2008)","(01/2011)
(11/2025)","861.23
(1019.85)",940.44
108,"Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS-
2/BOT/TN-02
(NHAI)
619083",Tamil Nadu,"06/2005
(08/2006)","(02/2009)
(06/2026)","255.53
(395.43)",392.41
