Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
641,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)
(N22000513)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1200.56,12
642,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)
(N22000629)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
643,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)
(N22000092)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7462.88,88
644,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)
(N22000627)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",3217.51,20
645,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)
(-)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",6143.85,70
646,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)
(220100288)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",15849.48,71
647,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)
(N22000308)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2012
(10/2018)","06/2026
(06/2026)","297
(297)",145.15,21
648,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)
(N22000279)","Multi-States
(Andhra Pradesh,
Karnataka)","03/2008
(07/2010)","09/2015
(02/2028)","2496
(2496)",1857.59,71
649,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - II)
(705610)
(N22000587)","Multi-States
(Andhra Pradesh,
Karnataka)","04/2016
(04/2016)","12/2025
(03/2026)","302
(543)",588.42,89
650,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)
(-)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)","08/2023
(08/2023)","03/2029
(-)","4686.09
(4686.09)",1455.26,2
651,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)
(N22000409)","Multi-States
(Andhra Pradesh,
Odisha)","06/2016
(11/2016)","12/2025
(12/2026)","4803
(6669.91)",6166.7,95
652,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)
(N22000377)","Multi-States
(Andhra Pradesh,
Odisha)","12/2015
(01/2016)","03/2022
(03/2028)","2500
(2500)",2123.59,72
653,"Tindivanam-Nagari New Line Project [184.5 km]
(Ministry of Railways)
(400275)
(N22000085)","Multi-States
(Andhra Pradesh,
Tamil Nadu)","07/2008
(10/2008)","09/2025
(03/2028)","3631
(3631)",1209.16,16
654,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","02/2024
(03/2025)","03/2029
(-)","1595.55
(1595.55)",100.88,2
655,"Doubling of Guntur Bibinagar 239 Km
(South Central Railway [SCR] - II)
(617211)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","08/2023
(08/2023)","03/2029
(-)","2853.23
(2853.23)",201.51,2
656,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)
(-)","Multi-States
(Andhra Pradesh,
Telangana)","11/2024
(11/2024)","03/2027
(-)","2047.4
(2047.4)",55.12,0
657,"Kazipet-Vijayawada 3rd line with electrification [220 km]
(South Central Railway [SCR] - II)
(705612)
(N22000261)","Multi-States
(Andhra Pradesh,
Telangana)","03/2013
(08/2014)","02/2025
(12/2025)","1953
(3363)",4629.45,94
658,"Vijayawada - Kazipet Byepass line
(South Central Railway [SCR] - II)
(705632)
(N22000586)","Multi-States
(Andhra Pradesh,
Telangana)","04/2016
(04/2016)","01/2025
(12/2025)","647
(904)",1144.62,93
659,"Murkongselek-Pasighat
(Northeast Frontier Railway [NFR] - II)
(705401)
(N22000208)","Multi-States
(Arunachal
Pradesh, Assam)","02/2011
(03/2023)","03/2025
(12/2026)","435
(1250)",828.77,66
660,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)
(-)","Multi-States
(Assam,
Nagaland)","02/2024
(01/2025)","02/2028
(-)","2123.7
(2123.7)",64.07,1
661,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR] - II)
(705392)
(N22000124)","Multi-States
(Assam,
Nagaland)","08/2015
(02/2016)","03/2025
(12/2029)","6663
(6663)",6082.94,41
662,"New Delhi- Howrah Speed Booster[160Kmph] Project
(PCE/NCR)
(705794)
(-)","Multi-States
(Bihar, Delhi,
Jharkhand, Uttar
Pradesh, West
Bengal)","09/2019
(09/2019)","03/2024
(-)","6684.81
(6684.81)",127.03,0
663,"Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm
(East Central Railway [ECR] - I)
(616699)
(-)","Multi-States
(Bihar, Jharkhand)","08/2023
(08/2023)","03/2028
(-)","12333.57
(12333.6)",716.07,16
