Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
109,"Construction work of 4-laning of Shahganj bypass end to Badi Package-IV of NH-146B
from design km 102.000 to design km 142.357 Design length 40.357 km
(National Highways Authority of India [NHAI])
(618963)",Madhya Pradesh,"02/2024
(03/2025)","03/2027
(-)","784.14
(836.64)"
110,"Upgradation of Sarvardewla to Pal MP/MH Border Road section of NH-347 C from
Design Chainge km 81.600 to 137.400 Total length 55.80 km to two lane with paved
shoulder configuration along with One time improvement of 1 .95 km in the State of
Madhya Pradesh on EPC mode.
(MoRTH)
(619007)",Madhya Pradesh,"03/2023
(01/2026)","01/2028
(01/2026)","461.23
(-)"
111,"Itarsi Km. 63.000 to Betul Km. 137.000 of NH-69 in Madhya Pradesh
(National Highways Authority of India [NHAI])
(618762)",Madhya Pradesh,"08/2017
(02/2018)","02/2020
(02/2025)","950.27
(788.33)"
112,"Balance works of 4 lane divided carriageway of Missing Link section of NH-39 Rewa
Bypass from junction with NH 30 near Bela to Junction with MPRDC ring road near
Silpara on SH 9 design length 13.100 km on EPC Mode under Bharatmala Pariyojana
in the State of Madhya Pradesh
(NHAI)
(618784)",Madhya Pradesh,"08/2023
(04/2024)","04/2026
(-)","355.36
(355.36)"
113,"2L PS of Roshni to Ashapur Section of NH-347B from Design KM Ch. 89.900 to
114.000 KM Package III of Betul Khandwa
(National Highways Authority of India [NHAI])
(618655)",Madhya Pradesh,"03/2024
(08/2024)","08/2026
(-)","200.99
(120.75)"
114,"4- Laning of Mohari to Satai Ghat section NH-934 from Km 50300 to Km 89875 Total
length 39.575 km Package-2 in the State of Madhya Pradesh on EPC Mode
(National Highways Authority of India [NHAI])
(618666)",Madhya Pradesh,"08/2022
(08/2024)","08/2026
(-)","710.92
(539.08)"
115,"Outer Ring Road of Jabalpur Town from Manegaon to NH-45 Pkg-2
(National Highways Authority of India [NHAI])
(618684)",Madhya Pradesh,"11/2022
(03/2024)","03/2026
(-)","917.26
(786.47)"
116,"Outer Ring Road of Jabalpur Town from NH45 to Kushner Pkg-3
(National Highways Authority of India [NHAI])
(618685)",Madhya Pradesh,"09/2022
(03/2024)","03/2026
(-)","911.24
(773.23)"
117,"Outer Ring Road of Jabalpur Town from Kushner to Amjhar Road including Airport
Connectivity Pkg-IV
(National Highways Authority of India [NHAI])
(618686)",Madhya Pradesh,"08/2022
(03/2024)","03/2026
(-)","612.94
(509.82)"
118,"Additional works 2VUPs, MR-10 junction flyover and underpass in Six lane Indore-
Dewas section of NH-52 in the state of Madhya Pradesh on EPC Mode
(National Highways Authority of India [NHAI])
(618620)",Madhya Pradesh,"08/2022
(01/2023)","07/2024
(-)","207.77
(211.27)"
119,"4L Boregaon Buzurg to Shahpur Pkg I of Boregaon Buzurg to Muktainagar of NH 753L
(National Highways Authority of India [NHAI])
(618623)",Madhya Pradesh,"11/2022
(02/2024)","01/2026
(-)","1504.37
(1132.34)"
120,"Indore - Gujarat / MP Border from km. Km 9.500 to Km 171.000 of NH-59 in MP
(National Highways Authority of India [NHAI])
(618625)",Madhya Pradesh,(08/2010),"02/2013
(-)","1175
(217.22)"
121,"Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved
shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length
42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya
Pradesh on EPCmode.
(MoRTH)
(618035)",Madhya Pradesh,"03/2023
(11/2024)","05/2026
(-)","275.4
(-)"
122,"Upgradation and reconstruction of existing intermediate lane to two Lane with paved
shoulder configuration from km. 43.00 Barna River to km. 77.00 ken river length 34.00
km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. along with One time improvement
in 01 no. of bypassed built-up area in a total length of 1.585 km in the state of Madhya
Pradesh on EPCmode.
(MoRTH)
(618036)",Madhya Pradesh,"03/2023
(11/2024)","11/2026
(-)","315.55
(-)"
123,"Construction of Rewa Bypass to 4-lane with paved shoulder along with service road
from Ratahara Chowk to Chorhata Chowk Road section of NH-30 from km 00.000 to
19.200 in the State of Madhya Pradesh on Hybrid Annuity Mode HAM.
(MoRTH)
(617909)",Madhya Pradesh,"03/2024
(02/2025)","02/2027
(-)","648.05
(-)"
124,"Construction of Kasrawad bypass, Selani bypass, Khargone bypass & Bistan bypass
Total length. 31.950 km Section of NH-347 C to Two lane with paved shoulder
configuration in the State of Madhya Pradesh on EPC mode.
(MoRTH)
(618129)",Madhya Pradesh,"03/2023
(12/2024)","12/2026
(-)","467.93
(-)"
125,"Construction of Ater realignment & Bhind bypass Total length. 21.50 km Section of
NH-552Extn. to Two lane with paved shoulder configuration in the State of Madhya
Pradesh on EPC mode.
(MoRTH)
(618157)",Madhya Pradesh,"03/2023
(12/2024)","06/2026
(-)","348.06
(-)"
126,"Upgradation of Goras to Shyampur Road section of NH-552 Ext., from Design Chainge
48.400 to 111.800 Km Total length 63.40 km to two lane with paved shoulder
configuration along with One time improvement of 8.91 km in the state of Madhya
Pradesh on EPC mode
(MoRTH)
(618158)",Madhya Pradesh,"03/2023
(12/2024)","12/2026
(-)","416.96
(-)"
127,"Construction of Two lane with paved shoulder configuration of Shujalpur Bypass
section of NH-752C from km 33100 Design to km. 42570 Design total design length
10.470 km in the State of Madhya Pradesh on EPC mode.
(MoRTH)
(618170)",Madhya Pradesh,"03/2023
(03/2024)","09/2025
(-)","214.07
(-)"
128,"Work of Upgradation of Jirapur-Pachore Road including Pachore, Jirapur, Chhapiheda
& Khujner Bypasses from 0000 to 58790 Design Length 58.79 Km section of NH-752C
to 2LPS in the State of Madhya Pradesh under EPC mode
(MoRTH)
(618171)",Madhya Pradesh,"03/2022
(01/2024)","01/2026
(-)","352.69
(-)"
129,"Upgradation and reconstruction of Dindori - Mandla Section of NH 543 from Km 77100
Design to Km 170580 Design Total length 93.48km to Two lane with paved shoulder
configuration along with One time improvement in 04 nos of bypassed built-up areas in
a total length of 7.23 km in the state of Madhya Pradesh on EPC mode
(MoRTH)
(618043)",Madhya Pradesh,"03/2022
(01/2024)","07/2026
(-)","492.12
(523.71)"
