Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
429,"Siliguri-Jhapa Pipeline Project
(Indian Oil Corporation Limited [IOCL])
(617828)
(-) (-)",West Bengal,"09/2024
(09/2024)","08/2029
(08/2029)","267.00
(267.00)",3.19,16.5
430,"Siliguri Marketing Terminal [SMT] Capacity Augmentation Project
(Numaligarh Refinery Limited)
(617837)
(-) (-)",West Bengal,"11/2021
(11/2021)","12/2025
(10/2026)","484.00
(484.00)",319.32,89
431,"Dhamra Haldia Pipeline Project
(Gas Authority of India Limited [GAIL])
(701344)
(-) (-)",West Bengal,"03/2020
(03/2020)","11/2022
(09/2026)","1030.65
(1125.00)",927.4,94.4
432,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)
(-) (-)",West Bengal,"11/2022
(11/2022)","11/2025
(08/2026)","1010.00
(1107.00)",884.2,98.3
433,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(Indian Oil Corporation Limited [IOCL])
(709772)
(-) (-)",West Bengal,"03/2022
(03/2022)","06/2031
(-)","609.00
(609.00)",64.44,3
434,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)
(-) (-)",West Bengal,"12/2022
(12/2022)","03/2030
(-)","1017.00
(1017.00)",238.41,43.8
,Total (91),,,,362394.10,204670.66,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
435,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)
(-) (-)",Bihar,"09/2020
(09/2020)","07/2029
(-)","2006.07
(2006.07)",40.33,1.12
436,"Establishment of new GMC Saran [Chhapara]
(Medical Education, Ministry of Health and Family Welfare)
(706965)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","189.00
(189.00)",113.4,0
437,"Establishment of new GMC Samastipur
(Medical Education, Ministry of Health and Family Welfare)
(706966)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","189.00
(189.00)",113.4,0
438,"Establishment of new GMC Sitamarhi
(Medical Education, Ministry of Health and Family Welfare)
(707016)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","250.00
(250.00)",150,0
439,"Establishment of new GMC Jhanjharpur
(Medical Education, Ministry of Health and Family Welfare)
(707017)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","250.00
(250.00)",150,0
440,"Establishment of new GMC Siwan
(Medical Education, Ministry of Health and Family Welfare)
(707018)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","250.00
(250.00)",150,0
441,"Establishment of new GMC Buxar
(Medical Education, Ministry of Health and Family Welfare)
(707019)
(-) (-)",Bihar,"NA
(01/1900)","01/1900
(-)","250.00
(250.00)",150,0
442,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)
(-) (-)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250.00
(500.00)",103.21,50
443,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)
(-) (-)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325.00
(322.85)",179.49,55
444,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)
(-) (-)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325.00
(325.00)",321.7,84
445,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)
(-) (-)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325.00
(325.00)",37,45
446,"Setting up IT Infrastructure including Network Security and Hosting at AIIMS, New
Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617882)
(-) (-)",Delhi,"09/2025
(09/2025)","09/2026
(-)","358.19
(358.19)",53.73,40
447,"Redevelopment of Residential colonies at Ayur Vigyan Nagar and West Ansari Nagar
campuses of AIIMS, New Delhi
(PMSSY AND Institute of NATIONAL Importance)
(617883)
(-) (-)",Delhi,"10/2016
(06/2022)","06/2027
(-)","4441.00
(4441.00)",44.44,57
448,"AIIMS Rajkot
(PMSSY AND Institute of NATIONAL Importance)
(701170)
(-) (-)",Gujarat,"01/2019
(01/2019)","03/2026
(12/2026)","1195.00
(1195.00)",805.48,94
449,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)
(-) (-)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325.00
(663.50)",467.34,88
