Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
467,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)
(-)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)",658.21,92
468,"ALL India Institute of Medical Sciences-AIIMS Madurai
(PMSSY AND Institute of NATIONAL Importance)
(701168)
(-)",Tamil Nadu,"12/2018
(12/2018)","08/2022
(10/2026)","1264
(2021.51)",485.02,48
469,"AIIMS Bibinagar
(PMSSY AND Institute of NATIONAL Importance)
(701171)
(N21000031)",Telangana,"12/2018
(07/2022)","06/2026
(06/2026)","1028
(1365.95)",989.98,87.07
470,"Establishment of new GMC Rudrapur
(Medical Education, Ministry of Health and Family Welfare)
(707086)
(-)",Uttarakhand,"10/2022
(02/2024)","12/2026
(-)","325
(325)",264,35
471,"Establishment of new GMC Pithoragarh
(Medical Education, Ministry of Health and Family Welfare)
(707087)
(-)",Uttarakhand,"08/2021
(04/2023)","12/2026
(-)","325
(768.89)",319.08,78
,Total (23),,,,17252.19,8257.63,
,Ministry of Labour and Employment,,,,,,
,Healthcare,,,,,,
472,"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar,
Visakhapatnam, Andhra Pradesh
(Employee's State Insurance Company [ESIC])
(612167)
(-)",Andhra Pradesh,"02/2021
(04/2023)","10/2025
(03/2026)","384.27
(384.27)",253.37,80
473,"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola
(Employee's State Insurance Company [ESIC])
(612201)
(-)",Assam,"12/2017
(10/2021)","04/2025
(04/2026)","143.23
(154.75)",130.08,98
474,"350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand
(Employee's State Insurance Company [ESIC])
(612186)
(-)",Gujarat,"06/2022
(04/2023)","03/2026
(05/2027)","558.12
(558.12)",55.81,20
475,"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds
to 150 beds.
(Employee's State Insurance Company [ESIC])
(612211)
(-)",Gujarat,"08/2022
(10/2023)","10/2025
(06/2026)","205.87
(205.87)",51.73,30
476,"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka
(Employee's State Insurance Company [ESIC])
(612745)
(-)",Karnataka,"02/2015
(10/2024)","01/2027
(05/2027)","278
(278)",68.23,23
477,"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli,
Karnataka
(Employee's State Insurance Company [ESIC])
(612748)
(-)",Karnataka,"07/2019
(03/2025)","02/2027
(-)","150.92
(150.92)",6.76,10
478,"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST]
ESIC Hospital at Bibewadi, Pune
(Employee's State Insurance Company [ESIC])
(612188)
(-)",Maharashtra,"05/2018
(03/2023)","09/2025
(08/2026)","429.25
(429.25)",323.98,74
479,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.
(Employee's State Insurance Company [ESIC])
(612213)
(-)",Maharashtra,"10/2013
(08/2022)","08/2025
(09/2026)","194.93
(196.7)",114.39,65.5
480,"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff
Housing for ESIC Hospital at Andheri, Mumbai
(Employee's State Insurance Company [ESIC])
(616691)
(-)",Maharashtra,"12/2008
(06/2009)","08/2025
(09/2026)","260.13
(260.13)",210.12,89
481,"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.
(Employee's State Insurance Company [ESIC])
(612513)
(-)",Odisha,"12/2010
(02/2025)","06/2027
(-)","164.6
(164.6)",16.4,7.2
482,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters
at Vallam Vadangal, SIPCOT, Sriperumbudur
(Employee's State Insurance Company [ESIC])
(612178)
(-)",Tamil Nadu,"02/2015
(03/2023)","06/2025
(03/2026)","152.95
(177.01)",127.22,100
483,"CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR
(Employee's State Insurance Company [ESIC])
(612259)
(-)",Uttarakhand,"02/2021
(12/2021)","10/2024
(03/2026)","102.4
(297.63)",334.82,84
,Total (12),,,,3024.67,1692.91,
,"Ministry of Ports, Shipping and Waterways",,,,,,
,Healthcare,,,,,,
484,"Establishment of 600 bed super specialty hospital with optional development of
Medical college and further expansion on PPP basis.
(Mumbai Port Trust [MPT])
(708662)
(-)",Maharashtra,"08/2019
(01/2022)","06/2026
(12/2027)","693
(693)",58,11
,Total (1),,,,693,58,
,Inland Waterways,,,,,,
485,"Jal Marg Vikas Project
(Inland Waterways Authority of India [IWAI])
(701565)
(N25000072)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","01/2018
(02/2018)","12/2023
(12/2025)","5369.18
(5061.15)",3956.59,80.54
