Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1940,"Provision of 4G based mobile services in 7,287 uncovered villages of 44 Aspirational
District across 5 states of Andhra Pradesh, Chhattisgarh, Jharkhand, Maharashtra &
Odisha
(Department of Telecommunications [DoT])
(701602)
(-) (3133)","Multi-States
(Andhra Pradesh,
Chhattisgarh,
Jharkhand,
Maharashtra,
Odisha)","11/2021
(05/2022)","11/2023
(01/2027)","3685
(1448.61)",1100.41,81.2
1941,"Provision of 4G Mobile Services in Uncovered Villages of Arunachal Pradesh and 2
Districts of Assam
(Department of Telecommunications)
(701597)
(-) (3129)","Multi-States
(Arunachal
Pradesh, Assam)","12/2020
(10/2021)","04/2023
(09/2026)","1255.49
(276.62)",237.98,99.6
1942,"502 Aspirational District Scheme in Four states - Bihar, Madhya Pradesh, Rajastha
and Uttar Pradesh
(Department of Telecommunications [DoT])
(704495)
(-) (3132)","Multi-States
(Bihar, Madhya
Pradesh,
Rajasthan, Uttar
Pradesh)","12/2019
(03/2021)","03/2022
(06/2026)","421.65
(228.94)",92.37,99
1943,"Saturation 4G mobile coverage of Uncovered Villages through USOF
(Department of Telecommunications [DoT])
(400013)
(-) (4599)",PAN India,"07/2022
(07/2022)","06/2024
(03/2027)","26316
(15392.8)",9791.8,85
1944,"4G Services by BSNL
(Department of Telecommunications [DoT])
(701593)
(-) (9929)",PAN India,"11/2020
(11/2020)","03/2024
(03/2026)","28466
(19592)",8471.19,98.34
1945,"BharatNet
(Department of Telecommunications [DoT])
(706775)
(-) (3123)",PAN India,"07/2017
(10/2011)","08/2023
(03/2027)","61109
(188000)",46431.54,83.3
1946,"MPLS-IP BASED ACCESS AND AGGREGATION NETWORK [MAAN] IN BSNL
ALONG WITH TEST AND MEASURING EQUIPMENT
(BSNL)
(709856)
(N26000116) (-)",PAN India,"05/2023
(05/2023)","08/2024
(06/2026)","645.13
(645.13)",377.59,92.1
1947,"Planning, Engineering, Supply, Installation, Testing, Commissioning, Integration &
Annual Maintenance of 4G mobile network at 1 Lakh sites on PAN India basis
including Mumbai & Delhi LSA on turnkey basis under Phase IX.2 Project.
(BSNL)
(709857)
(N26000117) (-)",PAN India,"05/2023
(06/2023)","06/2025
(09/2026)","24544.55
(24544.5)",8472.04,98.34
,Total (12),,,,151125.15,76237.25,
,"Department of Water Resources, River Development & GR",,,,,,
,Waste & Water,,,,,,
1948,"Interception and Diversion and STP works in Bhagalpur under Hybrid annuity based
PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616600)
(N30000027) (-)",Bihar,"10/2017
(03/2022)","02/2025
(12/2026)","413.29
(413.29)",126.67,97
1949,"Sewage Treatment Plant 100MLD and Sewerage Network 288 km in Digha-Patna
under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616611)
(N30000051) (3246)",Bihar,"08/2017
(07/2019)","12/2025
(09/2026)","824
(824)",396.71,57
1950,"Sewage Treatment Plant 50MLD and Sewerage Network 150 km in Kankarbagh-
Patna under Hybrid annuity based PPP mode-Namami Gange Programme
(National Mission for Clean Ganga)
(616612)
(N30000050) (3245)",Bihar,"08/2017
(07/2019)","12/2025
(-)","578.89
(578.89)",171.79,54
1951,"Sewer Network, SPS and STP at Begusarai
(National Mission for Clean Ganga)
(616615)
(N30000026) (-)",Bihar,"03/2010
(03/2018)","04/2025
(12/2026)","230.06
(230.06)",261.82,97
1952,"Sewer Networks, SPS and STP at Hajipur
(National Mission for Clean Ganga)
(616616)
(N30000035) (-)",Bihar,"03/2010
(03/2018)","06/2025
(12/2026)","305.19
(305.19)",346.46,95
1953,"Interception & Diversion with Rehabilitation of sewerage scheme at Agra under Hybrid
annuity based PPP model-Namami Gange Programme
(National Mission for Clean Ganga)
(616594)
(-) (7013)",Uttar Pradesh,"05/2020
(04/2023)","04/2025
(12/2026)","842.25
(842.25)",208.64,83
1954,"Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616605)
(-) (7015)",Uttar Pradesh,"05/2020
(11/2024)","12/2024
(03/2027)","690.71
(690.71)",34.79,56
1955,"Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616604)
(N30000042) (-)",West Bengal,"05/2018
(12/2021)","03/2025
(08/2026)","154.73
(154.73)",96.17,93
,Total (8),,,,4039.12,1643.05,
,Water Resources,,,,,,
1956,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)
(-) (3351)",Andhra Pradesh,"04/2005
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",872.65,95.88
1957,"Gundlakamma project
(Water Resources-AP)
(400101)
(-) (3350)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",624.78,98.3
