Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
,Department for Promotion of Industry & Internal Trade,,,,
,Logistics Infrastructure,,,,
1,"Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk
Infrastructure Development Phase 1
(National Highways & Infrastructure Development Corporation Ltd. [NHIDCL])
(707410)",Haryana,"05/2018
(12/2021)","12/2023
(05/2028)","763
(-)"
,Total (1),,,,763
,Department of Higher Education,,,,
,Education,,,,
2,"1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant
and Faculty Residence - 72 nos. Flats
(NIT Rourkela)
(619033)",Odisha,(01/2024),"06/2026
(-)","198.97
(-)"
,Total (1),,,,198.97
,Ministry of Civil Aviation,,,,
,Aviation & Aviation Infrastructure,,,,
3,"Development of Keshod Airport.
(Airport Authority of India [AAI])
(619054)",Gujarat,(07/2025),"01/2027
(-)","363.1
(-)"
,Total (1),,,,363.1
,Ministry of Coal,,,,
,Coal,,,,
4,"JAYANT EXPN. [20 TO 38 MTPA]
(Northern Coalfields Limited [NCL])
(619032)",Madhya Pradesh,"02/2025
(02/2025)","03/2032
(-)","25560.48
(-)"
5,"RPR FOR RAMPUR BATURA OCP
(SECL - CIL)
(619053)",Madhya Pradesh,"05/2025
(05/2025)","03/2030
(-)","1604.69
(-)"
6,"SAONER-III EXPN UG MINE 1.54
(Western Coalfields Limited [WCL])
(619055)",Maharashtra,"08/2025
(08/2025)","03/2032
(-)","444.42
(-)"
,Total (3),,,,27609.59
,Ministry of Health & Family Welfare,,,,
,Healthcare,,,,
7,"Establishment of new GMC Jamui
(Medical Education, Ministry of Health and Family Welfare)
(707020)",Bihar,"03/2019
(10/2022)","10/2025
(-)","250
(500)"
8,"Establishment of new GMC Korba
(Medical Education, Ministry of Health and Family Welfare)
(707044)",Chhattisgarh,"02/2023
(10/2023)","12/2026
(-)","325
(322.85)"
9,"Establishment of new GMC Mahasamund
(Medical Education, Ministry of Health and Family Welfare)
(707045)",Chhattisgarh,"10/2023
(10/2023)","05/2026
(-)","325
(-)"
10,"Establishment of new GMC Kanker
(Medical Education, Ministry of Health and Family Welfare)
(707046)",Chhattisgarh,"02/2020
(09/2024)","03/2027
(-)","325
(325)"
11,"Establishment of new GMC Panchmahal
(Medical Education, Ministry of Health and Family Welfare)
(707049)",Gujarat,"09/2022
(09/2022)","03/2026
(-)","325
(663.5)"
12,"Establishment of new GMC Porbandar
(Medical Education, Ministry of Health and Family Welfare)
(707050)",Gujarat,"04/2022
(10/2022)","09/2024
(-)","325
(618.98)"
13,"Establishment of new GMC Koderma
(Medical Education, Ministry of Health and Family Welfare)
(707021)",Jharkhand,"09/2023
(02/2024)","08/2026
(-)","250
(504.8)"
14,"Establishment of new GMC Chaibasa [Singhbhum]
(Medical Education, Ministry of Health and Family Welfare)
(707022)",Jharkhand,"06/2018
(03/2023)","09/2025
(-)","250
(454.1)"
15,"Establishment of new GMC Rajgarh
(Medical Education, Ministry of Health and Family Welfare)
(707058)",Madhya Pradesh,"12/2021
(11/2022)","04/2024
(-)","325
(-)"
16,"Establishment of new GMC Mandla
(Medical Education, Ministry of Health and Family Welfare)
(707059)",Madhya Pradesh,"08/2023
(10/2023)","04/2026
(-)","325
(-)"
17,"Establishment of new GMC Kapurthala
(Medical Education, Ministry of Health and Family Welfare)
(707069)",Punjab,"11/2019
(07/2027)","12/2028
(-)","325
(550)"
18,"Establishment of new GMC Hoshiarpur
(Medical Education, Ministry of Health and Family Welfare)
(707070)",Punjab,"01/2020
(03/2026)","12/2028
(-)","325
(374.75)"
19,"Establishment of new GMC Gangtok
(Medical Education, Ministry of Health and Family Welfare)
(707039)",Sikkim,"10/2018
(12/2018)","12/2026
(-)","250
(635.21)"
20,"Establishment of new GMC Rudrapur
(Medical Education, Ministry of Health and Family Welfare)
(707086)",Uttarakhand,"10/2022
(02/2024)","12/2026
(-)","325
(-)"
21,"Establishment of new GMC Pithoragarh
(Medical Education, Ministry of Health and Family Welfare)
(707087)",Uttarakhand,"08/2021
(04/2023)","12/2026
(-)","325
(768.89)"
,Total (15),,,,4575
,Ministry of Housing & Urban Affairs,,,,
,Urban Public Transport,,,,
22,"Delhi Metro Rail Phase V A
(Delhi Metro Rail Corporation Limited [DMRC])
(619031)",Delhi,"01/2026
(01/2026)","12/2028
(-)","12014.91
(-)"
