Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
174,"Subansiri Lower HE Project [2000 MW]
(National Hydroelectric Power Corporation Limited (NHPC))
(602096)","Multi-States
(Arunachal
Pradesh, Assam)","09/2003
(01/2005)","09/2010
(05/2026)","6285.33
(26075.5)",25826.41,97
175,"Talcher Thermal Power Station Stage III [2 x 660 MW] Expansion
(National Thermal Power Corporation [NTPC])
(602961)",Odisha,"08/2022
(09/2022)","05/2027
(03/2028)","11843.75
(12543)",5442.33,44
176,"TEESTA-VI HE PROJECT, SIKKIM [500 MW], executed by LANCO TEESTA HYDRO
POWER LIMITED [A wholly owned Subsidiary of NHPC LTD. acquired through NCLT]
(National Hydroelectric Power Corporation Limited (NHPC))
(602181)",Sikkim,"03/2019
(03/2020)","03/2024
(12/2027)","5748.04
(5748.04)",4050.79,71
177,"Rangit-IV HE Project [120 MW] executed by Jal Power Corporation Ltd. [JPCL] - A
wholly owned subsidiary of NHPC Ltd. acquired through NCLT
(National Hydroelectric Power Corporation Limited (NHPC))
(605156)",Sikkim,"03/2021
(08/2021)","05/2024
(12/2025)","938.29
(1828.11)",1557.72,94
178,"Singrauli Super Thermal Power Project, Stage-III [2x800 MW]
(National Thermal Power Corporation [NTPC])
(612142)",Uttar Pradesh,"03/2024
(03/2024)","02/2030
(-)","17195
(17195)",2458.83,13
179,"Tapovan-Vishnugad HEP [4x130 MW]
(National Thermal Power Corporation [NTPC])
(602185)",Uttarakhand,"11/2006
(11/2006)","03/2013
(04/2029)","2978
(10907.3)",7401.46,77
180,"Tehri Pumped Storage Plant Project [4x250 MW]
(THDC India Limited)
(602193)",Uttarakhand,"07/2006
(06/2011)","06/2022
(03/2026)","4825.6
(8339)",8189.07,99
181,"Vishnugad Pipalkoti Hydro Electric Project [444 MW]
(THDC India Limited)
(602195)",Uttarakhand,"08/2008
(01/2014)","12/2022
(09/2027)","3860.35
(6405.08)",5100.28,75
182,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia,
West Bengal
(Damodar Valley Corporation)
(400062)",West Bengal,"01/2023
(02/2025)","06/2029
(-)","17673
(17673)",1508.59,6
183,"Rammam-III HEPP [3x40 MW]
(National Thermal Power Corporation [NTPC])
(602184)",West Bengal,"09/2014
(09/2014)","09/2019
(03/2029)","1381.84
(2865.56)",1432.07,52
184,"Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6
(Damodar Valley Corporation)
(602538)",West Bengal,"06/2019
(02/2021)","01/2024
(05/2026)","1037
(1106)",1123.79,94
,Total (30),,,,258786.76,127609.98,
,Transmission & Distribution,,,,,,
185,"Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool
1000MW
(Power Grid Corporation of India Limited [POWERGRID])
(611967)",Andhra Pradesh,"09/2023
(09/2023)","09/2025
(03/2026)","1248.69
(1248.69)",1102.46,93
186,"Augmentation of 1x1500 MVA 3rd 765/400 kV transformation capacity at Kurnool
New Substation
(Power Grid Corporation of India Limited [POWERGRID])
(612856)",Andhra Pradesh,"05/2023
(12/2023)","09/2025
(03/2026)","163.61
(163.61)",134.08,83
187,"Transmission system strengthening at Kurnool- III PS for integration of additional RE
generation projects [POWERGRID Kurnool III PS RE Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617183)",Andhra Pradesh,"03/2025
(03/2025)","12/2027
(-)","2886
(2886)",197.4,12
188,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",0.41,0
189,"Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE
park under Phase-III Part B [Vataman Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(612139)",Gujarat,"12/2023
(12/2023)","12/2025
(12/2026)","3751.82
(3751.82)",2138.53,42
190,"Transmission System for Evacuation of Power from potential Renewable Energy zone
in Khavda Area of Gujarat under Phase IV [7 GW] Part E3
(Power Grid Corporation of India Limited [POWERGRID])
(612151)",Gujarat,"07/2023
(07/2023)","07/2025
(03/2026)","334
(334)",256.07,82
191,"Transmission System for Evacuation of Power from Potential Energy Renewable Zone
in Khavda Area of Gujarat under Ph-IV [7GW] Part E2
(Power Grid Corporation of India Limited [POWERGRID])
(612855)",Gujarat,"05/2024
(05/2024)","05/2026
(06/2026)","679
(679)",239.34,36
192,"Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name
POWERGRID Jam Khambhaliya Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615342)",Gujarat,"10/2024
(10/2024)","07/2026
(-)","329
(329)",14.8,6
193,"Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and
Khavda Pooling station 3 [KPS3]
(Power Grid Corporation of India Limited [POWERGRID])
(615343)",Gujarat,"11/2024
(11/2024)","11/2026
(-)","501
(501)",8.11,3
194,"Transmission System for Evacuation of Power from Potential Renewable Energy Zone
in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID
South Olpad Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615345)",Gujarat,"10/2024
(10/2024)","10/2026
(03/2027)","4766
(4766)",1121.91,13
195,"Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V
Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617069)",Gujarat,"02/2025
(02/2025)","02/2027
(-)","466
(466)",27.96,2
196,"Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha
Transco Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617182)",Gujarat,"03/2025
(03/2025)","03/2027
(-)","172
(172)",25.8,21
197,"Augmentation of Transformation Capacity at Bhuj-II PS [GIS]
(Power Grid Corporation of India Limited [POWERGRID])
(617391)",Gujarat,"02/2025
(02/2025)","11/2026
(03/2027)","488.29
(488.29)",2.44,0
198,"Jamnagar Transmission Limited
(Adani Transmission Limited)
(617405)",Gujarat,"NA
(10/2024)","10/2026
(-)","4000
(4000)",268,16
