Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
754,"Pollution Abatement Works for River Kali Meerut under Meerut Municipality
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616605)",Uttar Pradesh,"05/2020
(11/2024)","12/2024
(05/2027)","690.71
(690.71)",34.79,27
755,"Pollution Abatement works for River Ganga at Hooghly Chinsurah- Municipal Town
Interception & Diversion with STP
(National Mission for Clean Ganga)
(616604)",West Bengal,"05/2018
(12/2021)","03/2025
(12/2025)","154.73
(154.73)",96.17,92
,Total (8),,,,4039.12,1643.05,
,Water Resources,,,,,,
756,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)",Andhra Pradesh,"04/2005
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",869.11,95
757,"Gundlakamma project
(Water Resources-AP)
(400101)",Andhra Pradesh,"04/2005
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",619.09,98
758,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)",Andhra Pradesh,"01/2009
(11/2009)","04/2022
(03/2026)","10151.04
(55548.9)",24745.92,84
759,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"04/1996
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",44.7,55
760,"Punpun Barrage Project
(Water Resources-BR)
(400104)",Bihar,"04/2007
(04/2007)","12/2019
(03/2026)","571.07
(658.12)",447.68,44
761,"Kelo Irrigation Project
(Water Resources-CT)
(400111)",Chhattisgarh,"04/2008
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",616.93,72
762,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)",Chhattisgarh,"04/2009
(12/2009)","12/2025
(-)","382.29
(382.29)",0,86
763,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)",Gujarat,"04/2017
(04/2017)","12/2019
(03/2026)","5021.76
(6670.31)",4954.99,90
764,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)",Gujarat,"04/1996
(04/1996)","12/2019
(03/2026)","20718.17
(33412.5)",31860.86,93
765,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)",Jharkhand,"04/2011
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5561.97,69
766,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)",Karnataka,"04/2014
(04/2014)","12/2019
(03/2026)","770.16
(1606.07)",1515.32,99
767,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)",Madhya Pradesh,"04/2017
(04/2017)","12/2019
(03/2026)","648.09
(648.09)",172.56,3
768,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)",Madhya Pradesh,"04/2008
(01/2009)","12/2019
(03/2026)","751.03
(893.35)",746.19,75
769,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)",Madhya Pradesh,"04/2007
(04/2007)","12/2019
(03/2026)","1229.15
(1399.7)",1906.5,80
770,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)",Maharashtra,"04/2017
(04/2017)","12/2019
(06/2026)","743.73
(743.73)",252.43,50
771,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)",Maharashtra,"04/2017
(04/2018)","06/2022
(12/2026)","580.79
(895.81)",713.46,76
772,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)",Maharashtra,"04/2017
(02/2019)","06/2023
(06/2027)","2407.67
(2407.67)",2559.71,80
773,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)",Maharashtra,"04/2017
(04/2018)","06/2020
(06/2026)","848.07
(888.43)",690.49,69
774,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)",Maharashtra,"04/2017
(04/2018)","06/2028
(-)","7222.95
(7222.95)",8722.81,90
775,"Bodwad Parisar Sinchan Yojna
(Department of Water Resources-MH)
(617422)",Maharashtra,"05/2002
(01/2017)","07/2027
(-)","1923.81
(1923.81)",1770.13,49
776,"Waghur Project
(Department of water resources-MH - II)
(701383)",Maharashtra,"04/1996
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1557.14,89
777,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2028)","7196.47
(12770.1)",13691.13,72
778,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)",Maharashtra,"04/2009
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1697.94,97
779,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)",Maharashtra,"04/2008
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1324.78,65
780,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)",Maharashtra,"04/2009
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",623.5,72
781,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"04/1997
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
782,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)","Multi-States
(Bihar, Jharkhand)","08/2017
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",151.04,32
