Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
20,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope
stabilization Measures [Balance work] of uphill and Improvement of Storm Water
Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with
integrated 10 years maintenance.
(Airport Authority of India [AAI])
(612793)
(-) (-)",Sikkim,"11/2023
(12/2023)","06/2026
(06/2027)","323.26
(323.26)",87.61,36.14
21,"Modernization of Chennai Airport, Phase II, Part 2
(Airport Authority of India [AAI])
(611602)
(-) (-)",Tamil Nadu,"05/2018
(06/2023)","07/2025
(12/2026)","1207.00
(1207.00)",331.85,46
22,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New
Terminal Building, Apron Extension, Runway Extension, PTT and allied works.
(Airport Authority of India [AAI])
(701113)
(-) (-)",Uttar Pradesh,"07/2024
(07/2024)","07/2027
(07/2027)","2869.65
(2869.65)",746.93,33
23,"Development of New Integrated Civil Enclave at Agra Airport
(Airport Authority of India [AAI])
(701122)
(-) (-)",Uttar Pradesh,"06/2024
(07/2024)","07/2026
(11/2026)","579.00
(579.00)",224.58,44.94
24,"Development of New Civil Enclave at Bagdogra Airport
(Airport Authority of India [AAI])
(611495)
(-) (-)",West Bengal,"08/2024
(09/2024)","03/2027
(03/2027)","1549.00
(1549.00)",548.3,27.9
25,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and
Strengthening of C Taxiway at NSCBI Airport Kolkata.
(Airport Authority of India [AAI])
(612791)
(-) (-)",West Bengal,"03/2023
(12/2023)","10/2025
(08/2026)","328.30
(328.30)",153.52,73.5
,Total (25),,,,21345.07,11586.47,
,Ministry of Coal,,,,,,
,Coal,,,,,,
26,"TIKAK EXTENSION OCP
(INVALID CO.)
(615820)
(-) (-)",Assam,"07/2022
(07/2022)","07/2031
(-)","159.77
(159.77)",112.69,89.73
27,"TIRAP OCP
(INVALID CO.)
(615821)
(-) (-)",Assam,"11/2022
(11/2022)","11/2030
(-)","289.46
(289.46)",105.66,5
28,"PORDA CHIMTAPANI OCP [10 MTY]
(SECL - CIL)
(400144)
(-) (-)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","2310.12
(2310.12)",118.97,11.81
29,"BAROUD OC EXPANSION [3.0-10.0M
(SECL - CIL)
(400149)
(-) (-)",Chhattisgarh,"08/2020
(08/2020)","03/2029
(-)","2309.80
(2309.80)",1039.65,55.95
30,"DIPKA EXPANSION OCP [40 MTY]
(SECL - CIL)
(400354)
(-) (-)",Chhattisgarh,"12/2020
(12/2020)","03/2029
(-)","5241.40
(5241.40)",2941.23,39.34
31,"GEVRA OC [70 MTY]
(SECL - CIL)
(400424)
(-) (-)",Chhattisgarh,"03/2016
(03/2016)","03/2023
(03/2027)","11816.40
(11816.40)",7825.46,78.48
32,"AMERA OC RCE [1.0 MTY]
(SECL - CIL)
(613798)
(-) (-)",Chhattisgarh,"02/2015
(02/2015)","03/2026
(-)","335.97
(335.97)",91.91,42.47
33,"AMGAON OC RCE [1.0 MTY]
(SECL - CIL)
(613799)
(-) (-)",Chhattisgarh,"07/2015
(07/2015)","03/2026
(-)","316.11
(316.11)",193,78.86
34,"JAGANNATHPUR OC RCE PROJECT
(SECL - CIL)
(613800)
(-) (-)",Chhattisgarh,"07/2016
(07/2016)","03/2025
(03/2027)","459.49
(459.49)",290.4,96.15
35,"MAHAMAYA OCP [1.50 MTY]
(SECL - CIL)
(613801)
(-) (-)",Chhattisgarh,"05/2018
(05/2018)","03/2026
(03/2028)","410.26
(410.26)",188.72,54.6
36,"KATKONA RO UG MINE
(SECL - CIL)
(615191)
(-) (-)",Chhattisgarh,"01/2023
(01/2023)","03/2029
(-)","329.21
(329.21)",62.01,2.01
37,"PELMA OC MDO
(SECL - CIL)
(616234)
(-) (-)",Chhattisgarh,"10/2022
(10/2022)","03/2033
(-)","1725.04
(1725.04)",16.71,23.75
38,"KUSMUNDA OC EXPANSION PROJECT
(SECL - CIL)
(617287)
(-) (-)",Chhattisgarh,"11/2024
(11/2024)","03/2030
(-)","4516.88
(4516.88)",847.19,23.75
39,"MANIKPUR OC EXPANSION PROJECT
(SECL - CIL)
(617288)
(-) (-)",Chhattisgarh,"01/2025
(01/2025)","03/2029
(-)","382.61
(382.61)",138.87,21.29
40,"RPR FOR DURGAPUR OCP 10 MTY
(SECL - CIL)
(619171)
(-) (-)",Chhattisgarh,"09/2025
(09/2025)","03/2032
(-)","2415.91
(2415.91)",2.99,0.01
