Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
1198,"4L of Channarayapatna Bypass and Hassan Bypass with structures in Devihalli -
Hassan section
(National Highways Authority of India [NHAI])
(619214)
(-)",Karnataka,"04/2020
(01/2021)","01/2023
(06/2026)","688
(684.54)",569.97,82.34
1199,"4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km.
12.300 to Km. 65.195
(National Highways Authority of India [NHAI])
(619218)
(-)",Karnataka,"02/2018
(10/2019)","10/2021
(04/2026)","1364.14
(1692.12)",551.42,100
1200,"4L of Tumkur-Shimoga Pkg-II from Km 65.195 Karadi to Km 121.900 Banawara of
NH-206
(National Highways Authority of India [NHAI])
(619219)
(-)",Karnataka,"02/2018
(10/2019)","10/2021
(04/2026)","1505.85
(1989.89)",586.41,99.97
1201,"Tumkur-Shimoga Pkg-III from Km 121.900 Banawara to Km 170.415 Bettadahalli of
Old NH-206
(National Highways Authority of India [NHAI])
(619220)
(-)",Karnataka,"02/2018
(03/2021)","03/2023
(04/2026)","1444.5
(1834.81)",816.79,96.63
1202,"Widening to 2 Lanes with paved shoulders from Km.87/000 to 133/720 Nattukal to
Thanau Jn. in Palakkad of NH-966 Old NH-213 on EPC mode Basis under NHO
Annual Plan 2016-17 in the state of Kerala
(MoRTH)
(618070)
(N24001369)",Kerala,"02/2017
(08/2017)","08/2019
(04/2026)","294.28
(315.63)",0,98
1203,"6L of Chengala - Neeleshwaram from km. 56.200 to km. 93.468
(National Highways Authority of India [NHAI])
(618595)
(N24001664)",Kerala,"06/2020
(10/2021)","04/2024
(03/2027)","1746.45
(2538.06)",785.78,90.02
1204,"6L of Taliparamba to Muzhappilangad from Km 134.650 to Km 170.6 of NH-66
(National Highways Authority of India [NHAI])
(618596)
(N24001660)",Kerala,"08/2020
(11/2021)","05/2024
(12/2027)","2714.6
(3557.65)",1008.4,82.44
1205,"6L of Azhiyur-Vengalam from km. 189.200 to km. 230.400 of NH-66
(National Highways Authority of India [NHAI])
(618597)
(N24001661)",Kerala,"10/2020
(10/2021)","07/2024
(05/2027)","3205.77
(3898.46)",771.49,60.07
1206,"6L Minor Bridge Paloli Palam at km. 203.160 & Major Bridge Morad at km. 204.895
and allied works
(National Highways Authority of India [NHAI])
(618598)
(N24001652)",Kerala,"03/2020
(12/2020)","06/2022
(04/2026)","210
(216.94)",77.9,100
1207,"6L of Ramanatukkara Junction to start of Valanchery bypass section of NH-66
(National Highways Authority of India [NHAI])
(618599)
(N24001658)",Kerala,"01/2021
(01/2022)","07/2024
(04/2026)","4924.11
(4919.46)",1762.86,99.75
1208,"6L of Valanchery bypass to Kappirikkad of NH 66 from km. 298500 to km 335850
(National Highways Authority of India [NHAI])
(618600)
(N24001659)",Kerala,"02/2021
(01/2022)","07/2024
(04/2026)","4023.94
(4023.94)",1466.03,98.84
1209,"6L of Kappirikkad to Thalikulam section from km 335.85 to km 369.015 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618601)
(N24001655)",Kerala,"06/2021
(09/2022)","01/2025
(06/2026)","4225.59
(4225.59)",648.31,88.2
1210,"6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618602)
(N24001656)",Kerala,"06/2021
(09/2022)","02/2025
(06/2026)","4302.06
(4302.06)",705.39,84.18
1211,"6L of Kodugallur to Edapppally section from km 397.750 to km 423.780 of NH - 66 old
NH-17
(National Highways Authority of India [NHAI])
(618603)
(N24001653)",Kerala,"11/2021
(10/2022)","04/2025
(12/2026)","3465.82
(3606.2)",767.68,64.93
1212,"Aroor-Thuravoor Thekku
(National Highways Authority of India [NHAI])
(618604)
(N24001648)",Kerala,"08/2022
(02/2023)","01/2026
(06/2026)","2429.52
(2382.83)",1677.4,83.93
1213,"Thuravoor Thekku-Paravoor
(National Highways Authority of India [NHAI])
(618605)
(N24001651)",Kerala,"09/2021
(03/2022)","09/2024
(05/2026)","2878.97
(2638.67)",1998.42,76.31
1214,"Paravoor-Kottankulangara
(National Highways Authority of India [NHAI])
(618606)
(N24001649)",Kerala,"12/2021
(08/2022)","02/2025
(08/2026)","3273.61
(3200.24)",1185.17,71.2
1215,"Kottankulangara- Start of Kollam Bypass
(National Highways Authority of India [NHAI])
(618607)
(N24001657)",Kerala,"06/2021
(04/2022)","10/2024
(08/2026)","2842.14
(3680.49)",783.02,73.89
1216,"Widening/Development of Existing NH-85 from Km 0.000 to Km 124.636 section to
2L/LPS section in the state of Kerala on EPC Mode under Bharatmala Pariyojana
(National Highways Authority of India [NHAI])
(618708)
(N24002074)",Kerala,"09/2022
(06/2023)","06/2025
(05/2026)","1187.47
(1265.47)",631.69,52.71
1217,"Kozhikode Bypass Calicut Bypass Vengalam Jn. to Ramanattukara Jn.
(National Highways Authority of India [NHAI])
(619098)
(N24000784)",Kerala,"02/2018
(02/2021)","02/2023
(04/2026)","1424.77
(2139.18)",927.08,98.75
1218,"6L of Perole Nileshwar town to Taliparamba from Km 94.248 to Km 134.650 of NH-66
(National Highways Authority of India [NHAI])
(619206)
(-)",Kerala,"06/2020
(10/2021)","01/2024
(03/2027)","3041.65
(3867.66)",966.76,86.4
