Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
240,"4L from Devinagar Bypass End Existing Km. 208.000 of NH 530B/Design Km. 66.000
to Kasganj Bypass End Existing Km.150.100 of NH 530B/ Design Km. 123.100 of NH
530B
(National Highways Authority of India [NHAI])
(618868)",Uttar Pradesh,"03/2023
(06/2024)","06/2026
(-)","2289.52
(2223.71)"
241,"4L of Bareilly-Pilibhit-Sitarganj from Km. 0.000 to Km. 32.500 of NH-30 Pkg-1
(National Highways Authority of India [NHAI])
(618782)",Uttar Pradesh,"02/2023
(03/2024)","03/2026
(08/2026)","1394.14
(1394.14)"
242,"4L of Moradabad-Thakurdwara-Kashipur Section from Km. 0.000 to Km. 38.77 of NH-
734 Pkg-II
(National Highways Authority of India [NHAI])
(618927)",Uttar Pradesh,"10/2022
(03/2024)","03/2026
(12/2026)","2006.82
(1890.05)"
243,"4L of Moradabad western side spur connecting NH-734 & NH-24 from Km. 0.000 to
Km. 33.200 Pkg-I
(National Highways Authority of India [NHAI])
(618929)",Uttar Pradesh,"11/2022
(09/2023)","09/2025
(03/2026)","1841.92
(1843.54)"
244,"4L Behsuma at Km 39.250 Ex. Km 39240 To Bijnor at Km 78.810 Ex. Km 86590
Design Length 39.560 Km of NH-119 Pkg-II
(National Highways Authority of India [NHAI])
(618923)",Uttar Pradesh,"03/2023
(05/2024)","05/2026
(-)","2158.2
(2553.12)"
245,"2L PS of Najibabad Kotdwar section from 112.575 to Km. 138.635 of NH 119
(National Highways Authority of India [NHAI])
(618924)",Uttar Pradesh,"10/2021
(03/2024)","09/2025
(04/2026)","188.87
(99.2)"
246,"Varanasi Gorakhpur Section Packege IV from km. 149.540 to km. 215.160 Mau-
Gorakhpur
(National Highways Authority of India [NHAI])
(618893)",Uttar Pradesh,"04/2015
(04/2017)","10/2019
(12/2024)","2966.63
(3475.65)"
247,"4L of Haridwar Nagina section Design Ch. LME from km 13.829 to km 17.110 & km
26.077 to km 27.508 and Design Ch. RME from km 13.839 to km 17.120 & km 26.078
to km 27.509 of EUP mitigation measures on NH74
(National Highways Authority of India [NHAI])
(618875)",Uttarakhand,"11/2021
(08/2022)","02/2024
(12/2025)","183.92
(142.11)"
248,"Rehabilitation & upgradation of existing road to 2-lane with hard shoulder from
Joshimath km 0.00 to Saraithota km 29.725 road on NH-107B under Bharatmala
Pariyojna on EPC mode in the state of Uttarakhand
(MoRTH)
(618218)",Uttarakhand,"10/2022
(05/2023)","05/2025
(-)","338.38
(-)"
249,"Upgradation to 2-lane with Hard shoulder configuration of Suraithota Ch. 29.725 km to
Malari Ch. 60.550 km road on NH- 107B under in the state of Uttarakhand.
(MoRTH)
(618219)",Uttarakhand,"10/2022
(05/2024)","05/2026
(-)","292.76
(-)"
250,"Widening to 2-lane with Hard Shoulder configuration of Mana Ch. 0.00 to Mana Pass
Ch. 50.987 road on NH-07 under Bharatmala Pariyojna in the state of Uttarakhand
under Annual Plan 2022-23 length 50.987
(MoRTH)
(618207)",Uttarakhand,"10/2022
(10/2023)","10/2027
(-)","573.96
(-)"
251,"Construction and upgradation of existing road to 2-lane with paved shoulder from
existing chainage Km 509.725 to Km 528.000 design chainage Km 490.550 to Km
507.850 of NH-58 new NH-07 Benakuli bend to Mana Village in EPC mode under
Chardham Programme in the State of Uttarakhand.
(MoRTH)
(618208)",Uttarakhand,"02/2019
(11/2019)","10/2021
(-)","180.1
(-)"
