Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
297,"Singrauli Sewerage Management and Treatment Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702810)
(-)",Madhya Pradesh,"05/2016
(11/2017)","03/2023
(05/2026)","402.01
(438.1)",357.68,90
298,"Kalyan-Dombivali Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702833)
(-)",Maharashtra,"07/2016
(09/2019)","10/2023
(06/2026)","194.2
(194.2)",136.56,75
299,"Mira-Bhayandar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702840)
(-)",Maharashtra,"11/2016
(08/2018)","03/2023
(05/2026)","204.55
(204.55)",186.13,99
300,"Pune Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702851)
(-)",Maharashtra,"03/2017
(07/2017)","03/2023
(05/2026)","235.95
(235.95)",220.77,95
301,"Solapur Sewerage Management Infrastructure Project
(Ministry of Housing & Urban Affairs)
(702854)
(-)",Maharashtra,"03/2017
(04/2018)","03/2023
(05/2026)","180.24
(180.24)",172.22,98
302,"Jalandhar Water Supply Infrastructure Project
(Ministry of Housing & Urban Affairs)
(703021)
(-)",Punjab,"11/2016
(08/2020)","08/2023
(06/2026)","258.53
(266.64)",161.02,58
303,"Patiala Water Supply Infrastructure Part-2 Project
(Ministry of Housing & Urban Affairs)
(703057)
(-)",Punjab,"11/2016
(08/2020)","10/2023
(05/2026)","287
(287)",213.64,99
304,"Jhansi Water Supply Infrastructure Phase-II Project
(Ministry of Housing & Urban Affairs)
(702949)
(-)",Uttar Pradesh,"03/2017
(06/2019)","07/2023
(05/2026)","561.74
(561.74)",485.91,93
,Total (22),,,,5389.29,3996.21,
,Ministry of Mines,,,,,,
,Construction,,,,,,
305,"Construction of Basement + Ground Floor+ 10 Storeyed building for State of the Art
Director General, GSI Building at plot No.GN-40, Sector-V, Salt Lake, Kolkata
(Central Public Works Department [CPWD])
(617280)
(N10000015)",West Bengal,"04/2019
(02/2020)","08/2026
(-)","255.37
(255.37)",98.92,64
,Total (1),,,,255.37,98.92,
,Metals & Mining,,,,,,
306,"Expansion of Malanjkhand Copper Project
(Hindustan Copper Limited [HCL])
(400426)
(-)",Madhya Pradesh,"09/2011
(04/2015)","04/2020
(04/2026)","1856.36
(1856.36)",962.65,84.48
307,"Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity
enhancement of 1.0 Million Tonee Per Annum
(National Aluminium Company Limited [NALCO])
(400141)
(N10000010)",Odisha,"04/2017
(04/2017)","12/2022
(06/2026)","4103
(5677.4)",4840.66,92.1
308,"Pottangi Bauxite Mines Project
(National Aluminium Company Limited [NALCO])
(400299)
(N10000016)",Odisha,"05/2018
(05/2018)","03/2025
(05/2026)","1381
(1960.77)",770.08,52
309,"SOURCING OF BAUXITE ARRANGEMENT FOR 5TH STREAM ALUMINA
REFINERY FROM SOUTH BLOCK MINING LEASE OF PANCHPATMAILI MINES
(National Aluminium Company Limited [NALCO])
(709831)
(N10000013)",Odisha,"11/2017
(11/2019)","05/2025
(06/2026)","483
(483)",446.12,92.05
310,"25.5 MW WIND POWER PROJECT AT KAYATHAR IN TAMILNADU
(National Aluminium Company Limited [NALCO])
(709832)
(N10000014)",Tamil Nadu,"09/2017
(12/2017)","03/2025
(03/2026)","166
(166)",135,66.73
,Total (5),,,,7989.36,7154.51,
,Department of Higher Education,,,,,,
,Education,,,,,,
311,"Construction of Permanent Campus of Central Tribal University of Andhra Pradesh
Phase-1
(Central Tribal University of Andhra Pradesh)
(613008)
(-)",Andhra Pradesh,"09/2019
(12/2023)","06/2027
(-)","305
(305)",63.37,42
312,"Construction of Permanent Campus of National Institute of Technology Arunachal
Pradesh
(National Institute of Technology, Arunachal Pradesh)
(612898)
(-)",Arunachal Pradesh,"09/2009
(03/2013)","08/2026
(08/2024)","592.61
(592.61)",551.3,80
313,"Tezpur University Projects
(Tezpur University)
(606112)
(-)",Assam,"05/2019
(06/2021)","11/2023
(12/2025)","153.71
(153.71)",137.84,97.6
314,"Additional Campus of NITPatna
(NIT Patna)
(606013)
(-)",Bihar,"07/2022
(08/2022)","07/2024
(01/2026)","499.21
(499.21)",449.39,98.2
315,"Phase B Construction of Permanent Campus of IIT Bhilai
(Indian Institute of Technology, Bhilai)
(617877)
(-)",Chhattisgarh,"05/2025
(01/2026)","10/2028
(-)","1188.97
(1188.97)",0,0
