Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
650,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)","Multi-States
(Bihar, Uttar
Pradesh)","08/2023
(03/2024)","12/2027
(-)","1120
(1120)",247.46,26
651,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(12/2015)","02/2025
(03/2026)","963
(1046)",911.66,95
652,"Katihar - Kumedpur Doubling Line Project
(GM/C/ NFR)
(706844)","Multi-States
(Bihar, West
Bengal)","08/2022
()","08/2027
(08/2027)","942
(942)",356,45
653,"Rajnandgaon - Nagpur [Kalumna] Third Railway Line [228.30 km]
(South East Central Railway [SECR] - II)
(705617)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545
(3545)",3507.04,96
654,"Sardega -Bhalumuda New Double line [37.24 Km]
(SECR)
(617390)","Multi-States
(Chhattisgarh,
Odisha)","09/2024
(09/2024)","03/2028
(-)","1281.81
(1281.81)",128,1
655,"Jagdalpur-Koraput
(East Coast Railway [ECoR] - II)
(705511)","Multi-States
(Chhattisgarh,
Odisha)","12/2015
(03/2016)","03/2024
(12/2026)","1547
(1547)",1329.73,90
656,"Jharsuguda-Bilaspur Fourth Railway Line [206 km]
(SECR)
(705616)","Multi-States
(Chhattisgarh,
Odisha)","09/2016
(09/2016)","10/2024
(12/2025)","2140
(2979)",2196.74,93
657,"Mumbai-Ahmedabad High Speed Rail Project- 508 km
(National High Speed Rail Corporation [NHSRC])
(705728)","Multi-States
(Dadra & Nagar
Haveli and Daman
& Diu, Gujarat,
Maharashtra)","03/2015
(09/2017)","08/2027
(12/2029)","108000
(108000)",82967.89,55
658,"New Delhi- Mumbai Speed Booster[160Kmph] Project
(PCE/WR)
(705793)","Multi-States (Delhi,
Gujarat, Madhya
Pradesh,
Maharashtra,
Rajasthan)","09/2019
(09/2019)","03/2024
(-)","6806.44
(6806.44)",135.65,0
659,"Hospet - Tinaighat - Vasco Rail Doubling Project
(RVNL - II)
(705650)","Multi-States (Goa,
Karnataka)","03/2010
(07/2012)","03/2027
(12/2027)","5060
(5060)",5246.91,86
660,"Hospet-Hubli-Vasco da Gama Line Electrification Project
(RVNL)
(706950)","Multi-States (Goa,
Karnataka)","07/2015
(05/2018)","03/2023
(03/2024)","744.49
(1122.62)",969.05,95
661,"Western Dedicated Freight Corridor
(DFCCIL)
(705237)","Multi-States
(Gujarat, Haryana,
Maharashtra,
Rajasthan, Uttar
Pradesh)","02/2008
(01/2012)","03/2022
(12/2025)","51101
(124005)",124623,96
662,"New line Dahod-Indore via Sardarpur, Jabuwa and Dhar
(Western Railway [WR] - II)
(705453)","Multi-States
(Gujarat, Madhya
Pradesh)","06/2012
(06/2012)","02/2027
(02/2027)","456.07
(3516.77)",3633.27,49
663,"Chhota Udaipur - Dhar New Line Project [157 km]
(Western Railway [WR] - II)
(705454)","Multi-States
(Gujarat, Madhya
Pradesh)","11/2008
(01/2014)","12/2025
(12/2025)","1794
(1794)",1815.94,80
664,"MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION
SYSTEM 500 RKM
(Western Railway)
(611452)","Multi-States
(Gujarat,
Maharashtra)","09/2019
(03/2023)","12/2025
(06/2025)","311
(311)",208,92
665,"Taranga Hill-Abu Road via Ambaji
(North Western Railway [NWR])
(400022)","Multi-States
(Gujarat,
Rajasthan)","07/2022
(07/2022)","07/2030
(07/2030)","2798
(2798)",2014.6,17
666,"LUNI- SAMDARI- BHILDI DOUBLING
(North Western Railway [NWR])
(616842)","Multi-States
(Gujarat,
Rajasthan)","02/2024
(02/2024)","07/2027
(-)","3085.59
(3085.59)",329.31,13
667,"Chandigarh-Baddi New Rail Line- 36 km
(Northen Railway [NR])
(705424)","Multi-States
(Haryana,
Himachal Pradesh)","02/2018
(02/2018)","12/2026
(12/2026)","1540
(1540.13)",527.66,34
668,"Rewari - Kathuwas Doubling Project [27.72 Km]
(North Western Railway [NWR])
(611861)","Multi-States
(Haryana,
Rajasthan)","02/2023
(12/2022)","06/2027
(06/2027)","352
(352)",271.93,65
669,"Nangal Dam-Talwara New Broad Gauge Line [84 KM] and Taking Over Siding
Mukerian-Talwara [29 KM]
(Northen Railway [NR])
(705410)","Multi-States
(Himachal
Pradesh, Punjab)","03/1983
(05/1985)","12/2025
(01/2027)","2018
(2018)",2053.9,45
670,"Bhanupalli-Bilaspur-Beri New Railway Line Project
(RVNL - II)
(705428)","Multi-States
(Himachal
Pradesh, Punjab)","03/2009
(04/2015)","12/2026
(12/2027)","13447
(13447)",6928.81,61
671,"Doubling of Hatia [Ranchi]-Bondamunda Rail Line - 159 km
(South Eastern Railway - JH)
(705628)","Multi-States
(Jharkhand,
Odisha)","03/2016
(02/2017)","06/2025
(06/2026)","3029
(3029.04)",2501.09,86
672,"Buramara-Chakulia new line [59.96 km]
(South Eastern Railway [SER] - I)
(616588)","Multi-States
(Jharkhand,
Odisha, West
Bengal)","08/2024
(12/2024)","12/2029
(-)","1459.13
(1459.13)",3.32,0
673,"KHARAGPUR-ADITYAPUR THIRD RAIL LINE- 132 KM
(RVNL - I)
(705668)","Multi-States
(Jharkhand, West
Bengal)","09/2016
(01/2018)","03/2025
(12/2025)","3250
(3250)",3176.46,97
674,"Hotgi-Kudgi-Gadag Doubling Project
(South Western Railway [SWR] - II)
(705662)","Multi-States
(Karnataka,
Maharashtra)","04/2014
(01/2016)","12/2024
(03/2026)","1878
(2459)",2684.66,92
675,"Baiyyappanahalli - Hosur Doubling Project [48 km]
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(703586)","Multi-States
(Karnataka, Tamil
Nadu)","04/2019
(02/2019)","03/2024
(01/2026)","498.7
(748.7)",630.41,86
676,"Trivandrum- Kanyakumari
(Southern Railway (SR) - I)
(705635)","Multi-States
(Kerala, Tamil
Nadu)","08/2017
(03/2016)","03/2025
(12/2026)","1432
(3785.45)",2505.8,50
677,"Ratlam-Mhow-Khandwa-Akola Gauge Conversion
(Western Railway [WR] - II)
(705457)","Multi-States
(Madhya Pradesh,
Maharashtra)","04/2008
(03/2010)","03/2027
(09/2028)","1656.25
(6499.86)",4445.82,81
