Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
704,"Jhansi - Bina Third Railway Line [153 Km]
(CAO/C/NCR)
(705598)
(N22000496) (2083)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","09/2016
(03/2018)","03/2022
(03/2026)","2002
(2002)",1939.11,96
705,"Jhansi-Khairar-Manikpur & Khirar-Bhimsen
(North Central Railway)
(705608)
(N22000495) (2319)","Multi-States
(Madhya Pradesh,
Uttar Pradesh)","03/2018
(04/2019)","03/2026
(03/2026)","4330
(4330)",2895.52,68
706,"Third Line [new] between Kazipet - Balharshah with electrification [201.04 Km]
(South Central Railway [SCR] - II)
(705613)
(N22000367) (1773)","Multi-States
(Maharashtra,
Telangana)","09/2016
(10/2016)","01/2025
(11/2025)","2595
(3071)",4141.26,94.7
707,"Narayangarh-Bhadrak 3rd line
(South Eastern Railway [SER] - I)
(705629)
(N22000506) (2385)","Multi-States
(Odisha, West
Bengal)","03/2019
(03/2017)","12/2025
(01/2027)","2400
(3425.32)",2655.21,77
708,"Nagapattinam-Tiruturaipundi and Karaikal-Peralam New Line
(Ministry of Railways)
(400223)
(N22000626) (2081)","Multi-States
(Puducherry, Tamil
Nadu)","07/2008
(01/2019)","03/2027
(03/2028)","713
(981)",635.3,80
709,"Sivok-Rangpo New Rail Line
(Indian Railway Construction International Limited [IRCON])
(705432)
(N22000102) (650)","Multi-States
(Sikkim, West
Bengal)","10/2009
(05/2010)","05/2015
(12/2027)","7877
(11775)",10770.42,93
710,"Sainthia, Sitarampur, Mughalsarai, Allahabad & Etawah - Bypass Line Project
(Eastern Railway [ER] - I)
(602797)
(N22000631) (-)","Multi-States (Uttar
Pradesh, West
Bengal)","08/2017
(12/2017)","03/2027
(03/2027)","461.64
(461.64)",291.24,31.85
711,"Jharsuguda-Barpali-Sardega Ph II Works- Rail Connectivity for Coal Loading Bulb at
Barpali.
(South Eastern Railway [SER] - I)
(400006)
(-) (4689)",Odisha,"10/2021
(10/2021)","10/2025
(12/2026)","808.99
(808.99)",701.15,38
712,"Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher
Under Deposit Scheme.
(East Coast Railway [ECoR] - II)
(400045)
(-) (4299)",Odisha,"08/2022
(07/2022)","03/2025
(01/2025)","168.32
(168.32)",69.85,82
713,"Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC
exchange yard and NTPC Block Cabin.
(East Coast Railway [ECoR] - II)
(400047)
(-) (4292)",Odisha,"08/2022
(06/2022)","12/2024
(12/2026)","210
(210)",39.31,52
714,"Doubling of lines connecting the loading spurs in Talcher Yard.
(East Coast Railway [ECoR] - II)
(400048)
(-) (4247)",Odisha,"09/2022
(06/2022)","12/2024
(06/2027)","186.21
(186.21)",100.97,88
715,"Brundamal-Jharsuguda- flyover connection for joining downline
(East Coast Railway [ECoR] - II)
(400232)
(N22000521) (2015)",Odisha,"01/2014
(01/2014)","12/2026
(12/2026)","297
(297)",232.73,56
716,"3rd & 4th line between Sarla - Sason [8 km] [PB 73/2023-24/NR]
(East Coast Railway [ECoR] - II)
(612834)
(-) (-)",Odisha,"04/2023
(04/2023)","12/2025
(-)","252
(252)",117.3,86
717,"Rourkela-Bondamunda A-Cabin 5th line [9.6 km]
(CAO/C/SER)
(615915)
(-) (-)",Odisha,"09/2022
(12/2023)","03/2026
(-)","244.99
(244.99)",95.42,31
718,"Bangriposi-Gorumahisani new line [ 85.60 km ]
(CAO/C/SER)
(616586)
(-) (7025)",Odisha,"08/2024
(09/2025)","12/2029
(-)","2269.49
(2269.49)",7.14,0
719,"Badampahar-Kendujhargarh new line [82.06 km]
(CAO/C/SER)
(616587)
(-) (7026)",Odisha,"08/2024
(09/2025)","12/2029
(-)","1875.72
(1875.72)",2.15,0
720,"Flyover between Siju and Paradeep coaching Yard to avoid Surface crossing of trains
(East Coast Railway [ECoR] - II)
(616694)
(-) (-)",Odisha,"04/2023
(10/2025)","07/2028
(-)","200.77
(200.77)",34.06,5.5
721,"Paradeep - Badabandha 3rd & 4th Line / 18.51kms
(East Coast Railway [ECoR] - II)
(616695)
(-) (-)",Odisha,"08/2023
(04/2025)","11/2028
(-)","300.15
(300.15)",0.89,10.5
722,"Naupada-Gunupur - New line upto Theruvali [73.62 km]
(Indian Railway)
(616839)
(-) (7082)",Odisha,"08/2024
(04/2026)","12/2029
(-)","1165.89
(1165.89)",0,0
723,"New Line between Junagarh - Nabarangpur [116.21 Km]
(Indian Railway)
(618995)
(-) (10798)",Odisha,"08/2024
(08/2025)","08/2030
(-)","2864.51
(2864.51)",0,0
724,"Khurda-Bolangir New Broad Gauge Rail Link [301km]
(East Coast Railway [ECoR] - II)
(705358)
(220100284) (1476)",Odisha,"03/1994
(03/2001)","12/2026
(12/2026)","3792
(5089)",5671.96,92
725,"Talcher-Bimlagarh New Railway Line
(East Coast Railway [ECoR] - II)
(705359)
(220100328) (423)",Odisha,"03/2004
(12/2004)","03/2025
(03/2029)","1928
(1928)",2120.08,56
