Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
402,"Development of Jharia CBM Block [Phase-1]
(Oil and Natural Gas Corporation Limited [ONGC])
(610984)
(N16000445)",Jharkhand,"11/2019
(11/2019)","01/2024
(03/2026)","431
(431)",242.78,63
403,"Laying of Natural Gas Pipeline from Hazaribagh to Ranchi [HRPL]
(MinistryofPetroleumNaturalGas)
(709785)
(N16000480)",Jharkhand,"02/2023
(02/2023)","02/2026
(03/2027)","202.07
(202.07)",63.42,50
404,"Power System Upgradation Project
(Mangalore Refinary and Petrochemicals Limited)
(612790)
(N16000509)",Karnataka,"10/2023
(10/2023)","11/2025
(05/2026)","385
(385)",187.45,77
405,"Demo Bio-ATF Project
(Ministry of Petroleum & Natural Gas)
(616879)
(N16000536)",Karnataka,"03/2024
(03/2024)","01/2027
(01/2027)","364
(364)",59.78,40
406,"Revamping/ Augmentation of facilities at existing port terminal at Mangalore
(Ministry of Petroleum & Natural Gas)
(709774)
(N16000437)",Karnataka,"01/2022
(01/2022)","12/2025
(06/2027)","463
(500.62)",293.54,81
407,"Augmentation of CCKPL and IDPL Pipelines capacity along with setting up of
Palakkad TOP
(Ministry of Petroleum & Natural Gas)
(617838)
(-)",Kerala,"09/2024
(09/2024)","08/2028
(08/2028)","1130
(1130)",232.26,29
408,"Setting up Polypropylene Unit at Kochi Refinery
(MinistryofPetroleumNaturalGas)
(709799)
(N16000530)",Kerala,"12/2023
(12/2023)","10/2027
(10/2027)","4460
(4460)",583.96,25
409,"C2/C3 Vijaipur Pata Pipeline
(Ministry of Petroleum & Natural Gas)
(617830)
(-)",Madhya Pradesh,"05/2024
(05/2024)","01/2027
(01/2027)","1792
(1792)",448,55
410,"Ethylene Cracker Project at Bina Refinery including downstream Petrochemical Plants
and expansion of Refinery
(MinistryofPetroleumNaturalGas)
(709798)
(N16000518)",Madhya Pradesh,"05/2023
(05/2023)","05/2028
(05/2028)","43367
(43367)",2940.4,21
411,"500 KTA PDHPP Project, Usar
(Ministry of Petroleum & Natural Gas)
(400168)
(N16000430)",Maharashtra,"04/2021
(04/2021)","04/2025
(04/2027)","8797
(11256)",7750.46,89
412,"Lube Modernization & Bottom Upgradation Project at Mumbai Refinery
(Ministry of Petroleum and Natural Gas)
(616933)
(N16000540)",Maharashtra,"12/2024
(12/2024)","03/2028
(03/2028)","4679
(4679)",243.55,9
413,"Petro Resid Fluidized Catalytic Cracking [PRFCC] Unit and its associated facilities at
Mumbai Refinery
(Ministry of Petroleum & Natural Gas)
(619223)
(-)",Maharashtra,"05/2025
(05/2025)","09/2029
(-)","13626
(13626)",26.2,3
414,"Augmentation of DUPL-DPPL Pipeline
(Ministry of Petroleum & Natural Gas)
(619224)
(-)",Maharashtra,"06/2025
(06/2025)","03/2028
(-)","844
(844)",0,0
415,"Installation of Compression facility at GAIL Usar
(Ministry of Petroleum & Natural Gas)
(619225)
(-)",Maharashtra,"04/2025
(04/2025)","04/2027
(-)","260.2
(260.2)",0,0
416,"HP TDAE Unit in Mumbai Refinery
(Hindustan Petroleum Corporation Limited)
(709760)
(N16000534)",Maharashtra,"06/2024
(06/2024)","04/2026
(04/2026)","240
(240)",103.57,75
417,"City Gas Distribution Project at Beed, Jalgaon and Jalna Districts
(MinistryofPetroleumNaturalGas)
(709771)
(N16000487)",Maharashtra,"03/2022
(03/2022)","09/2031
(09/2031)","865
(865)",77.96,3
418,"Construction of Additional Tankages and Allied Facilities at JNPT Terminal
(MinistryofPetroleumNaturalGas)
(709780)
(N16000504)",Maharashtra,"04/2022
(04/2022)","08/2026
(08/2026)","341.43
(436.14)",290.82,65
419,"ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport
(Indian Oil Corporation Limited [IOCL])
(709782)
(N16000456)",Maharashtra,"08/2022
(08/2022)","08/2025
(03/2026)","165
(165)",96.16,94
420,"POL & LOBS Installations with Receipt Pipelines at Rasayani
(Bharat Petroleum Corporation Limited [BPCL])
(709797)
(N16000519)",Maharashtra,"05/2023
(05/2023)","05/2026
(05/2026)","2585
(2585)",1093.53,77
421,"Part Replacement Pipeline Project [PRPP]
(Oil and Natural Gas Corporation Limited [ONGC])
(709846)
(N16000515)",Maharashtra,"11/2022
(11/2022)","05/2024
(03/2026)","1219.48
(1145.1)",820.4,97
422,"Visakh Raipur Pipeline Project
(Ministry of Petroleum and Natural Gas)
(616254)
(N16000539)","Multi-States
(Andhra Pradesh,
Chhattisgarh,
Odisha)","09/2024
(09/2024)","09/2027
(09/2027)","2212
(2212)",320.63,29
423,"North East Gas Grid
(Ministry of Petroleum & Natural Gas)
(701346)
(N16000439)","Multi-States
(Arunachal
Pradesh, Assam,
Manipur,
Meghalaya,
Mizoram,
Nagaland, Sikkim,
Tripura, West
Bengal)","04/2020
(04/2020)","03/2024
(03/2026)","9265
(9265)",6689,87
