Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
656,"Dedicated Test Track for RDSO Phase II
(North Western Railway [NWR])
(611614)",Rajasthan,11/2021,"11/2026
11/2026","819.48
(967.06)",471,86
657,"Devgarh Madariya - Nathdwara Gauge Conversion [82.54 Km] part of Marwar - Mavli
Gauge Conversion [152 Km]
(North Western Railway [NWR])
(611849)",Rajasthan,01/2023,"06/2028
06/2028","969
(969)",411,45
658,"Maintenance cum workshop depot for Vande Bharat Sleeper Trains as per conditions
under WTA 527
(WPO/Patna)
(611929)",Rajasthan,06/2023,"12/2024
(-)","166.86
(166.86)",0,0
659,"RINGUS KHATUSHYAMJI NEW LINE
(North Western Railway [NWR])
(616696)",Rajasthan,03/2024,"03/2028
(-)","254.06
(254.06)",1.65,0
660,"RAS- MERTA CITY NEW LINE INCL BYPASS AT MERTA ROAD
(North Western Railway [NWR])
(616840)",Rajasthan,02/2024,"03/2028
(-)","947
(947)",1.36,0
661,"PUSHKAR- MERTA CITY NEW LINE
(North Western Railway [NWR])
(616841)",Rajasthan,02/2024,"12/2026
(-)","799.64
(799.64)",13.91,3
662,"AJMER- CHANDERIYA DOUBLING
(North Western Railway [NWR])
(616843)",Rajasthan,02/2024,"06/2027
(-)","1634.79
(1634.79)",59.51,5
663,"Dholpur - Sirmuttra Gauge Conversion
(North Central Railway)
(705482)",Rajasthan,04/2020,"02/2019
02/2027","747
(747)",392,39
664,"Gudha-Thatha Mithri Construction of Railway Track Project
(North Western Railway [NWR])
(705752)",Rajasthan,04/2019,"11/2026
11/2026","819.48
(967.06)",471,98
665,"Sawai Madhopur-Jaipur Railway Line Project
(North Western Railway [NWR])
(705912)",Rajasthan,04/2023,"03/2027
(-)","1203.89
(1203.89)",35.05,9
666,"Agra Fort-Bandikui Doubling Line Project
(CAO/C/NCR)
(705919)",Rajasthan,02/2021,"06/2027
06/2027","1390
(1390)",123,25
667,"Sawaimadhopur Bye Pass Line Project
(North Western Railway [NWR])
(706866)",Rajasthan,01/2023,"03/2026
05/2027","304
(304)",134,35
668,"Ph II extension of MRTS from Velachery to St Thomas Mount
(Southern Railways [SR] - construction)
(400280)",Tamil Nadu,11/2008,"07/2024
08/2025","734
(982)",475.73,99
669,"Redevelopment of Chennai Egmore Station
(WR)
(613002)",Tamil Nadu,10/2022,"03/2026
(-)","842
(842)",340,0
670,"Coach Production Factory Upgradation Project
(CPM/ICF)
(705244)",Tamil Nadu,07/2018,"12/2021
(-)","520
(520)",192.25,0
671,"Morappur - Dharmpuri New Railway Line Project
(Southern Railway [SR] - I)
(705755)",Tamil Nadu,12/2016,"03/2028
03/2028","359
(359)",40,1
672,"Doubling between Bhadrachalam Road and Dornakal
(South Central Railway [SCR] - II)
(616856)",Telangana,04/2025,"04/2029
(-)","770.12
(770.12)",0,0
673,"Manoharabad-Kothapalli New Rail Line [151 km]
(South Central Railway [SCR] - II)
(705437)",Telangana,01/2017,"03/2027
12/2027","1160
(2781)",1713.38,71
674,"Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar
(North Eastern Railway [NER])
(400204)",Uttar Pradesh,03/2017,"10/2030
10/2030","4939.78
(4939.78)",1217.13,8
675,"Sahjanwa-Dohrighat
(North Eastern Railway [NER])
(400205)",Uttar Pradesh,03/2017,"03/2029
03/2029","1319.75
(1319.75)",457.35,3
676,"Anandnagar - Ghugli via Maharajganj 50 km
(Construction NER)
(617252)",Uttar Pradesh,11/2023,"03/2028
(-)","958.27
(958.27)",432.01,23
677,"Chunar-Chopan doubling project
(North Central Railway)
(617284)",Uttar Pradesh,01/2025,"03/2028
(-)","1423.96
(1423.96)",26,2
678,"Domingarh-Gorakhpur-Gorakhpur Cantt.-Kusumhi - 3rd Railway Line Project
(North Eastern Railway [NER])
(705566)",Uttar Pradesh,06/2018,"02/2025
09/2025","351
(521.47)",494,98
679,"Burhwal Gonda 3rd line
(North Eastern Railway [NER])
(705567)",Uttar Pradesh,07/2019,"03/2025
09/2025","1016
(1118)",1113.75,70
680,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)",Uttar Pradesh,03/2017,"03/2025
03/2026","722
(1194)",1100,70
681,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)",Uttar Pradesh,03/2017,"12/2024
11/2025","304.44
(356)",214,65
682,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)",Uttar Pradesh,03/2016,"12/2026
03/2027","2649
(2649)",1399,62
683,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)",Uttar Pradesh,09/2020,"01/2025
03/2027","758
(779.49)",315.37,55
684,"Bhandai Flyover Construction Project
(CAO/C/NCR)
(705777)",Uttar Pradesh,04/2021,"02/2026
02/2027","250.18
(250.18)",118,15
685,"Phephna-Indara, Mau-Shahganj doubling excluding Indara-Mau
(South Eastern Railway [SER] - I)
(705779)",Uttar Pradesh,03/2017,"12/2024
03/2026","1178
(1777)",1489.5,85
