Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
428,"2G Ethanol Biorefinery at Bathinda
(Hindustan Petroleum Corporation Limited [HPCL])
(400171)
(N16000402) (3028)",Punjab,"05/2020
(05/2020)","02/2023
(12/2026)","1421.46
(1421.46)",1266.71,95.8
429,"City Gas Distribution Project at Pathankot District
(MinistryofPetroleumNaturalGas)
(709770)
(N16000488) (-)",Punjab,"03/2022
(03/2022)","09/2033
(09/2033)","151
(151)",8.87,2
430,"CBR 9 MMTPA Project
(Chennai Petroleum Corporation Limited [CPCL])
(604795)
(N16000434) (3278)",Tamil Nadu,"09/2021
(09/2021)","06/2025
(10/2028)","31580
(36354)",1579.73,10.2
431,"Laying of new 28 inch Desal Water Pipeline and 10 inch Reject Water Pipeline
between CPCL Manali Refinery and CPCL Desalination plant at Ennore
(Chennai Petroleum Corporation Limited [CPCL])
(709750)
(-) (-)",Tamil Nadu,"01/2024
(01/2024)","09/2025
(12/2026)","205
(205)",101.27,73.1
432,"City Gas Distribution Projects at the Nilgiris and Erode districts
(Bharat Petroleum Corporation Limited [BPCL])
(709796)
(N16000521) (-)",Tamil Nadu,"12/2022
(12/2022)","03/2030
(03/2030)","3685
(3685)",295.61,25.5
433,"ATF Pipeline from BPCLs Malkapur POL Installation to Hyderabad International
airport
(MinistryofPetroleumNaturalGas)
(617822)
(-) (-)",Telangana,"03/2025
(03/2025)","09/2027
(09/2027)","215
(215)",45.93,25.3
434,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)
(-) (-)",Tripura,"03/2022
(03/2022)","05/2024
(08/2026)","209.33
(131.51)",79.98,69
435,"Kanpur LPG Bottling Plant
(MinistryofPetroleumNaturalGas)
(619191)
(-) (-)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(09/2027)","202
(202)",129.69,58
436,"Bulk Loading Hub- Kanpur
(MinistryofPetroleumNaturalGas)
(619312)
(-) (-)",Uttar Pradesh,"09/2025
(09/2025)","09/2027
(09/2027)","186
(186)",95.21,58
437,"Revamping / Augmentation of Facilities at Mathura Bitumen Plant
(MinistryofPetroleumNaturalGas)
(709781)
(N16000505) (-)",Uttar Pradesh,"04/2022
(04/2022)","06/2027
(12/2026)","260.12
(260.12)",22.37,53.4
438,"City Gas Distribution Projects at Lakhimpur Kheri , Sitapur, Bahraich,
Shravasti,Balrampur, Siddharth Nagar & Maharajganj districts
(Bharat Petroleum Corporation Limited [BPCL])
(709795)
(N16000525) (-)",Uttar Pradesh,"12/2022
(12/2022)","06/2030
(06/2030)","16654
(16654)",723.54,18.4
439,"Durgapur - Haldia Pipeline [Section-3B of JHBDPL Project]
(Ministry of Petroleum & Natural Gas)
(617302)
(N16000275) (-)",West Bengal,"03/2017
(03/2017)","12/2020
(09/2026)","1740
(2493.15)",2370.4,95
440,"Siliguri-Jhapa Pipeline Project
(Indian Oil Corporation Limited [IOCL])
(617828)
(-) (-)",West Bengal,"09/2024
(09/2024)","03/2029
(03/2029)","267
(267)",2.29,12.7
441,"Siliguri Marketing Terminal [SMT] Capacity Augmentation Project
(Ministry of Petroleum & Natural Gas)
(617837)
(-) (-)",West Bengal,"11/2021
(11/2021)","12/2025
(10/2026)","484
(484)",311.17,88
442,"Haldia Panagarh Pipeline Project
(Hindustan Petroleum Corporation Limited)
(709753)
(N16000478) (-)",West Bengal,"11/2022
(11/2022)","11/2025
(08/2026)","1010
(1107)",850.71,95.8
443,"City Gas Distribution Project at East Mednipore, West Mednipore & Jhargram Districts
(MinistryofPetroleumNaturalGas)
(709772)
(N16000491) (-)",West Bengal,"03/2022
(03/2022)","06/2031
(06/2031)","609
(609)",62.44,2.8
444,"City Gas Distribution Projects at Alipurduar and Cooch Behar
(Bharat Petroleum Corporation Limited [BPCL])
(709791)
(N16000522) (-)",West Bengal,"12/2022
(12/2022)","03/2030
(03/2030)","1017
(1017)",229.42,43.7
,Total (93),,,,362529.04,383046.09,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
445,"AIIMS Darbhanga
(PMSSY AND Institute of NATIONAL Importance)
(701172)
(-) (3216)",Bihar,"09/2020
(09/2020)","09/2024
(-)","1264
(1264)",0,0
446,"Establishment of new GMC Saran [Chhapara]
(Medical Education, Ministry of Health and Family Welfare)
(706965)
(-) (-)",Bihar,"NA
()",(-),"189
(189)",113.4,0
447,"Establishment of new GMC Samastipur
(Medical Education, Ministry of Health and Family Welfare)
(706966)
(-) (-)",Bihar,"NA
()",(-),"189
(189)",113.4,0
448,"Establishment of new GMC Sitamarhi
(Medical Education, Ministry of Health and Family Welfare)
(707016)
(-) (-)",Bihar,"NA
()",(-),"250
(250)",150,0
