Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
180,"Vishnugad Pipalkoti Hydro Electric Project [444 MW]
(THDC India Limited)
(602195)
(N18000042)",Uttarakhand,"08/2008
(01/2014)","12/2022
(09/2027)","3860.35
(6405.08)",5366.01,79
181,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia,
West Bengal
(Damodar Valley Corporation)
(400062)
(-)",West Bengal,"01/2023
(02/2025)","06/2029
(-)","17673
(17673)",1791.7,8.7
182,"Rammam-III HEPP [3x40 MW]
(National Thermal Power Corporation [NTPC])
(602184)
(N18000178)",West Bengal,"09/2014
(09/2014)","09/2019
(03/2029)","1381.84
(2865.56)",1550.11,54.71
183,"Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6
(Damodar Valley Corporation)
(602538)
(-)",West Bengal,"06/2019
(02/2021)","01/2024
(05/2026)","1037
(1106)",1129.14,96
,Total (28),,,,251346.16,127585.39,
,Transmission & Distribution,,,,,,
184,"Implementation of LILO of both circuits of 400KV vindhyachal PS-Sasan D/C Line at
Hindalco Switchyard
(Power Grid Corporation of India Limited [POWERGRID])
(617272)
(N18000420)",,"06/2024
(06/2024)","12/2026
(-)","370
(370)",101.75,24.39
185,"Transmission Scheme for Solar Energy Zone in Ananthpuram 2500MW and Kurnool
1000MW
(Power Grid Corporation of India Limited [POWERGRID])
(611967)
(N18000380)",Andhra Pradesh,"09/2023
(09/2023)","09/2025
(04/2026)","1248.69
(1248.69)",1198.74,97.52
186,"Transmission system strengthening at Kurnool- III PS for integration of additional RE
generation projects [POWERGRID Kurnool III PS RE Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617183)
(N18000416)",Andhra Pradesh,"03/2025
(03/2025)","12/2027
(-)","2886
(2886)",519.48,20.2
187,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)
(-)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",2.09,1.1
188,"Transmission system for Evacuation of Additional 7 GW RE power from Khavda RE
park under Phase-III Part B [Vataman Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(612139)
(N18000384)",Gujarat,"12/2023
(12/2023)","12/2025
(12/2026)","3751.82
(3751.82)",2194.81,55.23
189,"Transmission System for Evacuation of Power from potential Renewable Energy zone
in Khavda Area of Gujarat under Phase IV [7 GW] Part E3
(Power Grid Corporation of India Limited [POWERGRID])
(612151)
(N18000383)",Gujarat,"07/2023
(07/2023)","07/2025
(04/2026)","334
(334)",327.32,99.6
190,"Transmission System for Evacuation of Power from Potential Energy Renewable Zone
in Khavda Area of Gujarat under Ph-IV [7GW] Part E2
(Power Grid Corporation of India Limited [POWERGRID])
(612855)
(N18000390)",Gujarat,"05/2024
(05/2024)","05/2026
(06/2026)","679
(679)",291.97,48
191,"Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name
POWERGRID Jam Khambhaliya Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615342)
(N18000398)",Gujarat,"10/2024
(10/2024)","07/2026
(04/2027)","329
(329)",23.03,8.1
192,"Provision of Dynamic Reactive Compensation at Khavda pooling Station 1 [KPS1] and
Khavda Pooling station 3 [KPS3]
(Power Grid Corporation of India Limited [POWERGRID])
(615343)
(N18000402)",Gujarat,"11/2024
(11/2024)","11/2026
(-)","501
(501)",20.04,5
193,"Transmission System for Evacuation of Power from Potential Renewable Energy Zone
in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID
South Olpad Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(615345)
(N18000400)",Gujarat,"10/2024
(10/2024)","10/2026
(10/2027)","4766
(4766)",1167.67,22.08
194,"Augmentation of Transformation Capacity at KPS1 [GIS] and KPS2 [GIS] [Phase-V
Part B1 and Part B2 Scheme] [SPV Name- POWERGRID KPS1 and 2 Augmentation
Transmission Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617069)
(N18000411)",Gujarat,"02/2025
(02/2025)","02/2027
(-)","466
(466)",69.9,18
195,"Augmentation of Banaskantha [Raghanesda] PS [GIS] [POWERGRID Banaskantha
Transco Limited]
(Power Grid Corporation of India Limited [POWERGRID])
(617182)
(N18000412)",Gujarat,"03/2025
(03/2025)","03/2027
(-)","172
(172)",48.16,30
196,"Augmentation of Transformation Capacity at Bhuj-II PS [GIS]
(Power Grid Corporation of India Limited [POWERGRID])
(617391)
(-)",Gujarat,"02/2025
(02/2025)","11/2026
(06/2027)","488.29
(488.29)",4.88,1
197,"Jamnagar Transmission Limited
(Adani Transmission Limited)
(617405)
(-)",Gujarat,"NA
(10/2024)","10/2026
(-)","4000
(4000)",540,17
198,"Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS
(Power Grid Corporation of India Limited [POWERGRID])
(617801)
(-)",Gujarat,"03/2025
(03/2025)","12/2026
(06/2027)","581.74
(581.74)",6.98,1.2
199,"KPSIII HVDC Transmission Limited
(Adani Transmission Limited)
(619026)
(-)",Gujarat,"NA
(12/2025)","12/2029
(-)","19000
(19000)",0,0
