Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
148,"Improvement and strengthening of existing 2 lane stretch to 2-Lane with PS 1.5m on
both sides on Ghoti-Sinnar section of NH-160A using Thin White Topping 200mm thick
in the State Of Maharashtra on EPC Mode
(National Highways Authority of India [NHAI])
(618586)",Maharashtra,"03/2025
(06/2025)","06/2026
(-)","254.78
(147.64)"
149,"Chakur Loha Section of NH-361 from km 114.600 to km 187.80
(National Highways Authority of India [NHAI])
(618652)",Maharashtra,"03/2018
(03/2019)","03/2021
(02/2024)","1241.38
(3342.11)"
150,"Loha-Waranga Section of NH-361 from km 187.800 to km 244.369
(National Highways Authority of India [NHAI])
(618653)",Maharashtra,"03/2018
(03/2019)","03/2021
(06/2024)","1236.08
(3466.58)"
151,"Tarsod - Fagne section of NH-6
(National Highways Authority of India [NHAI])
(618638)",Maharashtra,"06/2016
(01/2019)","07/2021
(12/2023)","2267.99
(2560.5)"
152,"Upgradation & rehabilitation of Service Roads on both sides in urban areas of Pune
City on PuneSatara section of NH48
(National Highways Authority of India [NHAI])
(618511)",Maharashtra,"01/2025
(06/2025)","06/2026
(-)","604.59
(388.78)"
153,"Up-gradation to Four Lane with Paved Shoulder configuration of the highway starting
from existing km 88.400 Savali Vihir to km 163.400 start of Ahmednagar bypass
Design Length 75.000 km section of NH-160 in the State of Maharashtra under
Bharatmala Pariyojana on EPC Mode
(NHAI)
(618766)",Maharashtra,"10/2024
(04/2025)","04/2027
(-)","862
(617.93)"
154,"Upgradation of 2L/4L with Paved Shoulder of Shirwal-Lonand Section from KM 159900
To KM 188025 of NH-965DD Section I and 2L With Paved Shoulder of Lonand-Satara
Section from KM 51500 To KM 96246 Of NH-965D Section II in Satara District in the
State of Maharashtra on EPC Mode under NHO-
(National Highways Authority of India [NHAI])
(618754)",Maharashtra,"03/2025
(06/2025)","06/2027
(-)","538.11
(307.24)"
155,"Rehabilitation and Up gradation of Charthana Jintur Section of NH 752 I Km 25100 to
47100 to 2 Lane with Paved Shoulder configuration Flexible Pavement in the state of
Maharashtra on EPC mode. Reg- Resubmission of Annual Plan Estimate.
(MoRTH)
(619008)",Maharashtra,"03/2025
(01/2026)","07/2027
(-)","157.69
(-)"
156,"4L of existing 2/4L stretch from Lonand to Dive Ghat Km 166.400 to Km 220.900 of
Mohol Alandi section of NH-965 Pkg - V
(National Highways Authority of India [NHAI])
(619209)",Maharashtra,"10/2021
(05/2022)","05/2024
(03/2025)","1709.56
(2049.51)"
157,"Dharampuri-Lonand from km. 117.00 to 166.40 Pkg-IV on Mohol-Alandi Section
(National Highways Authority of India [NHAI])
(619210)",Maharashtra,"01/2021
(09/2021)","09/2023
(-)","1411.71
(1358.68)"
