Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
130,"Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane
configuration for the work of Ahmednagar to Sabalkhed & Ashti to Chinchpur Section
of NH-561 from Design km 2915 to km 37728 & Design km 55100 to km 70000 in the
State of Maharashtra on EPC mode. Length 49.713 km
(MoRTH)
(618047)",Maharashtra,"03/2024
(05/2025)","05/2027
(-)","657.16
(-)"
131,"Up-gradation to 2/4 lane with paved shoulder configuration of NH-652 from Tuljapur
Naldurg-Akkalkot road Chainage from Km. 00.000 to km 30.982 in the State of
Maharashtra on EPC mode.
(MoRTH)
(618049)",Maharashtra,"03/2024
(01/2025)","07/2026
(-)","183.41
(-)"
132,"Rehabilitation and Up-gradation to 2 lane road with paved shoulders configuration for
the balance work of 13 km length on Helwak-Patan-Karad section Km. 85000 to 133
417 of NH-166E in the state of Maharashtra on EPC mode.
(MoRTH)
(618096)",Maharashtra,"02/2024
(10/2024)","04/2026
(-)","181.45
(-)"
133,"Rehabilitation & up-gradation for Talere Gaganbawada - kolhapur Road NH 166G
stretch start from km. 0/00 to Km. 06/00 and km. 13/00 to km 19/440 of NH-166G,
length 12.440 km in the State of Maharashtra.
(MoRTH)
(618099)",Maharashtra,"03/2024
(10/2024)","04/2026
(-)","164.13
(-)"
134,"Nandurshingote to Kolhar
(MoRTH)
(618088)",Maharashtra,"09/2024
(06/2025)","12/2026
(-)","325.79
(-)"
135,"Rehabilitation and Up-gradation of Jarud - Sirsala section of NH-361F km 59500 to
km11500 to Two lane with paved shoulder/ Four Lane in the state of Maharashtra on
EPC mode Length 55.5 Km.
(MoRTH)
(618137)",Maharashtra,"03/2024
(05/2025)","05/2027
(-)","540.35
(-)"
136,"Widening, Reconstruction & Up-gradation to 2 lane with Paved Shoulder/Four Lane
configuration for the work of Sautada to Shirapur Section of NH-561 from Design km
86300 to km 125589 in the state of Maharashtra on EPC mode. Design length 39.289
km
(MoRTH)
(618138)",Maharashtra,"03/2024
(05/2025)","11/2026
(-)","349.57
(-)"
137,"Rehabilitation and Up-gradation of Gangakhed Loha section of NH-361F from Km
169/00 to 210/00 to two lane with paved shoulder/ four lane configuration in the state
of Maharashtra on EPC mode Length - 41.00 Km.
(MoRTH)
(618139)",Maharashtra,"03/2024
(04/2025)","09/2026
(-)","355.12
(-)"
138,"Rehabilitation and Upgradation to two lane with paved shoulder configuration of NH-
752G from Sakri to Pimpalner Section Design Ch km 0000 to Ch km 21411 in the state
of Maharashtra on EPC Mode. Length 21.411 km.
(MoRTH)
(618174)",Maharashtra,"03/2024
(04/2025)","10/2026
(-)","226.58
(-)"
139,"Widening and strengthening of Gangakhed to Kingaon section of NH-752K in Km
38/750 to 72/304 Flexible Pavement Length33.554 km to 2-lane configuration on
EPC mode in the State of Maharashtra.
(MoRTH)
(618178)",Maharashtra,"02/2024
(12/2024)","06/2026
(-)","162.67
(-)"
