Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
358,"Multi Product Pipeline from Irugur to Devangonthi
(Department of Water Resources, River Development & GR)
(400301)
(N16000234)","Multi-States
(Karnataka, Tamil
Nadu)","11/2012
(11/2012)","02/2017
(09/2026)","678
(1732)",994.21,80
359,"Rajasthan Refinery Project
(MinistryofPetroleumNaturalGas)
(701263)
(N16000513)",Rajasthan,"10/2017
(10/2017)","10/2022
(03/2026)","43129
(79459)",66552.88,91
360,"Petrochemical evacuation marketing terminal at Barmer, Rajasthan
(Hindustan Petroleum Corporation Limited [HPCL])
(709759)
(N16000512)",Rajasthan,"12/2023
(12/2023)","12/2026
(12/2026)","461.05
(461.05)",188.01,81
361,"Laying of POL Pipelines in Common Corridor for proposed grass root terminal at
Vallur [Chennai]
(Ministry of Petroleum & Natural Gas)
(400043)
(N16000455)",Tamil Nadu,"01/2022
(01/2022)","05/2026
(05/2026)","829
(829)",335.37,74
362,"Grass root POL Terminal at Vallur, Chennai
(Indian Oil Corporation Limited [IOCL])
(400077)
(N16000438)",Tamil Nadu,"01/2022
(01/2022)","12/2024
(03/2026)","827
(887.71)",647.01,93
363,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existing
Dharmanagar Depot
(Indian Oil Corporation Limited [IOCL])
(400035)
(N16000495)",Tripura,"06/2022
(06/2022)","09/2025
(06/2026)","656
(656)",509.07,96
364,"Grass-root Terminal at Mirzapur, Uttar Pradesh
(Ministry of Petroleum & Natural Gas)
(604852)
(N16000506)",Uttar Pradesh,"09/2022
(09/2022)","11/2026
(11/2026)","980.45
(980.45)",268.4,68
,Total (17),,,,81207.16,98707.47,
,Oil & Gas,,,,,,
365,"KG-DWN-98/2 Cluster - II Development Project - NELP Block
(Oil and Natural Gas Corporation Limited [ONGC])
(400120)
(N16000247)",Andhra Pradesh,"03/2016
(03/2016)","06/2020
(06/2026)","34012
(34012)",32765.11,96
366,"Provision of four bitumen tanks with capacity of 5 TMT each at Visakh Refinery
(Ministry of Petroleum and Natural Gas)
(619226)
(-)",Andhra Pradesh,"09/2025
(09/2025)","03/2028
(-)","258.34
(258.34)",0.65,7
367,"HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery
(Hindustan Petroleum Corporation Limited)
(709752)
(N16000432)",Andhra Pradesh,"09/2021
(09/2021)","06/2024
(03/2026)","160
(220)",113.71,90
368,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts
(MinistryofPetroleumNaturalGas)
(709766)
(N16000485)",Andhra Pradesh,"03/2022
(03/2022)","03/2030
(03/2030)","1420
(1420)",170.54,6
369,"Numaligarh Refinery Expansion Project
(Ministry of Petroleum & Natural Gas)
(604791)
(N16000379)",Assam,"07/2020
(07/2020)","07/2024
(09/2026)","12366
(22494)",18586.83,82
370,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Ministry of Petroleum & Natural Gas)
(604863)
(N16000331)",Assam,"01/2018
(01/2018)","02/2020
(06/2026)","682.9
(726.93)",597.74,94
371,"Guwahati Refinery Expansion [1.0 to 1.2 MMTPA] along with installation of CRU,
Guwahati Refinery
(Ministry of Petroleum & Natural Gas)
(607701)
(N16000414)",Assam,"05/2021
(05/2021)","10/2023
(05/2026)","412.3
(577)",474.39,91
372,"Construction of Field Gas Gathering Station at Baghjan area for collection, processing
& transportation of natural Gas to be produced from Baghjan Field
(Ministry of Petroleum & Natural Gas)
(616858)
(N16000450)",Assam,"12/2020
(12/2020)","03/2024
(03/2026)","430.76
(430.76)",343.44,91
373,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)
(-)",Assam,"12/2022
(12/2022)","12/2025
(09/2026)","635.28
(635.28)",172.61,55
374,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(MinistryofPetroleumNaturalGas)
(709776)
(N16000441)",Assam,"04/2022
(04/2022)","09/2026
(09/2026)","277
(323.09)",207.72,78
375,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(MinistryofPetroleumNaturalGas)
(709779)
(N16000457)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",169.13,51
376,"Pipeline Network Project Rudrasagar
(Ministry of Petroleum & Natural Gas)
(709847)
(N16000528)",Assam,"01/2023
(01/2023)","04/2026
(04/2026)","481.03
(481.03)",227.47,52
377,"Borholla GGS Life Extension Project [BLEP]
(Ministry of Petroleum & Natural Gas)
(709850)
(N16000532)",Assam,"09/2023
(09/2023)","05/2026
(05/2026)","198.7
(198.7)",75.38,51
378,"DCU Revamp Project
(NRL)
(709864)
(N16000511)",Assam,"08/2021
(08/2021)","07/2024
(06/2026)","370
(370)",286.89,72
379,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation Scheme
(NRL)
(709865)
(N16000510)",Assam,"04/2023
(04/2023)","12/2024
(09/2026)","293.5
(293.5)",97.24,99
