Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
732,"Railway Manufacturing Unit
(RVNL - II)
(617409)
(-)",Telangana,"07/2016
(02/2023)","12/2026
(03/2026)","521.36
(521.36)",491.37,87.35
733,"Kazipet Wagon Overhauling Project
(RVNL)
(705252)
(-)",Telangana,"09/2017
(07/2017)","12/2023
(-)","385
(385)",0,0
734,"Manoharabad-Kothapalli New Rail Line [151 km]
(South Central Railway [SCR] - II)
(705437)
(N22000032)",Telangana,"07/2016
(01/2017)","03/2027
(12/2027)","1160
(2781)",2964.82,72
735,"Bahraich-Shravasti-Balrampur-Siddharthnagar -Santkabir nagar
(North Eastern Railway [NER])
(400204)
(N22000569)",Uttar Pradesh,"10/2018
(03/2017)","10/2030
(10/2030)","4939.78
(4939.78)",971.79,8.8
736,"Sahjanwa-Dohrighat
(North Eastern Railway [NER])
(400205)
(N22000565)",Uttar Pradesh,"08/2019
(03/2017)","03/2029
(03/2029)","1319.75
(1319.75)",482.55,3.9
737,"Varanasi-Pt. Deen Dayal Upadhyaya multitracking 15km including construction of new
Rail-cum-Road Bridge across Ganga River.
(Northern Railways)
(617213)
(-)",Uttar Pradesh,"10/2024
(10/2025)","10/2029
(-)","2464.46
(2464.46)",42.29,0
738,"Anandnagar - Ghugli via Maharajganj New line 52.7 km
(Construction NER)
(617252)
(-)",Uttar Pradesh,"10/2023
(11/2023)","03/2028
(-)","958.27
(958.27)",623.94,23.8
739,"Chunar-Chopan doubling project
(North Central Railway)
(617284)
(-)",Uttar Pradesh,"08/2023
(01/2025)","03/2028
(-)","1423.96
(1423.96)",102.43,15
740,"Surface triangle line bet. Bhadura stn and new crossing stn Karma
(East Central Railway [ECR] - I)
(617333)
(-)",Uttar Pradesh,"10/2022
(05/2024)","02/2027
(-)","199.96
(199.96)",4.17,0.2
741,"Doubling between Jaunpur Jn - Zaffarabad 6.28 km
(M/S SRC company Infra Private Limited)
(617370)
(-)",Uttar Pradesh,"03/2023
(02/2025)","01/2027
(-)","180.66
(180.66)",43.65,10.5
742,"Burhwal Gonda 3rd line
(North Eastern Railway [NER])
(705567)
(N22000468)",Uttar Pradesh,"11/2017
(07/2019)","03/2025
(05/2026)","1016
(1118)",1014.1,88.3
743,"Janghai-Pratapgarh- Amethi
(CAO/C/II/NR)
(705588)
(N22000583)",Uttar Pradesh,"11/2017
(03/2017)","03/2025
(03/2026)","722
(1194)",1670.58,80
744,"Lalitpur-Birari with flyover at Lalitpur- 16 Km
(North Central Railway)
(705766)
(N22000546)",Uttar Pradesh,"03/2017
(11/2017)","12/2024
(01/2026)","304.44
(356)",248.55,85
745,"Allahabad-Bamhrauli Flyover Construction & 4th Railway Line Project
(North Central Railway)
(705771)
(N22000563)",Uttar Pradesh,"04/2019
(10/2020)","03/2026
(03/2026)","494
(494)",376.99,76
746,"Mughalsarai-Allahabad, 3rd line
(North Central Railway)
(705772)
(N22000544)",Uttar Pradesh,"12/2015
(03/2016)","12/2026
(03/2027)","2649
(2649.44)",1836.67,69
747,"Aligarh -Daud Khan Flyover Construction & 3rd Railway Line Project
(CAO/C/NCR)
(705774)
(N22000562)",Uttar Pradesh,"04/2019
(09/2020)","01/2025
(03/2027)","758
(779.49)",469.8,83
748,"Bhandai - Flyover for Etawah bound down train- 10 Km
(North Central Railway [NCR] - II)
(705777)
(N22000564)",Uttar Pradesh,"07/2020
(04/2021)","02/2026
(02/2027)","250.18
(250.18)",115.71,8
749,"Bhatni-Aurnihar with electrification excluding Indara-Mau
(RVNL - I)
(705780)
(N22000598)",Uttar Pradesh,"03/2018
(03/2017)","12/2024
(06/2026)","2529
(2529.46)",2138.39,96
750,"Barabanki-Malhaur 3rd & 4th Railway Line Project
(Ministry of Railways)
(705782)
(N22000590)",Uttar Pradesh,"01/2019
(04/2017)","03/2025
(08/2026)","407
(407)",392.94,77
751,"Allahabad division - Aligarh - Harduaganj Flyover
(North Central Railway)
(705918)
(N22000545)",Uttar Pradesh,"04/2020
(02/2021)","10/2026
(03/2027)","1457
(1457)",400.19,14
752,"Rishikesh-Karnaprayag New Rail Line- 125 km
(RVNL - II)
(705429)
(N22000406)",Uttarakhand,"11/2016
(08/2018)","12/2025
(12/2028)","38953
(38953)",28269.15,73.5
753,"Kalinarayanpur-Krishnanagar Doubling Alongwith Krishnanagar - Chapra New Line
And Naihati-Ranaghat 3rd Line.
(Eastern Railway [ER] - I)
(400247)
(N22000624)",West Bengal,"07/2015
(11/2005)","02/2027
(03/2028)","1000
(1000)",1060.84,70.5
754,"Tarakeshwar-Bishnupur New Line [82.47 km]
(Eastern Railway [ER] - I)
(400273)
(220100272)",West Bengal,"03/2001
(02/2008)","03/2019
(02/2026)","1189
(1542)",1367.58,96.68
