Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
569,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)",Maharashtra,04/2008,"03/2014
12/2027","8087
(8087)",7364,87
570,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)",Maharashtra,04/2019,"12/2027
12/2027","33690
(33690)",2246.15,16
571,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)",Maharashtra,12/2016,"03/2022
12/2026","10947
(10947)",5057.67,60
572,"PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG
(CR)
(709808)",Maharashtra,01/2022,"08/2027
03/2028","955
(2094)",118,2
573,"KALYAN-MURBAD VIA ULHASNAGAR [UMBRELLA WORK]
(Central Railway [CR] - II)
(709809)",Maharashtra,04/2023,"03/2027
03/2027","836
(836)",9.29,1
574,"Marikuppam - Kuppam New Line Project [23.70 Km]
(South Western Railway [SWR] - II)
(705491)","Multi-States
(Andhra Pradesh,
Karnataka)",10/2018,"06/2026
06/2026","297
(297)",123.17,15
575,"Rayadurg-Tumkur via Kalyandurg New Line [207 km]
(South Western Railway [SWR] - II)
(705494)","Multi-States
(Andhra Pradesh,
Karnataka)",07/2010,"09/2015
02/2028","2496
(2496)",1691.88,67
576,"Renigunta, Wadi & Gooty Bypass Railway Project
(South Central Railway [SCR] - I)
(705610)","Multi-States
(Andhra Pradesh,
Karnataka)",04/2016,"12/2025
12/2025","302
(543)",381,50
577,"Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km
(South Central Railway [SCR] - II)
(617212)","Multi-States
(Andhra Pradesh,
Maharashtra,
Telangana)",08/2023,"03/2029
(-)","4686.09
(4686.09)",0,0
578,"Vizianagaram - Titlagarh 3rd line [272 Km including By - pass line of 7.68 KM]
(RVNL - II)
(400253)","Multi-States
(Andhra Pradesh,
Odisha)",11/2016,"12/2026
12/2026","4803
(6670)",5722.01,89
579,"Doubling of Kottavalasa-Koraput Rail Line [189 KM]
(East Coast Railway [ECoR] - II)
(705512)","Multi-States
(Andhra Pradesh,
Odisha)",01/2016,"03/2022
03/2028","2500
(2500)",2033.31,70
580,"Malkangiri Pandurangapuram new railway line project
(Indian Railways)
(616702)","Multi-States
(Andhra Pradesh,
Odisha,
Telangana)",01/2027,"11/2031
(-)","3591.76
(3591.76)",0,0
581,"Tindivanam-Nagari New Line Project [184.5 km]
(Southern Railway [SR] - II)
(400275)","Multi-States
(Andhra Pradesh,
Tamil Nadu)",10/2008,"09/2016
03/2028","3631
(3631)",1113.53,18
582,"Doubling between Motumari Vishnupuram - 88.81 Km and Rail over Rail - RoR at
Motumari - 10.877 Km
(South Central Railway [SCR] - II)
(616857)","Multi-States
(Andhra Pradesh,
Telangana)",03/2025,"03/2029
(-)","1595.55
(1595.55)",7.69,1
583,"Doubling of Guntur Bibinagar 239 Km
(South Central Railway [SCR] - II)
(617211)","Multi-States
(Andhra Pradesh,
Telangana)",08/2023,"03/2029
(-)","2853.23
(2853.23)",43.88,1
584,"Rail Connectivity to Errupalem Amravati Namburu 57 Km
(South Central Railway [SCR] - II)
(617214)","Multi-States
(Andhra Pradesh,
Telangana)",11/2024,"03/2027
(-)","2047.4
(2047.4)",0,0
585,"Kazipet-Vijayawada 3rd line with electrification [220 km]
(South Central Railway [SCR] - II)
(705612)","Multi-States
(Andhra Pradesh,
Telangana)",08/2014,"02/2025
12/2025","1953
(3363)",2915.49,90
586,"Vijayawada - Kazipet Byepass line
(South Central Railway [SCR] - II)
(705632)","Multi-States
(Andhra Pradesh,
Telangana)",04/2016,"01/2025
12/2025","647
(904)",870,91
587,"Murkongselek-Pasighat
(Northeast Frontier Railway [NFR])
(705401)","Multi-States
(Arunachal
Pradesh, Assam)",03/2012,"03/2025
12/2025","435
(1250)",901,56
588,"Lumding Furkating Doubling Project 140 km
(Northeast Frontier Railway [NFR])
(616701)","Multi-States
(Assam,
Nagaland)",01/2025,"02/2028
(-)","2123.7
(2123.7)",13.74,0
589,"Dimapur [Dhansiri]-Sukhobi Kohima [Zubza] NL [82.5 Km]
(Northeast Frontier Railway [NFR])
(705392)","Multi-States
(Assam,
Nagaland)",02/2016,"03/2025
12/2025","6663
(6663)",5202.29,79
590,"New Delhi- Howrah Speed Booster[160Kmph] Project
(PCE/NCR)
(705794)","Multi-States
(Bihar, Delhi,
Jharkhand, Uttar
Pradesh, West
Bengal)",09/2019,"03/2024
(-)","6684.81
(6684.81)",127.03,0
591,"Third Railway Line between Patratu-Sonnagar [281 kms]
(RVNL - II)
(400234)","Multi-States
(Bihar, Jharkhand)",08/2018,"03/2026
07/2026","8975
(8975)",4950,88
592,"Multi tracking of Son Nagar-Andal [374.53 rkm & 814.38 tkm]
(East Central Railway [ECR] - I)
(616699)","Multi-States
(Bihar, Jharkhand)",08/2023,"03/2028
(-)","12333.57
(12333.6)",444.74,10
593,"Koderma-Tilaiya New Line
(East Central Railway [ECR] - II)
(705375)","Multi-States
(Bihar, Jharkhand)",03/2002,"02/2025
02/2026","1626
(2020)",2060.97,92
594,"Pirpainti - Jasidih [100.52 Km] New BG line
(Eastern Railway [ER] - I)
(705385)","Multi-States
(Bihar, Jharkhand)",03/2022,"03/2028
03/2028","2555
(2555)",763.08,48
595,"NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra
Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes
(North Eastern Railway [NER])
(611669)","Multi-States
(Bihar, Uttar
Pradesh)",06/2023,"03/2027
(-)","380.47
(380.47)",24.53,0
596,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)","Multi-States
(Bihar, Uttar
Pradesh)",03/2024,"12/2027
(-)","1120
(1120)",181.86,20
597,"Chhapra-Ballia Patch Doubling
(North Eastern Railway [NER])
(705562)","Multi-States
(Bihar, Uttar
Pradesh)",11/2015,"02/2025
03/2026","963
(1046)",906,95.4
