Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
615,"Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of
associated infrastructure
(Rail Land Development Authority)
(613015)
(-) (-)",Maharashtra,"04/2023
(07/2023)","03/2027
(-)","1813
(1813)",873.99,25
616,"Gondia-Balharshah [Chanda Fort] Doubling [240 Km]
(South East Central Railway)
(617201)
(-) (-)",Maharashtra,"04/2025
(04/2025)","03/2031
(-)","4373.04
(4373.04)",1.79,2
617,"Doubling between Parbhani Parli Vaijanath stations 64.71 Km
(South Central Railway [SCR] - II)
(617215)
(-) (-)",Maharashtra,"12/2023
(12/2023)","03/2028
(-)","769.93
(769.93)",197.62,0.2
618,"Babupeth - Sasti New Rail Line [13.114 KMs]
(CentralRailway)
(617361)
(-) (-)",Maharashtra,"10/2024
(10/2024)","03/2028
(-)","362.81
(362.81)",0.48,0
619,"Double Chord line Between Nilaje-Kopar
(CentralRailway)
(617364)
(-) (-)",Maharashtra,"01/2025
(01/2025)","07/2028
(-)","338.33
(205)",55.83,60
620,"Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3
km]
(Central Railway [CR] - II)
(705356)
(-) (-)",Maharashtra,"01/1999
(10/2002)","03/2026
(03/2026)","2538.67
(4957.27)",5233.2,93
621,"Baramati Lonand New Line Project
(Central Railway)
(705357)
(-) (-)",Maharashtra,"03/2016
(03/1999)","03/2027
(03/2027)","138.48
(1843.9)",1039.72,60
622,"Wadsa-Gadchiroli
(South East Central Railway)
(705479)
(-) (-)",Maharashtra,"05/2017
(03/2012)","03/2027
(03/2027)","1886
(1886)",846.22,68
623,"Wardha - Yavatmal Nanded Railway Line Project
(Central Railways)
(705497)
(-) (-)",Maharashtra,"02/2008
(04/2013)","12/2026
(-)","3445.34
(4030.69)",4053.03,47
624,"3rd Line Kalyan - Kasara [67.35 Kilometres]
(Central Railway)
(705498)
(-) (-)",Maharashtra,"09/2015
(09/2015)","12/2026
(12/2026)","792.89
(1395.79)",1088.38,73
625,"3rd Line Wardha - Sewagram - Nagpur
(Central Railway [CR] - II)
(705500)
(-) (-)",Maharashtra,"09/2015
(05/2016)","12/2025
(10/2026)","540.02
(916.53)",842.78,88
626,"3rd Line Wardha - Ballarshah [132 Kilometres]
(Central Railway [CR] - II)
(705502)
(-) (-)",Maharashtra,"03/2016
(12/2016)","12/2025
(02/2026)","1384.72
(2033.59)",1841.71,86
627,"Doubling of Daund Manmad Line [247.6 km]
(Central Railway)
(705504)
(-) (-)",Maharashtra,"10/2017
(03/2017)","12/2025
(03/2026)","2081.27
(3267.06)",3111.8,92
628,"4th Line Wardha - Nagpur [78.7 Kilometres]
(Central Railway [CR] - II)
(705505)
(-) (-)",Maharashtra,"04/2017
(05/2018)","12/2025
(10/2026)","637.95
(1214.69)",1061.23,88
629,"3rd Line Manmad - Jalgaon [160 Kilometres]
(Central Railway [CR] - II)
(705506)
(-) (-)",Maharashtra,"05/2017
(04/2018)","12/2024
(11/2025)","1035.16
(1870)",1843.54,100
630,"Solapur-tuljapur-Osmanabad
(Central Railway)
(705735)
(-) (-)",Maharashtra,"08/2018
(12/2023)","03/2027
(03/2028)","904.92
(3295.74)",1277.63,22
631,"Nagpur- Nagbhir Railway Line Gauge Conversion Project
(MRIDC)
(705799)
(-) (-)",Maharashtra,"10/2019
(04/2020)","12/2025
(12/2025)","1400
(1400)",1472,80
632,"Mumbai Urban Transport Project [MUTP] - PHASE II
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706779)
(-) (-)",Maharashtra,"05/2008
(04/2008)","03/2014
(12/2027)","8087
(8087)",7559.14,90
633,"Mumbai Urban Transport Project [MUTP] Phase-IIIA
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706780)
(-) (-)",Maharashtra,"04/2019
(04/2019)","12/2027
(12/2027)","33690
(33690)",3854.46,25
634,"Mumbai Urban Transport Project Phase-III
(Mumbai Rail Vikas Corporation Ltd.[MRVC])
(706781)
(-) (-)",Maharashtra,"11/2016
(12/2016)","03/2022
(12/2026)","10947
(10947)",6880.48,75
635,"Jiribam-Imphal new line project
(Northeast Frontier Railway [NFR])
(705391)
(-) (-)",Manipur,"03/2013
(12/2007)","12/2026
(06/2029)","14323
(21885.9)",16327.07,73.05
636,"Byrnihat-Shillong New Rail Line- 108 km
(Northeast Frontier Railway [NFR])
(705396)
(-) (-)",Meghalaya,"04/2011
(03/2010)","03/2021
(03/2027)","8324.28
(8342.28)",266.12,2.04
