Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
616,"Vijayawada19.50 km & Kazipet10.65 km -Byepass line
(CAO/C/SCoR SCoR mor)
(705632)
(-) (-)","Multi-States
(Andhra Pradesh,
Telangana)","04/2016
(01/2021)","01/2025
(12/2025)","647.00
(827.46)",705.66,90
617,"Murkongselek-Pasighat 26.15 km
(CAO/C-II/NFR NFR mor)
(705401)
(-) (-)","Multi-States
(Arunachal
Pradesh, Assam)","02/2011
(05/2023)","03/2025
(12/2026)","435.00
(1334.45)",1057.21,67
618,"Teteliya-Byrnihat 21.5 km
(CAO/C-II/NFR NFR mor)
(705394)
(-) (-)","Multi-States
(Assam,
Meghalaya)","11/2006
(04/2011)","11/2011
(06/2027)","1304.62
(1432.14)",1272.35,87
619,"Dimapur-Kohima 88 km
(CAO/C-1/NFR NFR mor)
(705392)
(-) (-)","Multi-States
(Assam,
Nagaland)","11/2006
(12/2015)","03/2025
(12/2029)","6663.00
(15310.23)",6719.53,45
620,"Koderma-Tilaiya 68 km
(CAO/Con/South/MHX ECR mor)
(705375)
(-) (-)","Multi-States
(Bihar, Jharkhand)","11/2004
(05/2017)","02/2025
(02/2026)","1626.00
(2433.13)",2269.03,90
621,"Pirpainti - Jasidih 97 km
(CAOC/ER ER mor)
(705385)
(-) (-)","Multi-States
(Bihar, Jharkhand)","03/2014
(04/2026)","03/2028
(03/2028)","2555.00
(2700.43)",1775.66,40
622,"Multi tracking of Son Nagar-Andal 374.53 rkm & 814.38 tkm PB34/ECOR/2023-24
(CAO/Con/South/MHX ECR mor)
(616699)
(-) (-)","Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)","08/2023
(09/2025)","03/2028
(-)","12333.57
(12333.57)",1152.79,3
623,"NER Provision of Automatic Block Signalling on Gorakhpur Cantt[Excl] Chhapra
Gramin & Burhwal Jn [Excl] Sitapur Jn section of high density routes
(North Eastern Railway [NER])
(611669)
(-) (-)","Multi-States
(Bihar, Uttar
Pradesh)","05/2022
(06/2023)","03/2027
(03/2028)","380.47
(380.47)",258.65,25
624,"Gorakhpur-Valmikinagar Doubling project
(NER)
(617224)
(-) (-)","Multi-States
(Bihar, Uttar
Pradesh)","08/2023
(03/2024)","12/2027
(-)","1120.00
(1120.00)",442.7,32
625,"Construction of surface traingle between Bhadaura and new crossing station Karma
Dildarnagar-Taraghat line 11.1 km PB72/NR/2022-23
(CAO/Con/South/MHX ECR mor)
(617333)
(-) (-)","Multi-States
(Bihar, Uttar
Pradesh)","10/2022
(06/2024)","02/2027
(-)","199.96
(199.96)",64.04,0
626,"Chhapra-Ballia - Patch doubling 65 km
(CAOC/NER NER mor)
(705562)
(-) (-)","Multi-States
(Bihar, Uttar
Pradesh)","03/2013
(12/2015)","02/2025
(05/2026)","963.00
(1010.84)",1000.05,95
627,"Katihar-Kumedpur & Katihar-Mukuria 64.5 km Umbrella work PB57/2019-20/NR
(CAO/C-II/NFR NFR mor)
(617245)
(-) (-)","Multi-States
(Bihar, West
Bengal)","08/2022
(10/2023)","08/2027
(02/2027)","942.64
(1961.00)",952.95,65
628,"Rajnandgaon-Nagpur - 3rd line 228 km
(CAOC/SECR SECR mor)
(705617)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2016
(12/2016)","12/2024
(06/2026)","3545.00
(3544.92)",3143.54,95
629,"4th line - Bhatapara-Hathband 8.8 km PB72/NR/2022-23
(CAOC/SECR SECR mor)
(709815)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2022
(03/2023)","01/2027
(12/2027)","177.03
(177.03)",21.08,3
630,"4th line - Bhilai-Bhilai nagar 8.8 km PB72/NR/2022-23
(CAOC/SECR SECR mor)
(709816)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2022
(03/2023)","02/2027
(02/2027)","177.34
(177.34)",35.21,3
631,"4th line - Dadhapara-Belha 9.2 km PB72/NR/2022-23
(CAOC/SECR SECR mor)
(709817)
(-) (-)","Multi-States
(Chhattisgarh,
Maharashtra)","09/2022
(03/2023)","11/2026
(11/2026)","169.06
(169.06)",65.43,10
