Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","(Orignal/Target DoC)
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore"
109,"Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract
Package No. NS2/BOT/TN-4
(NHAI)
619084",Tamil Nadu,"08/2005
(10/2006)","(04/2009)
(12/2025)","461.54
(515.03)",222.72
110,"Rehabilitation & upgradation of NH - 167 from design km 187.723 to 234.434
Miryalaguda to Kodad section to two lane with paved shoulder on EPC mode in
the state of Telangana
(MoRTH)
617992",Telangana,"03/2018
(09/2018)","(09/2020)
(01/2026)","322.81
(322.81)",154.47
111,"Widening to 2/4 Lane with paved shoulders from Km 182.120 to Km 227.600 of
NH 167 on Haggari-Jadcherla Road on EPC mode under NHO in the state of
Telangana
(MoRTH)
617996",Telangana,"10/2016
(02/2017)","(02/2019)
(04/2024)","298
(-)",238.2
112,"Rehabilitation and upgradation to two lane with paved shoulders from Km 0/000
to 72/6 of NH-365 Nakrekal to Tanamcherla section under NHDP IV in the state
of Telangana under EPC mode
(MoRTH)
618026",Telangana,"06/2017
(11/2017)","(10/2019)
(05/2025)","605.08
(-)",585.2
113,"Widening & strengthening of existing carriageway in 2 lane with paved shoulders
from km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode
in the state of Telangana
(MoRTH)
618132",Telangana,"02/2018
(06/2018)","(06/2020)
(01/2025)","206.13
(-)",318.62
114,"Widening to Two lane with Paved shoulders from km.40/410 to 84/037 of
Thirumanlagiri-- Suryapet Section of NH-365B earstwhile section of SH-16
(MoRTH)
618142",Telangana,"01/2017
(05/2017)","(05/2019)
(08/2023)","244.54
(-)",147.48
115,"widening to two lane with Paved shoulders from Km.0/970 to Km.40/410 of
Jangaon - Thirumal giriof NH- 365B in the state of Telanganaon EPC mode under
NHO Annual Plan 2016-17
(MoRTH)
618143",Telangana,"03/2017
(11/2017)","(10/2019)
(10/2023)","197
(-)",3.24
116,"Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-
18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved
shoulder on EPC bais under NHO
(NHIDCL)
618386",Tripura,"02/2020
(07/2020)","(01/2022)
(12/2024)","277.5
(302.03)",273.04
117,"Construction of four-lane elevated viaduct from km.4634 to km.6345 on NH-24A
including Retaining wall, service lane, at grade road and improvement of
junctions, on EPC mode
(MoRTH)
618008",Uttar Pradesh,"03/2021
(03/2022)","(09/2023)
(09/2024)","185.09
(269.81)",200.32
118,"Improvement and upgradation to two lane with Paved Shoulder configuration
from existing km 55.00 to km 90.00 Design length 34.76 of NH-227A near
Chhapia Village to near Sikriganj in the State of UP on EPC Mode.
(MoRTH)
618110",Uttar Pradesh,"11/2021
(11/2022)","(05/2024)
(05/2025)","307.11
(-)",136.8
119,"6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km.
73.744
(NHAI)
618498",Uttar Pradesh,"12/2021
(11/2022)","(05/2025)
(02/2026)","2471.56
(2489)",1439.5
120,"6L of Agra Bypass Northern connecting Km. 174.500 of NH-2 new NH-19 to Km.
141.000 of Yamuna Expressways
(NHAI)
618553",Uttar Pradesh,"01/2022
(02/2023)","(02/2025)
(01/2026)","957.62
(1034.42)",759.58
121,"Strengthening of existing 4L Ayodhya Bypass Section from design Km. 121 600
to Km. 144020 of NH 28 New NH 27Pkg-3
(NHAI)
618565",Uttar Pradesh,"03/2023
(09/2023)","(03/2025)
(11/2025)","526.45
(281.13)",270.75
122,"4L Spur of Panipat - Shamli connecting NH-709AD Panipat Shamli
Muzaffarnagar and NH-709A Karnal Meerut bypassing Shamli district UP
(NHAI)
618770",Uttar Pradesh,"10/2021
(10/2022)","(10/2024)
(05/2025)","516.16
(273.42)",247.21
123,"2L PS of Raebareli - Jagdishpur with 4L Jagdishpur Bypass Spur
(NHAI)
618854",Uttar Pradesh,"02/2021
(01/2022)","(01/2024)
(11/2025)","706.41
(752.52)",534.31
124,"Improvement and Up-Gradation of Existing Road to 2/4L PS from Km 40.000 to
88.750, start of Khutar bypass to start of Shahjahanpur bypass of NH 731Pkg-I
(NHAI)
618855",Uttar Pradesh,"03/2022
(02/2023)","(02/2025)
(03/2026)","838.68
(838.68)",616.56
125,"4L from Mathura Bypass Start at Existing Km. 154.20 of NH-44 to Gaju Village at
Km 32.982 of NH-530B Pkg-IB
(NHAI)
618864",Uttar Pradesh,"01/2022
(03/2023)","(03/2025)
(01/2026)","1722.11
(1820.77)",1057.04
