Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target
DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Transmission & Distribution,,,,,,
22,"North Eastern Region Expansion Scheme-XXIII [NERES-XXIII]
(Power Grid Corporation of India Limited [POWERGRID])
(617375)",Arunachal Pradesh,"08/2025
(08/2025)","02/2028
(-)","209.38
(209.38)",3.14,1.56
23,"Comprehensive Scheme for Strengthening of Transmission and Distribution
[T&D] Systems [CSST&DS] in Arunachal Pradesh and Sikkim
(Power Grid Corporation of India Limited [POWERGRID])
(602223)","Multi-States (Arunachal
Pradesh, Sikkim)","10/2014
(10/2014)","12/2018
(03/2027)","4754.42
(9129.32)",8128.74,83.8
24,"NORTH EASTERN REGION POWER SYSTEM IMPROVEMENT PROJECT
[NERPSIP]
(Power Grid Corporation of India Limited [POWERGRID])
(607709)","Multi-States (Mizoram,
Meghalaya, Nagaland,
Tripura, Assam,
Manipur)","12/2014
(03/2016)","12/2018
(03/2027)","5111.33
(6700)",5577.75,99.1
,Total (3),,,,10075.13,13709.63,
,Ministry of Petroleum & Natural Gas,,,,,,
,Energy Storage,,,,,,
25,"Setting up of new rail fed POL facility at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited [HPCL])
(709755)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","384.04
(384.04)",235.27,85.5
26,"Construction of LPG Facilities at Kamardanga, Assam
(Hindustan Petroleum Corporation Limited)
(709754)",Assam,"03/2023
(03/2023)","07/2027
(07/2027)","156.36
(156.36)",109.34,79.8
27,"Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal
[COIT] at Paradip
(Ministry of Petroleum & Natural Gas)
(701349)",Assam,"01/2019
(01/2019)","07/2024
(10/2026)","10228
(12407)",11036,92.9
28,"LPG Bottling Plant at Mualkhang
(MinistryofPetroleumNaturalGas)
(617829)",Mizoram,"07/2024
(07/2024)","10/2028
(03/2028)","225.71
(225.71)",30.84,33
,Total (4),,,,10994.11,11411.45,
,Oil & Gas,,,,,,
29,"Group Gathering Station, Lakwagaon
(Ministry of Petroleum & Natural Gas)
(619316)",Assam,"10/2025
(10/2025)","10/2027
(10/2027)","495.59
(495.59)",20.04,7.8
30,"Coke Drum Structure Package
(Ministry of Petroleum & Natural Gas)
(617836)",Assam,"12/2022
(12/2022)","12/2025
(09/2026)","635.28
(635.28)",543,70.8
31,"Pipeline Rehabilitation Project, Phase-II
(Ministry of Petroleum & Natural Gas)
(617827)",Assam,"12/2024
(12/2024)","12/2029
(12/2029)","680
(680)",12.65,29
32,"Construction of Field Gas Gathering Station at Baghjan area for collection,
processing & transportation of natural Gas to be produced from Baghjan Field
(Ministry of Petroleum & Natural Gas)
(616858)",Assam,"12/2020
(12/2020)","03/2024
(06/2026)","430.76
(430.76)",348.57,94.5
33,"Development of Surface Facilities for production and evacuation of Crude Oil and
Natural Gas from Nadua and East Khagorija
(Ministry of Petroleum & Natural Gas)
(604863)",Assam,"01/2018
(01/2018)","02/2020
(06/2026)","682.9
(726.93)",599.83,94.4
34,"Numaligarh Refinery Expansion Project
(Ministry of Petroleum & Natural Gas)
(604791)",Assam,"07/2020
(07/2020)","07/2024
(03/2027)","12366
(25313)",20127.1,86.2
35,"Power Recovery Turbine [PRT] in PFCCU unit as an Energy Conservation
Scheme
(NRL)
(709865)",Assam,"04/2023
(04/2023)","12/2024
(12/2026)","293.5
(293.5)",81.84,99
36,"DCU Revamp Project
(NRL)
(709864)",Assam,"08/2021
(08/2021)","07/2024
(03/2027)","370
(370)",310.38,78.6
37,"Borholla GGS Life Extension Project [BLEP]
(Ministry of Petroleum & Natural Gas)
(709850)",Assam,"09/2023
(09/2023)","05/2026
(09/2026)","198.7
(198.7)",103.59,62.5
38,"Pipeline Network Project Rudrasagar
(Ministry of Petroleum & Natural Gas)
(709847)",Assam,"01/2023
(01/2023)","04/2026
(04/2027)","481.03
(481.03)",238.7,54.8
39,"Capacity Expansion of Digboi Refinery from 0.65 to 1.0 MMTPA
(MinistryofPetroleumNaturalGas)
(709779)",Assam,"06/2022
(06/2022)","03/2026
(07/2027)","768
(740)",225.2,59.4
40,"Augmentation/Revamping of Facilities at existing Guwahati Terminal at Betkuchi
(MinistryofPetroleumNaturalGas)
(709776)",Assam,"04/2022
(04/2022)","09/2026
(09/2026)","277
(323.09)",234.57,84.2
41,"North East Gas Grid
(Ministry of Petroleum & Natural Gas)
(701346)","Multi-States (Mizoram,
Manipur, Nagaland,
Arunachal Pradesh,
Sikkim, Assam,
Meghalaya, Tripura)","04/2020
(04/2020)","03/2024
(07/2026)","9265
(9265)",6900,88
42,"Augmentation/ Revamping of Dimapur Depot, Dimapur
(MinistryofPetroleumNaturalGas)
(709786)",Nagaland,"08/2023
(08/2023)","11/2027
(11/2027)","227.62
(227.62)",27.63,41.6
43,"Creation of Gas Dehydration Facilities, Tripura Asset
(Oil and Natural Gas Corporation Limited [ONGC])
(709837)",Tripura,"03/2022
(03/2022)","05/2024
(08/2026)","209.33
(131.51)",79.98,70.5
,Total (15),,,,27380.71,29853.08,
,Ministry of Health & Family Welfare,,,,,,
,Healthcare,,,,,,
44,"Establishment of new GMC West Garo Hills [Tura]
(Medical Education, Ministry of Health and Family Welfare)
(706989)",Meghalaya,"NA
(01/1900)","01/1900
(-)","189
(189)",170.1,0
45,"Establishment of new GMC Mon
(Medical Education, Ministry of Health and Family Welfare)
(707067)",Nagaland,"NA
(01/1900)","01/1900
(-)","325
(325)",155,0
