Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
(Revised Cost)
in Rs. Crore"
89,"4 Lane with PS from Des. Ch 43.800 to Des. Ch. 89.900 of Belgaum-Hungund-Raichur
Section of NH-748A Package-2
(National Highways Authority of India [NHAI])
(618651)",Karnataka,"02/2024
(03/2025)","02/2027
(-)","1427.88
(1293.94)"
90,"4LPS Access Controlled Highway of Bellary Bypass Balance work from Ch. 254750 to
Ch. 266837 and construction of 4LPS from Ch. 277.690 to Ch. 278.690 at D. Hirehal
Village Balance work of NH 150A of Bellary Byrapura Section
(National Highways Authority of India [NHAI])
(618697)",Karnataka,"02/2024
(08/2024)","07/2026
(-)","626.01
(284.05)"
91,"Additional works under BM1 to ensure road safety under 6L of Bengaluru Mysuru
Access control with close toll from Km.17.300 to Km.136.300 of NH-275
(National Highways Authority of India [NHAI])
(618707)",Karnataka,"11/2024
(01/2026)","01/2028
(-)","738.37
(-)"
92,"Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing
chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across
Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of
Karnataka NH-766C-KNT-2022-23 dated 14.10.2022
(MoRTH)
(618184)",Karnataka,"01/2023
(02/2024)","02/2026
(-)","313.56
(-)"
93,"Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c
Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual
Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022
(MoRTH)
(618185)",Karnataka,"12/2022
(08/2025)","08/2027
(-)","394.95
(-)"
94,"Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to
existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH
O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated
22.11.2022
(MoRTH)
(617950)",Karnataka,"11/2022
(07/2025)","01/2027
(-)","204.42
(-)"
95,"Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie.,
Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing
km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch.
534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual
Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023
(MoRTH)
(618086)",Karnataka,"03/2023
(07/2025)","01/2027
(-)","617.28
(-)"
96,"4L of Byrapura to Challakere Section from km 308.550 to km 358.500 of NH-150 A
(National Highways Authority of India [NHAI])
(619115)",Karnataka,"03/2018
(12/2018)","12/2020
(06/2021)","796.77
(1195.54)"
97,"Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka
(National Highways Authority of India [NHAI])
(619117)",Karnataka,(03/2017),"03/2019
(06/2025)","1021.57
(1091.4)"
98,"Nidagatta-Mysore Pkg II
(National Highways Authority of India [NHAI])
(619120)",Karnataka,"02/2018
(12/2019)","06/2022
(09/2023)","2919.8
(4113.89)"
99,"4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571
(National Highways Authority of India [NHAI])
(619121)",Karnataka,(03/2017),"03/2020
(05/2022)","2531.99
(3619.32)"
100,"4 Lane with PS from Des. Ch 182.300 to Des. Ch. 228.500 of Belgaum-Hungund-
Raichur Section of NH 748 A Package-5
(National Highways Authority of India [NHAI])
(619106)",Karnataka,"03/2023
(11/2024)","11/2026
(-)","1141.88
(868.65)"
101,"4 Lane with PS from Des. Ch 136.100 to Des. Ch. 182.300 of Belgaum-Hungund-
Raichur Section of NH-748A Package-4
(National Highways Authority of India [NHAI])
(619107)",Karnataka,"02/2024
(09/2025)","09/2027
(-)","1311.41
(1123.35)"
102,"4 Lane with PS from Des. Ch 0.000 to Des. Ch. 43.800 of Belgaum-Hungund-Raichur
Section of NH-748A Package-1
(National Highways Authority of India [NHAI])
(619108)",Karnataka,"02/2024
(06/2025)","06/2027
(-)","1452.43
(1256.55)"
