Sl.No,Project Name (Agency) (Project Code),State,"Date of
Approval
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
115,"BALARAM EXPANSION OCP
(Mahanadi Coalfields Limited (MCL))
(400183)",Odisha,08/2020,"03/2029
(-)","3504.21
(3504.21)",1027.23,52
116,"GOPALJI KANIHA OCP [10 TO 30 MTY]
(Mahanadi Coalfields Limited (MCL))
(400185)",Odisha,04/2022,"03/2030
(-)","8416.19
(6107.87)",1694.31,17
117,"INTEGRATED LAKHANPUR-BELPAHAR-LILARI OCP
(Mahanadi Coalfields Limited (MCL))
(400187)",Odisha,05/2018,"03/2027
(-)","2434.75
(2434.75)",1805.65,61
118,"BHARATPUR RE-ORGANIZATION OCP
(Mahanadi Coalfields Limited (MCL))
(400392)",Odisha,11/2018,"03/2029
(-)","2838.86
(2838.86)",1748.9,47
119,"BASUNDHARA WEST EXTENSION OPENCAST PRO
(Mahanadi Coalfields Limited (MCL))
(615193)",Odisha,05/2014,"03/2027
(-)","479.15
(479.15)",259.2,62
120,"Naini Coal Mine
(Singareni Collieries Company Limited [SCCL])
(615857)",Odisha,03/2020,"03/2026
(-)","494.3
(494.3)",491.33,80
121,"INTEGRATED KULDA GARJANBAHAL OCP 40 MTY
(Mahanadi Coalfields Limited (MCL))
(616226)",Odisha,04/2023,"03/2033
(-)","3563.5
(3563.5)",150.7,3
122,"BHUBANESWARI EXPN OCP 50 MTY
(Mahanadi Coalfields Limited (MCL))
(616231)",Odisha,03/2024,"03/2033
(-)","5366.27
(5366.27)",0,3
123,"HINGULA II OC EXPN PH III 15 MTY
(Mahanadi Coalfields Limited (MCL))
(616232)",Odisha,11/2022,"03/2029
(-)","1561.85
(1561.85)",50.15,23
124,"BALABHADRA OCP
(Mahanadi Coalfields Limited (MCL))
(616233)",Odisha,04/2023,"03/2030
(-)","978.44
(978.44)",211.36,8
125,"Jawahar Khani Open Cast Mine
(Singareni Collieries Company Limited [SCCL])
(615818)",Telangana,12/2021,"03/2025
03/2027","297.88
(297.88)",46.39,20
126,"Kalyanikhani Opencast Project
(Singareni Collieries Company Limited [SCCL])
(615858)",Telangana,05/2017,"03/2026
(-)","384.32
(384.32)",281.83,75
127,"Kakathiya Khani Opencast - III Project Phase - I
(Singareni Collieries Company Limited [SCCL])
(615859)",Telangana,05/2017,"03/2026
(-)","413.84
(413.84)",397.55,79
128,"Godavarikhani Coal Mine - 5
(Singareni Collieries Company Limited [SCCL])
(615860)",Telangana,05/2019,"03/2025
03/2026","607.04
(607.04)",178.82,71
129,"Indaram Opencast Project
(Singareni Collieries Company Limited [SCCL])
(615861)",Telangana,12/2022,"03/2025
03/2026","424.81
(424.81)",402.64,80
130,"Goleti Opencast Mine
(Singareni Collieries Company Limited [SCCL])
(615862)",Telangana,08/2021,"03/2026
(-)","345.6
(345.6)",73.25,20
131,"Venkatesh Khani Coal Mine
(Singareni Collieries Company Limited [SCCL])
(615863)",Telangana,06/2020,"03/2026
(-)","484.5
(484.5)",434.44,75
132,"Ramagundam OC-II Extension Project
(Singareni Collieries Company Limited [SCCL])
(615864)",Telangana,06/2015,"03/2026
(-)","489.62
(489.62)",405.54,77
133,"Kakatiyakhani OC - 2 Project
(Singareni Collieries Company Limited [SCCL])
(615865)",Telangana,09/2017,"03/2025
03/2026","442.42
(442.42)",203.15,63
134,"MOHANPUR EXPANSION OC -PHASE II
(Eastern Coal Fields Limited [ECL])
(400173)",West Bengal,11/2020,"03/2026
(-)","888.99
(888.99)",85.51,30
135,"BONJEMEHARI EXPANSION OCP
(Eastern Coal Fields Limited [ECL])
(400180)",West Bengal,08/2021,"03/2026
03/2026","570.11
(570.11)",81.29,16
136,"NAKRAKONDA KUMARDIH- B OCP
(Eastern Coal Fields Limited [ECL])
(400181)",West Bengal,08/2018,"03/2029
(-)","502.68
(502.68)",70.97,25
137,"SIDULI [OC & UG]
(ECL - CIL)
(400182)",West Bengal,05/2018,"03/2027
(-)","535.18
(535.18)",5.05,14
138,"TILABONI UG
(Eastern Coal Fields Limited [ECL])
(400186)",West Bengal,03/2023,"03/2029
03/2029","749.08
(749.08)",51.73,10
139,"JHANJRA EXPANSION UG
(Eastern Coal Fields Limited [ECL])
(400312)",West Bengal,04/2020,"03/2029
(-)","1210.12
(1210.12)",514.93,40
140,"SONEPUR BAZARI EXPANSION OCP [12 MTY]
(Eastern Coal Fields Limited [ECL])
(400315)",West Bengal,07/2021,"03/2029
(-)","5365.88
(5365.88)",571.02,17
141,"2.0 MTPA BHOJUDIH NLW WASHERY
(Ministry of Coal)
(611016)",West Bengal,03/2019,"09/2020
09/2025","384.57
(384.57)",353.21,97
142,"ITAPARA OCP
(Eastern Coal Fields Limited [ECL])
(612816)",West Bengal,12/2023,"03/2030
(-)","929.1
(929.1)",65.61,7
143,"SHYAMSUNDARPUR UG INCLUDING SARPI
(Eastern Coal Fields Limited [ECL])
(613793)",West Bengal,04/2020,"03/2026
(-)","483.65
(483.65)",55.89,12
144,"PARASEA-BELBAID UG PROJECT
(Eastern Coal Fields Limited [ECL])
(613794)",West Bengal,01/2023,"03/2028
(-)","389.1
(389.1)",131.42,16
145,"PARASCOLE JAMBAD OCP
(Eastern Coal Fields Limited [ECL])
(616230)",West Bengal,11/2024,"03/2037
(-)","1193.55
(1193.55)",6.79,0
