Sl.No,Project Name (Agency) (Project Code),State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
,Total (8),,,,4039.12,1643.05,
,Water Resources,,,,,,
761,"Sardar Gouthu Latchanna Thotapalli Barrage Project
(Water Resources-AP)
(400100)",Andhra Pradesh,"NA
(01/2006)","12/2019
(06/2026)","353.05
(1023.24)",869.11,95
762,"Gundlakamma project
(Water Resources-AP)
(400101)",Andhra Pradesh,"NA
(04/2005)","12/2019
(03/2027)","397.41
(697.39)",610.89,98
763,"Polavaram Irrigation Project
(Water Resources-AP)
(701415)",Andhra Pradesh,"02/2009
(11/2004)","04/2022
(03/2026)","10151.04
(55548.9)",24347.76,83
764,"Borolia Irrigation Project
(Department of Water Resources, River Development & GR)
(701370)",Assam,"NA
(12/1996)","12/2022
(03/2026)","256.16
(256.16)",0,55
765,"Punpun Barrage Project
(Water Resources-BR)
(400104)",Bihar,"NA
(04/2007)","12/2019
(03/2026)","571.07
(658.12)",469.66,44
766,"Durgawati Reservoir Project
(Irrigation and CAD-TG)
(701371)",Bihar,"NA
(04/1997)","12/2019
(12/2024)","691.15
(971.96)",978.51,87
767,"Kelo Irrigation Project
(Water Resources-CT)
(400111)",Chhattisgarh,"NA
(04/2008)","12/2019
(06/2026)","459.97
(727.04)",616.93,71
768,"Kudali Irrigation Project
(Department of Water Resources, River Development & GR)
(701399)",Chhattisgarh,"NA
(12/2009)","12/2025
(-)","382.29
(382.29)",0,86
769,"Sardar Sarovar CADWM Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(400097)",Gujarat,"NA
(04/2004)","12/2019
(03/2025)","5021.76
(6670.31)",4954.99,90.3
770,"Sardar Sarovar Project
(Narmada and Water Resources, Water Supply and Kalpsar Department-GJ)
(701372)",Gujarat,"NA
(04/1996)","12/2019
(12/2025)","20718.17
(33412.5)",31767.59,93
771,"Subernarekha Multipurpose Project, Jharkhand
(Department of Water Resources-JH)
(701376)",Jharkhand,"NA
(01/2012)","12/2019
(03/2026)","3807.77
(9579.58)",5561.97,69
772,"Upper Tunga Irrigation Project
(Water Resources-KA)
(701377)",Karnataka,"NA
(04/2014)","12/2019
(12/2025)","770.16
(1606.07)",1511.22,99
773,"Omkareshwar CADWM Project
(Water resource-mp)
(400096)",Madhya Pradesh,"NA
(04/2015)","12/2019
(03/2026)","648.09
(648.09)",172.56,3
774,"Bargi Diversion Project Phase - IV [km. 154 to km 197]
(Water Resources-MP)
(400115)",Madhya Pradesh,"NA
(01/2009)","12/2019
(03/2025)","751.03
(893.35)",746.19,75
775,"Bargi Diversion Project Phase - III [km. 104 to km 154]
(Water Resources-MP)
(400116)",Madhya Pradesh,"NA
(04/2007)","12/2019
(12/2025)","1229.15
(1399.7)",1807.2,79
776,"Gosikhurd CADWM Project
(Department of water resources-MH - II)
(400095)",Maharashtra,"04/2017
(04/2017)","12/2019
(06/2026)","743.73
(743.73)",252,50
777,"Urmodi Irrigation Project
(Department of water resources-MH - II)
(400105)",Maharashtra,"NA
(04/2018)","06/2022
(12/2026)","580.79
(895.81)",713.46,76
778,"Sulwade-Jamphal-Kanoli Lift Irrigation Scheme
(Department of water resources-MH - II)
(400107)",Maharashtra,"NA
(02/2019)","06/2023
(06/2027)","2407.67
(2407.67)",2436.43,80
779,"Purna Barrage-2 [Ner Dhamana] Medium Irrigation Project
(Department of water resources-MH - II)
(400109)",Maharashtra,"NA
(04/2018)","06/2020
(06/2026)","848.07
(888.43)",690.49,69
780,"Jigaon Irrigation Project
(Department of water resources-MH - II)
(400112)",Maharashtra,"NA
(04/2018)","06/2028
(-)","7222.95
(7222.95)",8501.45,90
781,"Waghur Project
(Department of water resources-MH - II)
(701383)",Maharashtra,"NA
(04/1996)","12/2019
(03/2026)","1058.99
(1758.51)",1530.45,89
782,"Gosikhurd Project
(Department of water resources-MH - II)
(701386)",Maharashtra,"12/2017
(04/2008)","12/2019
(06/2026)","7196.47
(12770.1)",13533.29,72
783,"Aruna Medium Irrigation Project
(Department of water resources-MH - II)
(701391)",Maharashtra,"NA
(01/2010)","12/2019
(12/2025)","210.45
(1472.14)",1697.94,97
784,"Lower Pedhi Project
(Department of water resources-MH - II)
(701396)",Maharashtra,"NA
(04/2008)","12/2019
(06/2026)","255.97
(1480.7)",1324.78,64
785,"Nardave Medium Irrigation Project
(Department of water resources-MH - II)
(701398)",Maharashtra,"NA
(04/2009)","12/2019
(06/2026)","211.46
(781.85)",623.5,72
786,"Thoubal Multipurpose Project
(Water Resources Department-MN)
(701400)",Manipur,"01/2022
(04/1997)","12/2019
(03/2026)","1449.44
(1822.24)",1837.91,98
787,"North Koel Reservoir Project
(Department of Water Resources, River Development & GR)
(701412)","Multi-States
(Bihar, Jharkhand)","NA
(01/2021)","03/2021
(03/2026)","1622.27
(2430.76)",142.1,32
788,"Integrated Anandpur Barrage Project
(Water Resources-OR)
(603945)",Odisha,"NA
(01/1998)","12/2019
(06/2026)","567.03
(2990.05)",2629.74,62
789,"Kanupur Irrigation Project
(Irrigation and CAD-TG)
(701404)",Odisha,"NA
(01/2004)","12/2019
(12/2024)","989.43
(2301.28)",2563.56,79
790,"Relining of Rajasthan feeder and Sirhind Feeder canal
(Department of Water Resources-PB)
(701410)",Punjab,"02/2016
(04/2018)","06/2021
(06/2026)","1441.26
(2462.16)",3000.36,80
