Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
42,"MADANNAGAR OCP 12 MTY - MDO
(SECL - CIL)
(619172)
(-)",Chhattisgarh,"12/2024
(12/2024)","03/2029
(-)","1859.19
(1859.19)",0,0
43,"HURA C OCP
(ECL - CIL)
(400018)
(N06000275)",Jharkhand,"08/2022
(08/2022)","03/2029
(-)","859.41
(859.41)",455.31,63
44,"KONAR EXPANSION OCP
(Ministry of Coal)
(400073)
(N06000245)",Jharkhand,"01/2022
(01/2022)","03/2032
(-)","799.34
(799.34)",429.94,46
45,"KARO EXPANSION OCP
(Ministry of Coal)
(400074)
(N06000246)",Jharkhand,"01/2022
(01/2022)","03/2029
(-)","908.47
(908.47)",278.34,22
46,"SANGHMITRA OC
(Ministry of Coal)
(400136)
(-)",Jharkhand,"03/2024
(03/2024)","03/2032
(-)","2660
(2660)",6.57,16
47,"CHANDRAGUPT OCP
(Ministry of Coal)
(400138)
(N06000238)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","973.5
(973.5)",440.75,24
48,"KOTRE BASANTPUR PACHMO OCP
(Ministry of Coal)
(400139)
(N06000237)",Jharkhand,"08/2020
(08/2020)","03/2032
(-)","861.06
(625.4)",455.95,42
49,"Pachwara South Coal Block
(NLC India Limited [NLCIL])
(400142)
(N06000193)",Jharkhand,"03/2016
(11/2019)","09/2028
(-)","2242.9
(2242.9)",1295.12,87
50,"RPR MAGADH EXP OCP
(Ministry of Coal)
(400150)
(N06000216)",Jharkhand,"08/2020
(08/2020)","03/2028
(-)","7254.37
(7254.37)",1628.47,38
51,"NORTH URIMARI EXPANSION OCP
(Ministry of Coal)
(400151)
(N06000218)",Jharkhand,"07/2021
(07/2021)","03/2029
(-)","778.8
(778.8)",602.95,68
52,"EPR ROHINI - KARKETTA OCP
(Ministry of Coal)
(400153)
(N06000243)",Jharkhand,"01/2021
(01/2021)","03/2028
(-)","1020.42
(1020.42)",84.94,21
53,"EPR PUNDI OCP
(Ministry of Coal)
(400154)
(N06000242)",Jharkhand,"11/2020
(11/2020)","03/2027
(-)","713.35
(713.35)",236.58,10
54,"EPR ASHOK OC
(Ministry of Coal)
(400155)
(N06000247)",Jharkhand,"05/2021
(05/2021)","03/2031
(-)","2898.28
(2898.28)",185.19,26
55,"EPR AMRAPALI OCP
(Ministry of Coal)
(400156)
(N06000217)",Jharkhand,"02/2020
(02/2020)","03/2028
(-)","5136.15
(5136.15)",1298.91,42
56,"RAJRAPPA RCE OCP
(Ministry of Coal)
(400160)
(N06000087)",Jharkhand,"12/2009
(12/2009)","03/2016
(03/2027)","510.85
(510.85)",488.71,77
57,"CHITRA EAST OC
(Eastern Coal Fields Limited [ECL])
(400172)
(N06000169)",Jharkhand,"08/2018
(08/2018)","03/2026
(03/2028)","513.99
(513.99)",231.46,53
58,"JHARKHAND-LAIYO OCP
(Ministry of Coal)
(400352)
(N06000240)",Jharkhand,"08/2020
(08/2020)","03/2031
(-)","764.57
(764.57)",145.81,29
59,"MOONIDIH XV SEAM UG
(Ministry of Coal)
(400425)
(N06000098)",Jharkhand,"08/2011
(08/2011)","03/2019
(08/2026)","1230.27
(1230.27)",657.71,82
60,"2.5 MTPA PATHERDIH NLW WASHERY
(Ministry of Coal)
(611017)
(N06000194)",Jharkhand,"10/2015
(04/2016)","04/2018
(12/2026)","334.27
(334.27)",161.5,51
61,"AMALAGAMATED NTST KUJAMA OCP 8.5MTY
(Ministry of Coal)
(611864)
(N06000273)",Jharkhand,"01/2023
(01/2023)","03/2030
(-)","4011.85
(4011.85)",414.93,28
62,"MURAIDIH UG PROJECT
(Ministry of Coal)
(613808)
(N06000096)",Jharkhand,"02/2011
(02/2011)","04/2014
(12/2026)","339.87
(339.87)",191,70
63,"TAPIN SOUTH EXPN
(Ministry of Coal)
(615349)
(N06000241)",Jharkhand,"11/2020
(11/2020)","03/2028
(-)","230.41
(230.41)",22.02,21
64,"SIRKA OC
(Ministry of Coal)
(615822)
(N06000239)",Jharkhand,"05/2020
(05/2020)","03/2028
(-)","222.82
(222.82)",140.58,53
65,"TETARIAKHAR OC
(Ministry of Coal)
(615843)
(N06000186)",Jharkhand,"11/2019
(11/2019)","03/2025
(03/2027)","243.52
(243.52)",49.54,30
