Sl.No,"Project Name
(Agency)
(Project Code) (Legacy OCMS Code) (PMGID)",State,"Date of Approval
(Start Date)
MM/YYYY","Orignal/Target DoC
(Revised DoC)
MM/YYYY","Orignal Cost
Revised Cost
in Rs. Crore","Cumulative
Expenditure
in Rs. Crore","Physical Progress
(%)"
593,"Gadag-Wadi New Railway Line [257 km]
(South Western Railway [SWR] - II)
(705490)
(-) (-)",Karnataka,"04/2013
(08/2017)","03/2027
(12/2027)","2842
(6700)",1604.89,36.5
594,"Kadur - Chickamagalur - Sakleshpur [93km]
(South Western Railway [SWR] - II)
(705492)
(-) (-)",Karnataka,"01/2014
(11/2016)","06/2025
(12/2025)","825
(825)",789.58,84.8
595,"Hubli-Ankola New Line Project [164.44 km]
(South Western Railway [SWR] - II)
(705493)
(-) (-)",Karnataka,"01/1999
(01/2000)","03/2005
(03/2030)","5174
(5174)",180.48,4.7
596,"Bagalkot-Kudachi New Railway Line [142 km]
(South Western Railway [SWR] - II)
(705495)
(-) (-)",Karnataka,"10/2013
(11/2012)","03/2027
(01/2027)","1378
(1649)",809.24,36.5
597,"Tumkur-Chitradurga-Davangere New Rail Line Project [191 km]
(South Western Railway [SWR] - II)
(705496)
(-) (-)",Karnataka,"10/2013
(01/2017)","03/2019
(12/2027)","1876
(1876)",602.36,16
598,"Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling
(South Western Railway [SWR] - II)
(705663)
(-) (-)",Karnataka,"02/2018
(06/2022)","02/2026
(02/2026)","493
(493)",337.37,85.9
599,"SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km]
(South Western Railway [SWR] - II)
(705761)
(-) (-)",Karnataka,"09/2019
(02/2023)","12/2027
(06/2028)","1454
(1454)",102.64,13.9
600,"Construction of New BG line between Hassan [Alur] to Belur [ Km 27.34]
(CAOC/SWR SWR mor)
(705762)
(-) (-)",Karnataka,"06/2019
(09/2022)","04/2027
(12/2027)","748.86
(748.86)",3.64,0
601,"Bangalore Suburban Railway Project
(Karnataka Rail Infrastructure Development Company Limited [K-RIDE])
(705941)
(-) (-)",Karnataka,"10/2020
(10/2020)","12/2026
(03/2030)","15767
(15767)",3277.99,20.02
602,"Belgaum-Dharwad via Kittur [73.10Km]
(South Western Railway [SWR] - II)
(706835)
(-) (-)",Karnataka,"09/2020
(03/2025)","12/2027
(03/2029)","1591
(1591)",0.38,0
603,"Kumbalam-Turavur doubling project [15.59 Km]
(Ministry of Railways)
(705638)
(-) (-)",Kerala,"04/2023
(04/2023)","03/2027
(03/2027)","813
(802.8)",151.83,35
604,"Ernakulam-Kumbalam doubling project [7.71 Km]
(SR-ERS)
(705639)
(-) (-)",Kerala,"04/2023
(04/2023)","03/2028
(02/2027)","601
(595.39)",313.97,28
605,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho
(North Central Railway)
(705480)
(-) (-)",Madhya Pradesh,"01/2007
(03/1998)","03/2027
(12/2027)","8914
(8914)",6889.55,74
606,"Satna-Rewa Railway Line Doubling Project
(West Central Railway [WCR] - II)
(705659)
(-) (-)",Madhya Pradesh,"11/2015
(08/2017)","03/2026
(03/2026)","500
(584)",573.8,88
607,"Doubling of Katni - Singrauli Railway Line [261 km]
(Indian Railway Construction International Limited [IRCON])
(705660)
(-) (-)",Madhya Pradesh,"03/2016
(03/2017)","12/2025
(12/2025)","2445
(4377)",3368.46,81.25
608,"Katni Grade Separator/Bye Pass
(Indian Railway Construction International Limited [IRCON])
(705661)
(-) (-)",Madhya Pradesh,"03/2016
(09/2017)","09/2024
(09/2026)","1248
(1248)",1850.38,95
609,"Indore - Budni New Railway Line [198 kms]
(RVNL - II)
(705763)
(-) (-)",Madhya Pradesh,"08/2019
(10/2020)","09/2030
(09/2030)","7474
(7474)",2879.62,41
610,"Nimach-Ratlam Doubling [133 Km]
(Western Railway [WR] - II)
(705933)
(-) (-)",Madhya Pradesh,"10/2021
(10/2021)","10/2027
(10/2027)","1095.88
(1095.88)",1284.91,100
611,"DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS]
(Central Railway)
(400019)
(-) (-)",Maharashtra,"01/2019
(04/2023)","12/2026
(09/2027)","492.76
(1170.83)",560.32,38
612,"Wardha-Nanded Via Yavatmal New BG Line
(Central Railway [CR] - II)
(400271)
(-) (-)",Maharashtra,"12/2017
(04/2008)","03/2025
(12/2026)","3445
(3445)",3002.93,50
613,"AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km
(South Central Railway [SCR] - II)
(611751)
(-) (-)",Maharashtra,"05/2023
(05/2023)","03/2027
(-)","960.64
(960.64)",1375.55,2.03
614,"Gauge Conversion of Pachora-Jamner with Extension upto Malkapur [Bodwad] [84.34
Kms]
(Central Railway [CR] - II)
(612845)
(-) (-)",Maharashtra,"08/2022
(01/2026)","07/2028
(-)","955.39
(955.39)",13.99,10
